,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,21401224,"APR 15, 2015",ORL @ BKN,7,0,0,7,0,11,3,1,2,0,0,0,-15
1,21401207,"APR 13, 2015",ORL @ MIA,5,2,2,6,1,14,2,0,2,2,2,1,-13
2,21401187,"APR 11, 2015",ORL vs. NYK,0,0,2,4,1,5,0,0,1,1,0,0,-4
3,21401175,"APR 10, 2015",ORL vs. TOR,13,3,0,6,1,8,5,0,2,0,3,3,0
4,21401161,"APR 08, 2015",ORL vs. CHI,7,1,1,4,0,3,2,0,1,0,4,3,0
5,21401143,"APR 04, 2015",ORL @ MIL,10,1,0,12,0,6,5,0,1,2,0,0,13
6,21401133,"APR 03, 2015",ORL @ MIN,7,2,2,6,1,10,3,1,3,0,0,0,5
7,21401113,"APR 01, 2015",ORL vs. SAS,0,1,0,2,1,1,0,0,1,0,0,0,-7
8,21401074,"MAR 27, 2015",ORL vs. DET,4,2,0,3,1,4,2,0,0,0,0,0,-8
9,21401062,"MAR 25, 2015",ORL vs. ATL,0,1,2,3,0,1,0,0,1,0,0,0,1
10,21401044,"MAR 22, 2015",ORL vs. DEN,8,0,0,3,0,8,3,0,2,1,2,2,-9
11,21401020,"MAR 20, 2015",ORL vs. POR,4,0,1,6,0,3,1,0,0,0,2,2,8
12,21401012,"MAR 18, 2015",ORL @ DAL,6,0,0,6,0,5,2,0,2,1,2,2,-1
13,21401002,"MAR 17, 2015",ORL @ HOU,0,0,0,0,0,0,0,0,0,1,0,0,-1
14,21400985,"MAR 15, 2015",ORL vs. CLE,2,1,1,1,2,3,1,0,2,0,0,0,-6
15,21400969,"MAR 13, 2015",ORL @ BOS,11,0,1,8,2,8,4,1,3,1,2,2,-2
16,21400956,"MAR 11, 2015",ORL @ MIL,7,1,0,4,1,5,2,1,2,1,2,2,-4
17,21400946,"MAR 10, 2015",ORL @ IND,2,0,0,2,0,4,1,0,0,0,0,0,-23
18,21400935,"MAR 08, 2015",ORL vs. BOS,2,0,0,2,0,3,1,0,2,1,0,0,-6
19,21400913,"MAR 06, 2015",ORL vs. SAC,2,0,0,1,2,2,1,0,1,0,0,0,-5
