,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0021601217,"APR 12, 2017",ORL vs. DET,32,0,1,12,0,20,11,3,7,2,7,7,17
1,0021601206,"APR 10, 2017",ORL @ CHI,10,2,0,6,2,6,4,0,0,0,2,2,-29
2,0021601190,"APR 08, 2017",ORL vs. IND,17,3,2,4,1,13,7,1,3,1,2,2,-10
3,0021601174,"APR 06, 2017",ORL vs. BKN,21,2,3,6,1,15,9,0,3,0,4,3,17
4,0021601156,"APR 04, 2017",ORL @ CLE,12,0,0,5,4,14,5,2,4,0,0,0,-25
5,0021601139,"APR 01, 2017",ORL @ BKN,22,5,2,15,1,18,9,4,7,0,0,0,9
6,0021601129,"MAR 31, 2017",ORL @ BOS,32,1,1,16,0,24,11,3,5,2,8,7,0
7,0021601112,"MAR 29, 2017",ORL vs. OKC,13,1,4,6,0,11,5,1,5,1,2,2,-13
8,0021601097,"MAR 27, 2017",ORL @ TOR,16,0,2,1,0,13,7,0,2,0,4,2,-7
9,0021601074,"MAR 24, 2017",ORL vs. DET,16,2,0,4,0,11,8,0,2,1,0,0,28
10,0021601059,"MAR 22, 2017",ORL vs. CHA,7,2,0,3,2,8,3,1,4,0,0,0,5
11,0021601045,"MAR 20, 2017",ORL vs. PHI,17,4,0,3,2,7,4,0,0,1,11,9,3
12,0021601026,"MAR 17, 2017",ORL @ PHX,17,0,1,4,2,12,7,1,3,4,2,2,7
13,0021601019,"MAR 16, 2017",ORL @ GSW,6,1,0,3,1,7,2,0,2,0,4,2,-17
14,0021600997,"MAR 13, 2017",ORL @ SAC,17,2,2,3,1,15,6,2,3,0,3,3,2
15,0021600977,"MAR 11, 2017",ORL vs. CLE,16,3,0,5,0,12,6,0,1,0,4,4,-8
16,0021600965,"MAR 10, 2017",ORL @ CHA,20,0,0,5,2,14,8,0,1,0,5,4,-18
17,0021600949,"MAR 08, 2017",ORL vs. CHI,13,0,2,4,2,7,4,0,1,0,6,5,10
18,0021600935,"MAR 06, 2017",ORL vs. NYK,17,4,0,5,1,15,8,1,6,1,1,0,8
19,0021600930,"MAR 05, 2017",ORL @ WAS,15,3,1,11,2,13,5,1,5,0,5,4,-2
20,0021600911,"MAR 03, 2017",ORL vs. MIA,21,1,0,10,2,17,9,1,4,1,2,2,18
21,0021600895,"MAR 01, 2017",ORL vs. NYK,10,0,0,5,0,12,4,0,3,0,2,2,-13
22,0021600867,"FEB 25, 2017",ORL vs. ATL,18,3,2,3,1,11,7,0,2,0,4,4,27
23,0021600850,"FEB 23, 2017",ORL vs. POR,9,2,0,9,0,9,4,0,2,2,2,1,-14
24,0021600834,"FEB 15, 2017",ORL vs. SAS,11,2,0,6,2,9,3,0,2,1,5,5,-21
25,0021600823,"FEB 13, 2017",ORL @ MIA,8,3,2,6,5,6,3,0,1,1,4,2,8
26,0021600780,"FEB 07, 2017",ORL @ HOU,7,4,0,2,1,5,3,1,3,0,0,0,-5
