,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001076,"MAY 16, 2021",DEN @ POR,2,0,0,2,0,0,2,0
1,0022001052,"MAY 13, 2021",DEN @ MIN,15,4,1,3,1,1,2,0
2,0022000448,"MAY 11, 2021",DEN @ CHA,17,3,2,6,0,1,2,0
3,0022001008,"MAY 07, 2021",DEN @ UTA,10,1,1,6,1,0,3,0
4,0022000995,"MAY 05, 2021",DEN vs. NYK,0,1,0,5,2,0,2,0
5,0022000982,"MAY 03, 2021",DEN @ LAL,5,1,0,6,2,0,1,4
6,0022000966,"MAY 01, 2021",DEN @ LAC,7,2,0,1,0,0,2,0
7,0022000948,"APR 29, 2021",DEN vs. TOR,9,4,0,7,2,0,2,1
8,0022000940,"APR 28, 2021",DEN vs. NOP,10,1,0,5,2,0,1,0
9,0022000925,"APR 26, 2021",DEN vs. MEM,15,2,1,5,0,2,3,0
10,0022000910,"APR 24, 2021",DEN vs. HOU,7,1,1,2,2,1,4,0
11,0022000903,"APR 23, 2021",DEN @ GSW,17,2,0,6,2,2,5,1
12,0022000890,"APR 21, 2021",DEN @ POR,12,3,2,6,2,2,4,0
13,0022000874,"APR 19, 2021",DEN vs. MEM,2,3,0,8,2,0,3,1
14,0022000851,"APR 16, 2021",DEN @ HOU,8,2,1,2,1,0,2,0
15,0022000838,"APR 14, 2021",DEN vs. MIA,16,3,0,9,1,1,3,0
16,0022000821,"APR 12, 2021",DEN @ GSW,9,3,1,6,1,1,2,0
17,0022000806,"APR 11, 2021",DEN vs. BOS,7,2,0,7,0,1,3,1
18,0022000797,"APR 09, 2021",DEN vs. SAS,11,2,0,1,1,1,4,1
19,0022000782,"APR 07, 2021",DEN vs. SAS,9,3,2,2,2,0,2,1
20,0022000321,"APR 06, 2021",DEN vs. DET,9,3,0,4,1,1,3,0
21,0022000761,"APR 04, 2021",DEN vs. ORL,24,2,0,7,1,1,1,2
22,0022000736,"APR 01, 2021",DEN @ LAC,14,6,3,6,1,1,4,2
23,0022000719,"MAR 30, 2021",DEN vs. PHI,6,1,1,4,3,0,0,0
24,0022000705,"MAR 28, 2021",DEN vs. ATL,13,1,1,2,0,1,4,0
25,0022000670,"MAR 24, 2021",ORL vs. PHX,13,3,0,7,2,0,5,2
26,0022000661,"MAR 23, 2021",ORL vs. DEN,13,6,1,3,3,1,5,1
27,0022000167,"MAR 21, 2021",ORL @ BOS,12,5,0,6,2,2,7,0
28,0022000633,"MAR 19, 2021",ORL vs. BKN,38,4,1,6,7,7,8,0
29,0022000627,"MAR 18, 2021",ORL @ NYK,17,7,0,5,0,1,2,0
30,0022000571,"MAR 11, 2021",ORL @ MIA,9,0,0,2,0,0,1,1
31,0022000309,"JAN 31, 2021",ORL @ TOR,14,3,1,5,1,2,5,0
32,0022000289,"JAN 29, 2021",ORL vs. LAC,9,2,1,7,6,1,1,0
33,0022000273,"JAN 27, 2021",ORL vs. SAC,3,5,0,5,4,1,3,0
34,0022000259,"JAN 25, 2021",ORL vs. CHA,12,7,0,11,3,2,4,1
35,0022000231,"JAN 22, 2021",ORL @ IND,17,9,0,9,6,4,7,2
36,0022000221,"JAN 20, 2021",ORL @ MIN,13,7,1,9,4,1,4,4
37,0022000203,"JAN 18, 2021",ORL @ NYK,18,10,0,17,4,2,7,2
38,0022000190,"JAN 16, 2021",ORL @ BKN,11,6,2,6,3,0,6,0
39,0022000180,"JAN 15, 2021",ORL @ BOS,17,3,0,2,2,3,5,0
40,0022000151,"JAN 11, 2021",ORL vs. MIL,21,8,1,5,4,3,4,2
41,0022000139,"JAN 09, 2021",ORL @ DAL,16,5,1,4,2,1,7,1
42,0022000108,"JAN 06, 2021",ORL vs. CLE,15,3,1,8,5,2,2,1
43,0022000093,"JAN 04, 2021",ORL vs. CLE,24,1,1,11,2,6,9,0
44,0022000081,"JAN 02, 2021",ORL vs. OKC,15,5,0,8,0,1,6,0
45,0022000064,"DEC 31, 2020",ORL vs. PHI,6,1,0,3,2,0,4,2
46,0022000052,"DEC 29, 2020",ORL @ OKC,12,2,1,5,3,0,3,1
47,0022000033,"DEC 27, 2020",ORL @ WAS,4,0,0,6,0,0,1,0
48,0022000024,"DEC 26, 2020",ORL @ WAS,15,3,0,9,0,1,2,0
49,0022000012,"DEC 23, 2020",ORL vs. MIA,20,0,4,7,2,1,4,0
