Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST
0022300539,"JAN 12, 2024",DEN vs. NOP,15,2,0,5,2,12,7,0,2,0,3,1,9,22,17,7
0022300524,"JAN 10, 2024",DEN @ UTA,12,4,1,5,2,6,5,2,2,0,0,0,-20,21,16,9
0022300502,"JAN 07, 2024",DEN vs. DET,8,1,1,1,0,4,3,0,0,0,2,2,10,10,9,2
0022300488,"JAN 05, 2024",DEN vs. ORL,16,3,0,8,1,8,5,2,4,0,5,4,-4,27,19,11
0022300478,"JAN 04, 2024",DEN @ GSW,30,2,0,9,0,17,11,2,4,1,7,6,6,41,32,11
0022300455,"JAN 01, 2024",DEN vs. CHA,10,0,1,2,0,5,4,1,1,1,2,1,29,12,10,2
0022300402,"DEC 25, 2023",DEN vs. GSW,16,3,1,10,2,10,7,1,4,0,4,1,13,29,19,13
0022300390,"DEC 23, 2023",DEN @ CHA,14,1,1,2,2,11,5,0,0,1,5,4,12,17,15,3
0022300383,"DEC 22, 2023",DEN @ BKN,18,2,1,5,1,6,5,0,0,0,9,8,19,25,20,7
0022300369,"DEC 20, 2023",DEN @ TOR,12,2,0,5,1,9,6,0,1,0,0,0,14,19,14,7
0022300356,"DEC 18, 2023",DEN vs. DAL,21,5,1,5,0,9,7,2,3,0,6,5,18,31,26,10
0022300340,"DEC 16, 2023",DEN vs. OKC,16,5,2,9,0,10,5,0,0,0,7,6,-7,30,21,14
0022300322,"DEC 14, 2023",DEN vs. BKN,13,2,1,3,2,9,6,0,1,1,1,1,16,18,15,5
0022300307,"DEC 12, 2023",DEN @ CHI,14,6,0,7,0,13,6,1,2,0,2,1,8,27,20,13
0022300296,"DEC 11, 2023",DEN @ ATL,18,1,0,12,2,10,7,0,0,0,5,4,9,31,19,13
0022301224,"DEC 08, 2023",DEN vs. HOU,3,3,0,6,1,5,1,0,2,0,5,1,-12,12,6,9
0022301215,"DEC 06, 2023",DEN @ LAC,8,2,2,6,0,9,4,0,0,0,0,0,6,16,10,8
0022300290,"DEC 02, 2023",DEN @ SAC,17,3,0,7,1,13,8,1,3,1,0,0,-11,27,20,10
0022300048,"NOV 24, 2023",DEN @ HOU,2,2,0,7,1,12,0,0,4,0,4,2,-9,11,4,9
0022300226,"NOV 22, 2023",DEN @ ORL,15,1,2,10,2,16,7,1,3,0,2,0,4,26,16,11
0022300218,"NOV 20, 2023",DEN @ DET,11,7,1,9,2,11,4,0,1,0,4,3,-2,27,18,16
0022300210,"NOV 19, 2023",DEN @ CLE,11,5,1,4,1,11,4,0,2,2,6,3,-18,20,16,9
0022300034,"NOV 17, 2023",DEN @ NOP,14,2,1,8,0,14,7,0,4,0,3,0,1,24,16,10
0022300024,"NOV 14, 2023",DEN vs. LAC,20,5,0,5,3,12,8,1,2,0,3,3,2,30,25,10
0022300182,"NOV 12, 2023",DEN @ HOU,16,5,0,8,2,10,6,1,2,2,6,3,8,29,21,13
0022300169,"NOV 08, 2023",DEN vs. GSW,14,3,3,11,2,14,5,1,2,1,4,3,12,28,17,14
0022300156,"NOV 06, 2023",DEN vs. NOP,15,6,0,12,2,11,7,0,2,1,2,1,8,33,21,18
0022300139,"NOV 04, 2023",DEN vs. CHI,15,5,2,12,3,9,4,1,3,1,8,6,26,32,20,17
0022300006,"NOV 03, 2023",DEN vs. DAL,18,6,2,8,4,17,8,2,6,1,0,0,22,32,24,14
0022300123,"NOV 01, 2023",DEN @ MIN,4,2,0,2,2,3,2,0,1,1,0,0,-13,8,6,4
0022300110,"OCT 30, 2023",DEN vs. UTA,21,2,0,7,3,12,10,0,0,0,4,1,8,30,23,9
0022300095,"OCT 29, 2023",DEN @ OKC,9,2,1,3,1,7,4,0,1,3,3,1,22,14,11,5
0022300078,"OCT 27, 2023",DEN @ MEM,10,3,3,2,1,11,5,0,1,1,1,0,8,15,13,5
0022300061,"OCT 24, 2023",DEN vs. LAL,15,5,2,7,0,11,7,1,2,1,0,0,6,27,20,12
