,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,20801214,"APR 14, 2009",ATL vs. MIA,8,0,0,5,2,0,0,0
1,20801178,"APR 10, 2009",ATL vs. IND,22,5,2,15,3,0,0,1
2,20801167,"APR 08, 2009",ATL @ MIL,19,1,1,9,3,0,0,0
3,20801154,"APR 07, 2009",ATL @ TOR,15,1,1,12,0,0,0,1
4,20801138,"APR 04, 2009",ATL vs. ORL,13,1,0,13,2,0,0,2
5,20801127,"APR 03, 2009",ATL @ BOS,14,3,3,8,1,0,0,1
6,20801107,"MAR 31, 2009",ATL @ PHI,4,0,0,8,3,0,0,3
7,20801092,"MAR 29, 2009",ATL vs. LAL,4,1,0,5,1,0,0,0
8,20801076,"MAR 27, 2009",ATL vs. BOS,6,1,2,14,2,0,0,1
9,20801059,"MAR 25, 2009",ATL vs. SAS,7,2,1,13,0,0,0,2
10,20801048,"MAR 23, 2009",ATL vs. MIN,12,1,0,13,2,0,0,1
11,20801034,"MAR 21, 2009",ATL @ CLE,6,6,0,11,0,0,0,0
12,20801020,"MAR 19, 2009",ATL vs. DAL,13,3,0,8,2,0,0,4
13,20801001,"MAR 17, 2009",ATL vs. SAC,23,6,1,12,1,0,0,0
14,20800985,"MAR 15, 2009",ATL vs. POR,13,2,1,5,1,0,0,0
15,20800972,"MAR 13, 2009",ATL vs. IND,17,4,0,15,2,0,0,3
16,20800955,"MAR 11, 2009",ATL vs. UTA,13,2,2,12,1,0,0,3
17,20800943,"MAR 09, 2009",ATL vs. NOH,5,2,2,8,0,0,0,2
18,20800927,"MAR 07, 2009",ATL vs. DET,18,2,1,12,1,0,0,0
19,20800917,"MAR 06, 2009",ATL @ CHA,15,1,0,7,0,0,0,1
20,20800908,"MAR 04, 2009",ATL @ NYK,20,2,0,13,1,0,0,2
21,20800893,"MAR 02, 2009",ATL @ WAS,16,5,1,8,3,0,0,2
22,20800885,"MAR 01, 2009",ATL vs. CLE,10,1,1,10,2,0,0,2
23,20800866,"FEB 27, 2009",ATL vs. MIA,21,1,0,22,3,0,0,1
24,20800858,"FEB 25, 2009",ATL @ DEN,21,2,3,11,3,0,0,1
25,20800839,"FEB 23, 2009",ATL @ UTA,14,5,1,6,3,0,0,0
26,20800820,"FEB 20, 2009",ATL @ POR,4,3,1,6,2,0,0,2
27,20800806,"FEB 18, 2009",ATL @ SAC,18,4,1,18,1,0,0,2
28,20800797,"FEB 17, 2009",ATL @ LAL,6,1,3,7,1,0,0,0
29,20800778,"FEB 11, 2009",ATL @ DET,15,2,1,7,1,0,0,2
30,20800764,"FEB 10, 2009",ATL vs. WAS,6,0,1,8,1,0,0,1
31,20800743,"FEB 07, 2009",ATL vs. LAC,8,2,1,5,1,0,0,0
32,20800734,"FEB 06, 2009",ATL @ CHA,5,4,1,4,0,0,0,0
33,20800726,"FEB 04, 2009",ATL @ MIN,4,3,3,6,3,0,0,2
34,20800528,"JAN 09, 2009",ATL @ ORL,7,0,0,6,0,0,0,0
35,20800514,"JAN 07, 2009",ATL vs. ORL,9,1,1,13,2,0,1,3
36,20800488,"JAN 03, 2009",ATL vs. HOU,10,1,0,6,1,0,0,1
37,20800477,"JAN 02, 2009",ATL @ NJN,10,0,1,8,3,0,0,1
38,20800459,"DEC 30, 2008",ATL @ IND,12,2,0,14,1,0,0,2
39,20800450,"DEC 29, 2008",ATL vs. DEN,16,4,0,10,3,0,0,1
40,20800436,"DEC 27, 2008",ATL vs. CHI,10,5,0,10,0,0,0,1
41,20800409,"DEC 23, 2008",ATL vs. OKC,6,2,0,8,2,0,0,3
42,20800399,"DEC 21, 2008",ATL vs. DET,11,4,0,11,0,0,0,1
43,20800379,"DEC 19, 2008",ATL vs. GSW,14,5,0,6,2,0,0,3
44,20800366,"DEC 17, 2008",ATL vs. BOS,8,4,0,11,2,0,0,2
45,20800351,"DEC 15, 2008",ATL vs. CHA,12,5,0,14,3,0,0,2
46,20800337,"DEC 13, 2008",ATL vs. CLE,12,1,1,8,2,0,0,1
47,20800327,"DEC 12, 2008",ATL @ MIA,8,2,1,10,1,0,0,1
48,20800319,"DEC 10, 2008",ATL @ SAS,8,0,0,7,3,0,0,4
49,20800310,"DEC 09, 2008",ATL @ HOU,14,2,2,8,0,0,0,0
50,20800278,"DEC 05, 2008",ATL vs. NYK,14,1,1,9,0,0,0,0
51,20800263,"DEC 03, 2008",ATL vs. MEM,15,4,0,5,2,0,0,2
52,20800238,"NOV 29, 2008",ATL @ WAS,19,6,2,13,2,0,0,1
53,20800225,"NOV 28, 2008",ATL @ TOR,10,5,0,8,3,0,0,1
54,20800210,"NOV 26, 2008",ATL vs. MIL,21,2,2,9,3,0,0,3
55,20800186,"NOV 22, 2008",ATL @ CLE,12,2,0,9,0,0,0,1
56,20800175,"NOV 21, 2008",ATL vs. CHA,4,0,2,4,3,0,0,2
57,20800150,"NOV 18, 2008",ATL @ IND,2,0,0,0,0,0,0,0
58,20800133,"NOV 15, 2008",ATL vs. NJN,12,1,0,6,1,0,0,1
59,20800123,"NOV 14, 2008",ATL @ NJN,6,4,0,11,3,0,0,0
60,20800107,"NOV 12, 2008",ATL @ BOS,5,2,2,3,1,0,0,2
61,20800101,"NOV 11, 2008",ATL @ CHI,27,3,1,17,2,0,0,6
62,20800089,"NOV 09, 2008",ATL @ OKC,8,2,0,12,1,0,0,5
63,20800068,"NOV 07, 2008",ATL vs. TOR,7,2,0,8,2,0,0,0
64,20800058,"NOV 05, 2008",ATL @ NOH,10,4,1,8,1,0,0,1
65,20800026,"NOV 01, 2008",ATL vs. PHI,9,4,0,7,0,0,0,1
66,20800004,"OCT 29, 2008",ATL @ ORL,10,4,1,9,2,0,0,1
67,20901207,"APR 12, 2010",ATL @ MIL,13,2,0,12,3,0,0,2
68,20901189,"APR 10, 2010",ATL @ WAS,8,2,0,10,3,0,0,2
69,20901176,"APR 09, 2010",ATL vs. TOR,12,5,2,15,2,0,0,1
70,20901160,"APR 07, 2010",ATL @ DET,14,6,0,12,0,0,0,2
71,20901149,"APR 06, 2010",ATL @ CHA,16,3,0,12,1,0,0,2
72,20901133,"APR 03, 2010",ATL vs. DET,20,3,0,14,2,0,0,1
73,20901126,"APR 02, 2010",ATL @ CLE,13,3,0,8,0,0,0,2
74,20901107,"MAR 31, 2010",ATL vs. LAL,10,1,1,6,0,0,0,0
75,20901089,"MAR 28, 2010",ATL vs. IND,18,1,0,12,1,0,0,0
76,20901074,"MAR 26, 2010",ATL @ PHI,13,3,0,10,4,0,0,1
77,20901057,"MAR 24, 2010",ATL vs. ORL,12,0,2,11,3,0,0,1
78,20901046,"MAR 22, 2010",ATL @ MIL,12,4,0,12,1,0,0,1
79,20901038,"MAR 21, 2010",ATL vs. SAS,22,1,2,18,3,0,0,0
80,20901020,"MAR 19, 2010",ATL vs. CHA,13,0,1,13,1,0,0,2
81,20901008,"MAR 17, 2010",ATL @ TOR,18,5,0,14,2,0,0,2
82,20901000,"MAR 16, 2010",ATL @ NJN,15,7,0,11,1,0,0,0
83,20900976,"MAR 13, 2010",ATL vs. DET,15,3,2,7,3,0,0,1
84,20900742,"MAR 11, 2010",ATL @ WAS,18,1,0,5,1,0,0,1
85,20900941,"MAR 08, 2010",ATL @ NYK,18,0,3,12,3,0,0,0
86,20900926,"MAR 06, 2010",ATL @ MIA,10,4,0,9,2,0,0,1
87,20900919,"MAR 05, 2010",ATL vs. GSW,27,1,0,15,0,0,0,0
