,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021601219,"APR 12, 2017",BOS vs. MIL,12,2,2,6,1,0,2,0
1,0021601204,"APR 10, 2017",BOS vs. BKN,19,4,1,8,1,1,3,1
2,0021601189,"APR 08, 2017",BOS @ CHA,16,7,1,4,0,2,5,1
3,0021601177,"APR 06, 2017",BOS @ ATL,4,3,0,5,1,0,2,1
4,0021601169,"APR 05, 2017",BOS vs. CLE,12,3,0,7,2,1,1,0
5,0021601145,"APR 02, 2017",BOS @ NYK,14,1,0,7,1,1,4,0
6,0021601129,"MAR 31, 2017",BOS vs. ORL,12,6,1,9,5,0,2,0
7,0021601113,"MAR 29, 2017",BOS vs. MIL,11,6,1,6,1,3,3,0
8,0021601093,"MAR 26, 2017",BOS vs. MIA,7,8,2,10,1,0,0,1
9,0021601076,"MAR 24, 2017",BOS vs. PHX,15,6,2,10,2,0,1,0
10,0021601060,"MAR 22, 2017",BOS vs. IND,15,8,1,8,2,1,3,0
11,0021601047,"MAR 20, 2017",BOS vs. WAS,16,5,1,9,1,0,1,2
12,0021601037,"MAR 19, 2017",BOS @ PHI,27,6,1,8,1,1,2,2
13,0021601022,"MAR 17, 2017",BOS @ BKN,14,4,1,8,1,1,2,4
14,0021601006,"MAR 15, 2017",BOS vs. MIN,20,8,0,9,1,1,2,1
15,0021600985,"MAR 12, 2017",BOS vs. CHI,12,6,1,7,4,2,2,2
16,0021600970,"MAR 10, 2017",BOS @ DEN,15,2,1,6,5,1,2,0
17,0021600959,"MAR 08, 2017",BOS @ GSW,10,6,2,6,1,1,1,0
18,0021600918,"MAR 03, 2017",BOS @ LAL,17,3,0,4,0,1,2,0
19,0021600901,"MAR 01, 2017",BOS vs. CLE,9,10,0,10,2,1,1,1
20,0021600885,"FEB 27, 2017",BOS vs. ATL,6,5,1,6,3,0,4,1
21,0021600879,"FEB 26, 2017",BOS @ DET,4,5,0,9,0,0,3,1
22,0021600858,"FEB 24, 2017",BOS @ TOR,8,1,1,5,2,0,0,0
23,0021600849,"FEB 16, 2017",BOS @ CHI,7,3,0,2,0,1,5,1
24,0021600836,"FEB 15, 2017",BOS vs. PHI,12,2,2,5,4,2,3,0
25,0021600826,"FEB 13, 2017",BOS @ DAL,11,4,1,5,2,1,2,0
26,0021600815,"FEB 11, 2017",BOS @ UTA,16,3,0,9,4,2,4,1
27,0021600798,"FEB 09, 2017",BOS @ POR,12,4,0,6,1,1,2,1
28,0021600793,"FEB 08, 2017",BOS @ SAC,10,1,1,6,3,1,2,1
29,0021600766,"FEB 05, 2017",BOS vs. LAC,13,6,1,15,2,3,9,2
30,0021600751,"FEB 03, 2017",BOS vs. LAL,11,8,0,8,2,1,4,1
31,0021600732,"FEB 01, 2017",BOS vs. TOR,11,6,1,3,1,1,5,0
32,0021600721,"JAN 30, 2017",BOS vs. DET,13,6,0,6,2,1,3,2
33,0021600681,"JAN 25, 2017",BOS vs. HOU,20,9,3,3,1,2,2,2
34,0021600676,"JAN 24, 2017",BOS @ WAS,22,4,0,2,1,2,3,1
35,0021600650,"JAN 21, 2017",BOS vs. POR,17,5,0,10,1,2,2,0
36,0021600630,"JAN 18, 2017",BOS vs. NYK,5,10,1,7,0,1,8,1
37,0021600618,"JAN 16, 2017",BOS vs. CHA,22,4,0,6,2,1,5,0
38,0021600597,"JAN 13, 2017",BOS @ ATL,10,6,1,6,1,2,5,1
39,0021600583,"JAN 11, 2017",BOS vs. WAS,16,3,2,9,2,2,6,2
40,0021600572,"JAN 10, 2017",BOS @ TOR,14,4,1,9,3,2,4,0
41,0021600553,"JAN 07, 2017",BOS vs. NOP,8,8,0,7,2,1,6,2
42,0021600546,"JAN 06, 2017",BOS vs. PHI,19,4,0,12,1,4,7,2
