Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST
0022300534,"JAN 12, 2024",HOU @ DET,29,1,1,6,4,19,12,0,1,0,7,5,10,36,30
0022300523,"JAN 10, 2024",HOU @ CHI,25,5,2,9,2,19,11,0,3,0,8,3,-8,39,30
0022300509,"JAN 08, 2024",HOU @ MIA,22,2,3,10,3,15,9,1,2,0,4,3,-10,34,24
0022300496,"JAN 06, 2024",HOU vs. MIL,21,4,0,11,3,21,7,0,1,0,10,7,0,36,25
0022300485,"JAN 05, 2024",HOU vs. MIN,19,1,0,5,2,17,8,0,1,0,3,3,-16,25,20
0022300469,"JAN 03, 2024",HOU vs. BKN,30,4,3,8,2,17,11,0,2,1,10,8,17,42,34
0022300453,"JAN 01, 2024",HOU vs. DET,26,9,3,4,2,13,9,0,2,0,9,8,20,39,35
0022300434,"DEC 29, 2023",HOU vs. PHI,28,8,1,7,5,16,12,1,2,1,4,3,12,43,36
0022300418,"DEC 27, 2023",HOU vs. PHX,24,1,2,5,0,18,9,1,4,0,6,5,-11,30,25
0022300409,"DEC 26, 2023",HOU vs. IND,30,5,4,16,4,20,11,0,0,0,9,8,-8,51,35
0022300392,"DEC 23, 2023",HOU @ NOP,37,6,1,11,2,21,11,1,1,1,17,14,-2,54,43
0022300385,"DEC 22, 2023",HOU vs. DAL,22,3,0,15,0,12,8,1,1,0,5,5,30,40,25
0022300371,"DEC 20, 2023",HOU vs. ATL,14,5,0,9,0,12,7,0,0,1,0,0,-10,28,19
0022300349,"DEC 18, 2023",HOU @ CLE,24,6,1,8,4,20,11,1,3,0,2,1,-3,38,30
0022300346,"DEC 17, 2023",HOU @ MIL,20,5,1,8,0,15,8,0,3,1,6,4,-7,33,25
0022300332,"DEC 15, 2023",HOU @ MEM,15,1,2,7,4,12,4,0,0,3,7,7,1,23,16
0022300314,"DEC 13, 2023",HOU vs. MEM,9,2,0,10,2,8,2,0,1,0,6,5,-10,21,11
0022300298,"DEC 11, 2023",HOU vs. SAS,15,4,2,9,6,12,6,1,1,1,4,2,10,28,19
0022301224,"DEC 08, 2023",HOU @ DEN,17,7,0,10,1,14,7,0,1,1,5,3,11,34,24
0022301212,"DEC 06, 2023",HOU vs. OKC,21,7,1,6,4,13,8,0,2,2,11,5,12,34,28
0022300291,"DEC 02, 2023",HOU @ LAL,21,5,2,13,0,25,8,3,8,2,2,2,-6,39,26
0022300263,"NOV 29, 2023",HOU @ DEN,22,4,1,7,1,18,10,2,6,0,0,0,-19,33,26
0022300059,"NOV 28, 2023",HOU @ DAL,31,6,0,9,3,19,10,0,2,1,14,11,-8,46,37
0022300048,"NOV 24, 2023",HOU vs. DEN,21,8,2,15,5,19,8,0,4,1,6,5,12,44,29
0022300231,"NOV 22, 2023",HOU vs. MEM,11,3,0,7,2,9,4,1,1,3,3,2,21,21,14
0022300224,"NOV 20, 2023",HOU @ GSW,30,5,1,13,3,23,13,2,3,1,5,2,6,48,35
0022300216,"NOV 19, 2023",HOU @ LAL,23,5,0,10,4,16,11,1,2,1,0,0,21,38,28
0022300037,"NOV 17, 2023",HOU @ LAC,23,4,1,8,6,18,8,2,5,0,7,5,-17,35,27
0022300182,"NOV 12, 2023",HOU vs. DEN,23,5,1,8,3,18,9,0,2,2,6,5,-8,36,28
0022300011,"NOV 10, 2023",HOU vs. NOP,24,3,2,8,4,15,11,0,2,1,5,2,-2,35,27
0022300163,"NOV 08, 2023",HOU vs. LAL,19,4,0,7,1,10,8,0,0,0,4,3,18,30,23
0022300153,"NOV 06, 2023",HOU vs. SAC,17,12,1,8,1,13,7,0,2,0,4,3,30,37,29
0022300137,"NOV 04, 2023",HOU vs. SAC,15,6,2,9,2,13,7,1,3,0,0,0,27,30,21
0022300122,"NOV 01, 2023",HOU vs. CHA,19,4,1,7,1,12,9,1,1,0,1,0,9,30,23
0022300096,"OCT 29, 2023",HOU vs. GSW,19,7,0,5,0,15,7,1,2,0,4,4,-10,31,26
0022300083,"OCT 27, 2023",HOU @ SAS,25,7,2,14,6,18,11,1,3,1,6,2,-4,46,32
0022300066,"OCT 25, 2023",HOU @ ORL,14,6,0,8,1,11,6,0,1,0,4,2,-4,28,20
