,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21201170,"APR 10, 2013",NOH @ SAC,13,2,0,10,1,0,0,2
1,21201162,"APR 09, 2013",NOH @ LAL,18,2,4,14,0,0,0,1
2,21201152,"APR 07, 2013",NOH @ PHX,20,1,3,3,3,0,0,2
3,21201133,"APR 05, 2013",NOH @ UTA,24,0,0,12,0,0,0,3
4,21201122,"APR 03, 2013",NOH @ GSW,6,0,1,9,1,0,0,1
5,21201096,"MAR 31, 2013",NOH vs. CLE,17,2,1,13,0,0,0,2
6,21201080,"MAR 29, 2013",NOH vs. MIA,11,0,4,5,2,0,0,2
7,21201063,"MAR 27, 2013",NOH vs. LAC,19,2,1,9,1,0,0,0
8,21201051,"MAR 25, 2013",NOH vs. DEN,14,2,0,6,0,0,0,1
9,21201027,"MAR 22, 2013",NOH vs. MEM,18,2,0,15,1,0,0,2
10,21201013,"MAR 20, 2013",NOH vs. BOS,9,1,1,8,4,0,0,2
11,21201001,"MAR 18, 2013",NOH vs. GSW,16,0,2,7,3,0,0,1
12,21200989,"MAR 17, 2013",NOH @ MIN,17,2,3,9,2,0,0,1
13,21200970,"MAR 15, 2013",NOH @ WAS,16,0,0,7,1,0,0,0
14,21200951,"MAR 12, 2013",NOH @ BKN,19,2,1,11,1,0,0,5
15,21200939,"MAR 10, 2013",NOH vs. POR,18,1,1,10,1,0,0,1
16,21200930,"MAR 09, 2013",NOH @ MEM,20,2,0,18,2,0,0,0
17,21200906,"MAR 06, 2013",NOH vs. LAL,13,1,0,6,2,0,0,2
18,21200891,"MAR 04, 2013",NOH vs. ORL,17,0,0,15,3,0,0,4
19,21200847,"FEB 26, 2013",NOH vs. BKN,6,0,1,4,0,0,0,2
20,21200834,"FEB 24, 2013",NOH vs. SAC,20,1,0,8,0,0,0,0
21,21200818,"FEB 22, 2013",NOH vs. DAL,10,0,1,11,1,0,1,0
22,21200800,"FEB 20, 2013",NOH @ CLE,12,1,0,4,1,0,0,2
23,21200793,"FEB 19, 2013",NOH vs. CHI,15,3,4,10,1,0,0,1
24,21200783,"FEB 13, 2013",NOH vs. POR,21,3,1,11,2,0,0,2
25,21200765,"FEB 11, 2013",NOH @ DET,1,1,1,8,1,0,1,4
26,21200755,"FEB 10, 2013",NOH @ TOR,2,1,1,6,1,0,0,2
27,21200738,"FEB 08, 2013",NOH @ ATL,8,1,2,7,1,0,0,1
28,21200728,"FEB 06, 2013",NOH vs. PHX,8,1,1,1,2,0,0,3
29,21200700,"FEB 02, 2013",NOH @ MIN,18,1,2,4,1,0,0,1
30,21200692,"FEB 01, 2013",NOH @ DEN,13,2,0,10,2,0,0,3
31,21200680,"JAN 30, 2013",NOH @ UTA,14,1,0,7,1,0,0,2
32,21200669,"JAN 29, 2013",NOH @ LAL,18,0,2,3,0,0,0,0
33,21200655,"JAN 27, 2013",NOH @ MEM,10,1,2,6,5,0,0,2
34,21200638,"JAN 25, 2013",NOH vs. HOU,10,0,3,7,2,0,0,1
35,21200624,"JAN 23, 2013",NOH @ SAS,9,2,1,7,2,0,0,1
36,21200606,"JAN 21, 2013",NOH vs. SAC,11,0,1,6,0,0,0,3
37,21200596,"JAN 19, 2013",NOH vs. GSW,20,4,1,12,1,0,0,4
38,21200573,"JAN 16, 2013",NOH @ BOS,10,1,1,10,1,0,0,2
39,21200564,"JAN 15, 2013",NOH @ PHI,10,2,2,7,1,0,0,2
40,21200549,"JAN 13, 2013",NOH @ NYK,13,2,1,8,0,0,0,1
41,21200536,"JAN 11, 2013",NOH vs. MIN,9,0,0,0,1,0,0,0
42,21200521,"JAN 09, 2013",NOH vs. HOU,6,1,3,3,0,0,0,2
43,21200507,"JAN 07, 2013",NOH vs. SAS,17,0,3,9,1,0,0,1
44,21200495,"JAN 05, 2013",NOH @ DAL,4,0,0,1,1,0,0,0
45,21200471,"JAN 02, 2013",NOH @ HOU,8,0,0,7,2,0,0,1
46,21200461,"JAN 01, 2013",NOH vs. ATL,9,0,0,13,1,0,0,4
47,21200437,"DEC 29, 2012",NOH @ CHA,8,0,0,10,3,0,1,3
48,21200430,"DEC 28, 2012",NOH vs. TOR,25,0,1,9,2,0,0,3
49,21200412,"DEC 26, 2012",NOH @ ORL,12,2,2,11,0,0,0,2
50,21200393,"DEC 22, 2012",NOH vs. IND,10,1,0,9,0,0,0,1
51,21200387,"DEC 21, 2012",NOH @ SAS,18,0,1,11,2,0,0,1
52,21200376,"DEC 19, 2012",NOH @ LAC,16,0,0,5,1,0,1,1
53,21200365,"DEC 18, 2012",NOH @ GSW,15,1,4,16,3,0,0,1
54,21200349,"DEC 16, 2012",NOH @ POR,15,1,0,5,2,0,0,1
55,21200331,"DEC 14, 2012",NOH vs. MIN,11,2,1,7,3,0,0,3
56,21200318,"DEC 12, 2012",NOH @ OKC,11,0,1,4,2,0,0,1
57,21200307,"DEC 11, 2012",NOH vs. WAS,13,0,3,8,2,0,0,3
58,21200136,"NOV 17, 2012",NOH @ MIL,28,1,0,11,4,0,0,0
59,21200125,"NOV 16, 2012",NOH vs. OKC,8,1,0,11,2,0,1,2
60,21200112,"NOV 14, 2012",NOH @ HOU,8,1,2,4,1,0,0,3
61,21200074,"NOV 09, 2012",NOH vs. CHA,23,2,2,11,1,0,1,5
62,21200021,"NOV 02, 2012",NOH vs. UTA,8,0,1,6,1,0,0,2
63,21200008,"OCT 31, 2012",NOH vs. SAS,21,0,1,7,0,0,0,1
64,21301157,"APR 06, 2014",NOP @ POR,15,1,0,5,0,0,0,4
65,21301138,"APR 04, 2014",NOP @ UTA,8,1,0,6,0,0,0,2
66,21301124,"APR 02, 2014",NOP @ DEN,6,1,0,3,0,0,0,0
67,21301108,"MAR 31, 2014",NOP vs. SAC,22,4,2,8,1,0,1,4
68,21301082,"MAR 28, 2014",NOP vs. UTA,0,0,0,0,0,0,0,0
69,21301066,"MAR 26, 2014",NOP vs. LAC,16,4,2,13,2,0,1,5
70,21301052,"MAR 24, 2014",NOP vs. BKN,24,1,0,14,2,0,0,3
71,21301036,"MAR 22, 2014",NOP vs. MIA,30,0,3,11,1,0,0,1
72,21301025,"MAR 21, 2014",NOP @ ATL,34,2,1,11,4,0,0,1
73,21300990,"MAR 16, 2014",NOP vs. BOS,40,3,1,21,1,0,0,3
74,21300977,"MAR 14, 2014",NOP vs. POR,36,1,1,9,2,0,0,2
75,21300963,"MAR 12, 2014",NOP vs. MEM,29,2,1,10,1,0,0,4
76,21300936,"MAR 09, 2014",NOP vs. DEN,32,3,1,17,3,0,0,6
77,21300923,"MAR 07, 2014",NOP vs. MIL,29,5,1,14,1,0,1,2
78,21300903,"MAR 04, 2014",NOP @ LAL,28,3,0,15,1,0,0,1
79,21300897,"MAR 03, 2014",NOP @ SAC,13,2,0,4,1,1,1,0
80,21300882,"MAR 01, 2014",NOP @ LAC,8,0,0,4,3,0,0,2
81,21300873,"FEB 28, 2014",NOP @ PHX,32,2,3,9,1,0,0,1
82,21300856,"FEB 26, 2014",NOP @ DAL,6,1,0,9,0,0,0,2
83,21300844,"FEB 24, 2014",NOP vs. LAC,26,2,0,11,1,0,1,2
84,21300826,"FEB 22, 2014",NOP @ WAS,26,0,1,11,0,0,0,0
85,21300815,"FEB 21, 2014",NOP @ CHA,18,4,0,13,1,0,0,4
