,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021601184,"APR 07, 2017",NOP @ DEN,25,0,1,6,1,0,3,0
1,0021601158,"APR 04, 2017",NOP vs. DEN,41,0,1,5,0,2,5,4
2,0021601146,"APR 02, 2017",NOP vs. CHI,30,2,3,11,3,1,4,1
3,0021601132,"MAR 31, 2017",NOP vs. SAC,19,2,1,12,1,0,2,6
4,0021601117,"MAR 29, 2017",NOP vs. DAL,30,2,2,14,1,0,1,1
5,0021601102,"MAR 27, 2017",NOP @ UTA,36,3,3,17,1,1,2,3
6,0021601095,"MAR 26, 2017",NOP @ DEN,31,3,0,13,3,1,2,1
7,0021601079,"MAR 24, 2017",NOP @ HOU,33,1,3,16,1,0,1,1
8,0021601054,"MAR 21, 2017",NOP vs. MEM,19,0,0,13,2,0,2,0
9,0021601039,"MAR 19, 2017",NOP vs. MIN,28,3,0,11,5,0,2,0
10,0021601024,"MAR 17, 2017",NOP vs. HOU,24,3,1,15,4,0,1,3
11,0021601007,"MAR 15, 2017",NOP @ MIA,27,1,3,8,2,0,1,3
12,0021601002,"MAR 14, 2017",NOP vs. POR,15,2,2,14,0,0,0,3
13,0021600976,"MAR 11, 2017",NOP @ CHA,46,3,0,21,0,4,5,1
14,0021600953,"MAR 08, 2017",NOP vs. TOR,7,1,0,4,1,0,0,0
15,0021600944,"MAR 06, 2017",NOP @ UTA,20,1,2,12,5,1,3,0
16,0021600933,"MAR 05, 2017",NOP @ LAL,31,2,2,9,1,0,1,3
17,0021600917,"MAR 03, 2017",NOP vs. SAS,29,3,1,8,3,1,3,1
18,0021600900,"MAR 01, 2017",NOP vs. DET,33,3,0,14,2,0,2,1
19,0021600880,"FEB 26, 2017",NOP @ OKC,38,4,1,7,1,2,3,0
20,0021600870,"FEB 25, 2017",NOP @ DAL,39,0,1,14,2,1,4,2
21,0021600852,"FEB 23, 2017",NOP vs. HOU,29,1,2,9,3,0,2,2
22,0021600840,"FEB 15, 2017",NOP @ MEM,18,2,1,7,3,0,1,2
23,0021600829,"FEB 13, 2017",NOP @ PHX,24,2,0,10,3,0,1,4
24,0021600819,"FEB 12, 2017",NOP @ SAC,32,3,2,10,6,1,2,1
25,0021600804,"FEB 10, 2017",NOP @ MIN,42,2,1,13,2,2,3,1
26,0021600789,"FEB 08, 2017",NOP vs. UTA,12,2,0,9,1,0,0,6
27,0021600774,"FEB 06, 2017",NOP vs. PHX,34,1,1,9,2,1,2,5
28,0021600755,"FEB 04, 2017",NOP @ WAS,25,2,1,10,1,0,0,2
29,0021600735,"FEB 01, 2017",NOP @ DET,31,2,2,12,5,0,1,4
30,0021600725,"JAN 31, 2017",NOP @ TOR,18,3,1,17,0,0,1,3
31,0021600714,"JAN 29, 2017",NOP vs. WAS,36,3,3,17,6,1,2,2
