,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,22101220,"APR 10, 2022",LAL @ DEN,31,10,2,16,3,3,5,1
1,22101211,"APR 08, 2022",LAL vs. OKC,11,4,1,4,0,1,2,0
2,22101202,"APR 07, 2022",LAL @ GSW,12,1,0,3,0,1,4,0
3,22101189,"APR 05, 2022",LAL @ PHX,18,6,1,4,2,2,6,0
4,22101150,"MAR 31, 2022",LAL @ UTA,3,0,0,2,1,0,1,0
5,22101134,"MAR 29, 2022",LAL @ DAL,3,2,0,5,1,0,4,0
6,22101119,"MAR 27, 2022",LAL @ NOP,0,6,1,6,1,0,1,0
7,22101093,"MAR 23, 2022",LAL vs. PHI,4,1,2,2,1,0,1,0
8,22101072,"MAR 21, 2022",LAL @ CLE,11,6,0,5,0,1,1,1
9,22101061,"MAR 19, 2022",LAL @ WAS,9,2,1,2,0,1,4,0
10,22101051,"MAR 18, 2022",LAL @ TOR,10,6,2,7,0,2,7,0
11,22101039,"MAR 16, 2022",LAL @ MIN,7,1,0,3,1,1,2,0
12,22101028,"MAR 14, 2022",LAL vs. TOR,3,0,0,2,1,0,4,0
13,22101019,"MAR 13, 2022",LAL @ PHX,10,0,1,4,1,1,2,0
14,22101004,"MAR 11, 2022",LAL vs. WAS,12,3,0,5,1,0,4,1
15,22100985,"MAR 09, 2022",LAL @ HOU,17,2,1,4,2,3,6,1
16,22100973,"MAR 07, 2022",LAL @ SAS,13,0,0,6,1,1,1,0
17,22100959,"MAR 05, 2022",LAL vs. GSW,10,2,3,5,2,3,5,2
18,22100945,"MAR 03, 2022",LAL @ LAC,9,3,1,1,0,2,3,1
19,22100931,"MAR 01, 2022",LAL vs. DAL,2,2,1,4,1,0,3,1
20,22100919,"FEB 27, 2022",LAL vs. NOP,2,0,0,0,0,0,4,0
21,22100904,"FEB 25, 2022",LAL vs. LAC,6,3,0,1,1,0,2,2
22,22100884,"FEB 16, 2022",LAL vs. UTA,9,2,1,4,0,1,4,0
23,22100854,"FEB 12, 2022",LAL @ GSW,13,2,0,3,0,1,1,2
24,22100829,"FEB 09, 2022",LAL @ POR,5,2,0,1,0,1,2,0
25,22100822,"FEB 08, 2022",LAL vs. MIL,10,0,0,1,0,2,4,0
26,22100799,"FEB 05, 2022",LAL vs. NYK,9,0,0,3,1,0,2,1
27,22100786,"FEB 03, 2022",LAL @ LAC,5,2,0,2,1,1,1,1
28,22100781,"FEB 02, 2022",LAL vs. POR,0,0,1,3,1,0,2,0
29,22100751,"JAN 30, 2022",LAL @ ATL,6,2,1,2,0,1,3,1
30,22100735,"JAN 28, 2022",LAL @ CHA,16,3,0,8,0,2,6,0
31,22100733,"JAN 27, 2022",LAL @ PHI,0,2,0,1,0,0,3,1
32,22100718,"JAN 25, 2022",LAL @ BKN,2,6,1,5,0,0,2,1
33,22100700,"JAN 23, 2022",LAL @ MIA,2,1,0,0,1,0,0,0
34,22100685,"JAN 21, 2022",LAL @ ORL,5,0,1,3,0,0,2,0
35,22100680,"JAN 19, 2022",LAL vs. IND,2,2,0,4,2,0,3,0
36,22100665,"JAN 17, 2022",LAL vs. UTA,4,1,0,5,0,0,2,0
37,22100649,"JAN 15, 2022",LAL @ DEN,5,1,0,4,2,0,1,0
38,22100626,"JAN 12, 2022",LAL @ SAC,19,0,0,3,0,4,7,0
39,22100606,"JAN 09, 2022",LAL vs. MEM,16,0,0,0,0,1,2,1
40,22100589,"JAN 07, 2022",LAL vs. ATL,2,2,2,1,0,0,2,0
41,22100566,"JAN 04, 2022",LAL vs. SAC,0,1,0,2,0,0,1,0
42,22100551,"JAN 02, 2022",LAL vs. MIN,2,2,0,4,0,0,0,0
43,22100538,"DEC 31, 2021",LAL vs. POR,10,1,1,1,0,1,4,0
44,22100420,"DEC 15, 2021",LAL @ DAL,15,2,1,7,1,5,6,0
45,22100403,"DEC 12, 2021",LAL vs. ORL,5,1,0,4,0,1,2,0
46,22100389,"DEC 10, 2021",LAL @ OKC,13,2,0,5,1,1,3,0
47,22100365,"DEC 07, 2021",LAL vs. BOS,0,0,0,0,0,0,0,0
48,22100341,"DEC 03, 2021",LAL vs. LAC,2,1,0,1,0,0,2,0
49,22100318,"NOV 30, 2021",LAL @ SAC,3,1,0,5,0,0,0,0
50,22100304,"NOV 28, 2021",LAL vs. DET,0,1,0,0,2,0,0,0
51,22100154,"NOV 08, 2021",LAL vs. CHA,8,1,1,1,0,0,3,0
52,22100138,"NOV 06, 2021",LAL @ POR,10,3,0,6,1,2,5,0
53,22100123,"NOV 04, 2021",LAL vs. OKC,8,0,1,2,0,2,5,0
54,22100107,"NOV 02, 2021",LAL vs. HOU,2,0,1,2,1,0,2,1
55,22100093,"OCT 31, 2021",LAL vs. HOU,2,0,0,2,3,0,1,0
56,22100077,"OCT 29, 2021",LAL vs. CLE,7,2,0,3,1,1,2,1
57,22100061,"OCT 27, 2021",LAL @ OKC,2,0,0,2,0,0,2,0
58,22100053,"OCT 26, 2021",LAL @ SAS,10,1,0,2,2,2,4,0
59,22100040,"OCT 24, 2021",LAL vs. MEM,4,3,0,0,0,0,1,0
60,22100025,"OCT 22, 2021",LAL vs. PHX,8,0,0,0,0,2,3,0
61,22201228,"APR 09, 2023",LAL vs. UTA,12,6,0,4,0,3,4,0
62,22201212,"APR 07, 2023",LAL vs. PHX,22,5,1,0,2,1,4,0
63,22201196,"APR 05, 2023",LAL @ LAC,20,2,0,4,2,3,6,0
64,22201186,"APR 04, 2023",LAL @ UTA,28,6,0,3,2,4,7,0
65,22201171,"APR 02, 2023",LAL @ HOU,18,8,0,1,2,1,2,0
66,22201157,"MAR 31, 2023",LAL @ MIN,15,2,0,6,2,2,3,0
67,22201140,"MAR 29, 2023",LAL @ CHI,19,5,1,2,1,1,2,0
68,22201114,"MAR 26, 2023",LAL vs. CHI,13,7,0,3,5,1,3,0
69,22201106,"MAR 24, 2023",LAL vs. OKC,11,9,0,6,3,1,5,0
70,22201092,"MAR 22, 2023",LAL vs. PHX,25,11,1,4,2,1,1,0
71,22201070,"MAR 19, 2023",LAL vs. ORL,35,6,0,6,3,1,4,0
72,22201054,"MAR 17, 2023",LAL vs. DAL,16,2,1,5,1,0,1,1
73,22201038,"MAR 15, 2023",LAL @ HOU,24,7,1,4,1,1,7,0
74,22201030,"MAR 14, 2023",LAL @ NOP,14,5,1,4,4,3,4,0
75,22201019,"MAR 12, 2023",LAL vs. NYK,13,4,0,1,3,1,2,0
76,22201003,"MAR 10, 2023",LAL vs. TOR,18,5,0,2,1,0,2,1
77,22200984,"MAR 07, 2023",LAL vs. MEM,17,7,1,4,0,1,3,0
78,22200964,"MAR 05, 2023",LAL vs. GSW,16,8,1,2,2,3,5,1
79,22200955,"MAR 03, 2023",LAL vs. MIN,6,3,0,3,2,0,2,0
80,22200940,"MAR 01, 2023",LAL @ OKC,19,4,1,0,1,1,1,0
81,22200927,"FEB 28, 2023",LAL @ MEM,17,7,1,2,4,4,7,1
82,22200913,"FEB 26, 2023",LAL @ DAL,9,3,0,3,2,1,3,0
83,22200893,"FEB 23, 2023",LAL vs. GSW,17,4,2,2,0,1,1,0
84,22200882,"FEB 15, 2023",LAL vs. NOP,5,3,0,2,0,1,2,0
85,22200867,"FEB 13, 2023",LAL @ POR,10,2,0,2,1,1,3,0
86,22200853,"FEB 11, 2023",LAL @ GSW,8,1,0,2,2,1,2,1
87,22200834,"FEB 09, 2023",LAL vs. MIL,18,2,1,4,2,3,4,0
88,22200821,"FEB 07, 2023",LAL vs. OKC,0,1,0,1,0,0,1,0
89,22200574,"JAN 04, 2023",LAL vs. MIA,11,3,0,5,2,0,4,0
90,22200551,"JAN 02, 2023",LAL @ CHA,15,7,1,6,1,2,2,0
91,22200530,"DEC 30, 2022",LAL @ ATL,5,1,0,3,2,1,9,0
92,22200518,"DEC 28, 2022",LAL @ MIA,0,1,1,0,4,0,4,0
93,22200505,"DEC 27, 2022",LAL @ ORL,8,5,1,3,2,2,6,0
94,22200494,"DEC 25, 2022",LAL @ DAL,16,0,0,2,2,1,2,2
95,22200492,"DEC 23, 2022",LAL vs. CHA,20,2,1,2,3,3,6,0
96,22200451,"DEC 18, 2022",LAL vs. WAS,12,2,1,4,1,2,2,1
97,22200437,"DEC 16, 2022",LAL vs. DEN,16,0,1,4,2,2,5,1
98,22200413,"DEC 13, 2022",LAL vs. BOS,4,5,2,4,0,0,2,2
99,22200396,"DEC 11, 2022",LAL @ DET,9,2,0,3,3,3,5,1
100,22200382,"DEC 09, 2022",LAL @ PHI,25,5,2,2,3,4,6,0
101,22200366,"DEC 07, 2022",LAL @ TOR,10,3,0,2,0,1,6,0
102,22200360,"DEC 06, 2022",LAL @ CLE,8,0,1,0,2,0,4,0
103,22200349,"DEC 04, 2022",LAL @ WAS,5,0,0,3,0,0,2,0
104,22200331,"DEC 02, 2022",LAL @ MIL,7,2,0,2,1,1,2,0
105,22200324,"NOV 30, 2022",LAL vs. POR,22,3,1,5,0,2,5,1
106,22200308,"NOV 28, 2022",LAL vs. IND,13,1,0,2,1,2,3,0
107,22200288,"NOV 26, 2022",LAL @ SAS,16,2,1,2,2,1,2,0
108,22200282,"NOV 25, 2022",LAL @ SAS,8,2,1,6,2,0,3,0
109,22200259,"NOV 22, 2022",LAL @ PHX,11,4,0,3,1,0,1,1
110,22200247,"NOV 20, 2022",LAL vs. SAS,21,3,0,2,1,3,4,0
111,22200234,"NOV 18, 2022",LAL vs. DET,16,6,0,4,0,2,4,1
112,22200198,"NOV 13, 2022",LAL vs. BKN,15,3,0,1,1,3,4,0
113,22200183,"NOV 11, 2022",LAL vs. SAC,19,1,1,5,3,0,2,0
114,22200170,"NOV 09, 2022",LAL @ LAC,8,1,0,9,1,1,5,0
115,22200157,"NOV 07, 2022",LAL @ UTA,11,1,0,4,0,0,3,0
116,22200140,"NOV 06, 2022",LAL vs. CLE,1,0,0,4,2,0,1,1
117,22200131,"NOV 04, 2022",LAL vs. UTA,5,3,1,2,1,1,1,2
118,22200117,"NOV 02, 2022",LAL vs. NOP,7,2,2,0,1,0,3,0
119,22200095,"OCT 30, 2022",LAL vs. DEN,10,2,1,4,0,2,4,1
120,22200076,"OCT 28, 2022",LAL @ MIN,12,3,0,7,2,2,3,0
121,22200064,"OCT 26, 2022",LAL @ DEN,8,1,0,2,1,2,3,0
122,22200037,"OCT 23, 2022",LAL vs. POR,7,1,1,0,2,2,4,0
123,22200016,"OCT 20, 2022",LAL vs. LAC,4,2,0,4,0,0,1,0
124,22200002,"OCT 18, 2022",LAL @ GSW,3,1,0,0,0,0,2,0
