,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,21701221,"APR 11, 2018",MIA vs. TOR,10,1,0,4,0,4,4,0,0,1,2,2,16
1,21701206,"APR 09, 2018",MIA vs. OKC,6,0,0,4,0,3,1,0,0,0,4,4,0
2,21701186,"APR 06, 2018",MIA @ NYK,4,0,0,4,2,4,2,0,0,0,0,0,-2
3,21701172,"APR 04, 2018",MIA @ ATL,4,2,3,10,3,6,1,0,0,1,2,2,26
4,21701125,"MAR 29, 2018",MIA vs. CHI,3,0,0,0,0,2,1,0,0,0,2,1,10
5,21701096,"MAR 25, 2018",MIA @ IND,14,0,0,5,3,7,5,0,0,1,4,4,-2
6,21701084,"MAR 23, 2018",MIA @ OKC,0,1,0,7,1,5,0,0,0,0,0,0,-6
7,21701068,"MAR 21, 2018",MIA vs. NYK,6,0,0,2,1,4,3,0,0,0,0,0,-8
8,21701054,"MAR 19, 2018",MIA vs. DEN,7,3,0,8,2,9,3,0,0,0,6,1,-17
9,21701034,"MAR 16, 2018",MIA @ LAL,11,2,0,8,0,10,5,0,0,0,3,1,0
10,21701018,"MAR 14, 2018",MIA @ SAC,6,3,0,16,0,9,2,0,0,0,2,2,-9
11,21701004,"MAR 12, 2018",MIA @ POR,4,3,1,9,3,10,1,0,0,1,2,2,-8
12,21700988,"MAR 10, 2018",MIA vs. WAS,6,1,0,8,2,5,3,0,0,0,2,0,19
13,21700973,"MAR 08, 2018",MIA vs. PHI,2,0,0,4,0,5,1,0,1,0,0,0,9
14,21700959,"MAR 06, 2018",MIA @ WAS,0,0,0,2,0,1,0,0,0,0,0,0,-1
15,21700952,"MAR 05, 2018",MIA vs. PHX,2,0,0,1,0,0,0,0,0,0,2,2,-6
16,21700922,"MAR 01, 2018",MIA vs. LAL,15,1,0,10,1,7,6,0,0,2,4,3,5
17,21700909,"FEB 27, 2018",MIA vs. PHI,1,0,0,4,1,2,0,0,0,2,2,1,-17
18,21700885,"FEB 24, 2018",MIA vs. MEM,13,1,1,7,0,7,5,0,0,0,4,3,24
19,21700879,"FEB 23, 2018",MIA @ NOP,6,2,0,8,1,2,2,0,0,0,4,2,2
20,21700855,"FEB 14, 2018",MIA @ PHI,3,1,0,2,0,3,0,0,0,0,4,3,-12
21,21700847,"FEB 13, 2018",MIA @ TOR,11,3,0,5,2,6,3,0,0,1,5,5,7
22,21700821,"FEB 09, 2018",MIA vs. MIL,15,3,0,10,2,7,3,0,0,2,10,9,-4
23,21700806,"FEB 07, 2018",MIA vs. HOU,5,2,0,5,1,2,2,0,0,2,1,1,-11
24,21700792,"FEB 05, 2018",MIA vs. ORL,18,1,1,10,0,13,6,0,2,2,8,6,-7
25,21700776,"FEB 03, 2018",MIA @ DET,4,0,0,5,0,5,2,0,0,1,2,0,-11
26,21700770,"FEB 02, 2018",MIA @ PHI,15,6,0,13,0,9,5,0,0,0,10,5,9
27,21700757,"JAN 31, 2018",MIA @ CLE,9,1,0,5,3,5,3,0,0,0,5,3,-2
28,21700742,"JAN 29, 2018",MIA @ DAL,2,4,1,5,2,3,1,0,0,1,0,0,0
29,21700727,"JAN 27, 2018",MIA vs. CHA,8,0,1,12,1,6,4,0,0,1,0,0,13
30,21700710,"JAN 25, 2018",MIA vs. SAC,6,2,1,1,0,4,2,0,0,1,2,2,10
31,21700689,"JAN 22, 2018",MIA @ HOU,7,2,0,5,0,4,3,0,0,0,2,1,-1
32,21700676,"JAN 20, 2018",MIA @ CHA,6,5,2,5,1,4,3,0,0,1,0,0,8
33,21700668,"JAN 19, 2018",MIA @ BKN,9,2,0,3,1,5,3,0,0,0,4,3,0
34,21700659,"JAN 17, 2018",MIA @ MIL,4,5,1,6,2,6,2,0,0,0,0,0,-2
35,21700644,"JAN 15, 2018",MIA @ CHI,6,0,1,5,1,5,2,0,1,0,2,2,10
36,21700634,"JAN 14, 2018",MIA vs. MIL,6,6,0,4,1,6,2,0,0,0,2,2,10
37,21700604,"JAN 10, 2018",MIA @ IND,15,5,1,2,1,9,4,0,1,0,9,7,-9
38,21700599,"JAN 09, 2018",MIA @ TOR,16,3,0,15,0,14,8,0,1,5,0,0,9
39,21700586,"JAN 07, 2018",MIA vs. UTA,4,0,0,2,1,1,1,0,0,0,3,2,-2
40,21700568,"JAN 05, 2018",MIA vs. NYK,2,2,0,7,1,0,0,0,0,0,2,2,-5
41,21700558,"JAN 03, 2018",MIA vs. DET,0,1,0,3,1,4,0,0,0,0,0,0,-5
42,21700531,"DEC 30, 2017",MIA @ ORL,6,0,0,3,1,5,3,0,0,0,0,0,-7
43,21700523,"DEC 29, 2017",MIA vs. BKN,7,1,1,5,2,5,2,0,0,0,5,3,-21
44,21700500,"DEC 26, 2017",MIA vs. ORL,8,4,1,9,1,4,3,0,0,1,2,2,24
45,21700486,"DEC 23, 2017",MIA vs. NOP,9,4,0,7,1,7,4,0,1,1,2,1,-17
46,21700474,"DEC 22, 2017",MIA vs. DAL,14,5,1,8,1,9,6,0,0,0,2,2,28
47,21700456,"DEC 20, 2017",MIA @ BOS,6,0,0,5,1,6,3,0,0,0,1,0,5
48,21700443,"DEC 18, 2017",MIA @ ATL,11,1,1,10,3,6,3,0,0,2,7,5,-1
49,21700432,"DEC 16, 2017",MIA vs. LAC,7,3,0,5,0,7,2,0,0,0,4,3,-5
50,21700418,"DEC 15, 2017",MIA @ CHA,11,1,0,5,2,6,5,0,0,0,1,1,0
51,21700408,"DEC 13, 2017",MIA vs. POR,12,2,0,7,3,3,3,0,0,0,8,6,-10
52,21700393,"DEC 11, 2017",MIA @ MEM,14,2,2,4,0,6,5,0,0,2,5,4,10
53,21700376,"DEC 09, 2017",MIA @ BKN,2,2,0,5,0,3,1,0,0,1,0,0,20
54,21700361,"DEC 06, 2017",MIA @ SAS,6,0,1,3,2,4,3,0,0,2,0,0,-12
55,21700335,"DEC 03, 2017",MIA vs. GSW,9,0,1,2,0,5,3,0,0,0,4,3,-16
56,21700321,"DEC 01, 2017",MIA vs. CHA,1,0,4,5,3,3,0,0,0,2,2,1,-13
57,21700306,"NOV 29, 2017",MIA @ NYK,9,0,2,5,1,5,4,0,0,0,2,1,-20
58,21700298,"NOV 28, 2017",MIA @ CLE,19,2,0,6,0,7,7,0,0,1,5,5,13
59,21700235,"NOV 19, 2017",MIA vs. IND,4,0,0,0,0,3,2,0,0,0,0,0,-14
60,21700218,"NOV 17, 2017",MIA @ WAS,1,0,0,1,1,0,0,0,0,0,2,1,-7
61,21700148,"NOV 06, 2017",MIA @ GSW,3,0,1,6,1,1,1,0,0,2,1,1,-3
62,21700137,"NOV 05, 2017",MIA @ LAC,0,0,0,0,0,0,0,0,0,0,0,0,-5
63,21700127,"NOV 03, 2017",MIA @ DEN,0,0,0,1,0,0,0,0,0,0,0,0,6
64,21700110,"NOV 01, 2017",MIA vs. CHI,4,0,2,4,0,2,1,0,0,0,2,2,8
65,21700093,"OCT 30, 2017",MIA vs. MIN,13,0,0,13,1,9,5,0,0,0,6,3,-16
66,21700078,"OCT 28, 2017",MIA vs. BOS,6,0,1,3,1,4,2,0,0,1,2,2,-9
67,21700059,"OCT 25, 2017",MIA vs. SAS,4,0,0,8,0,6,2,0,0,1,0,0,-12
68,21700005,"OCT 18, 2017",MIA @ ORL,0,0,0,0,0,1,0,0,0,0,0,0,3
69,21801221,"APR 10, 2019",MIA @ BKN,10,0,1,6,2,7,4,1,2,0,1,1,-10
70,21801212,"APR 09, 2019",MIA vs. PHI,19,2,1,9,0,11,8,0,0,2,5,3,16
71,21801195,"APR 07, 2019",MIA @ TOR,7,2,1,13,3,7,2,0,0,0,4,3,-13
72,21801185,"APR 05, 2019",MIA @ MIN,8,0,4,4,1,6,4,0,0,0,0,0,-7
73,21801170,"APR 03, 2019",MIA vs. BOS,12,4,1,12,1,9,5,0,1,2,2,2,-5
74,21801153,"APR 01, 2019",MIA @ BOS,19,2,0,14,0,12,8,1,1,2,2,2,-2
75,21801141,"MAR 30, 2019",MIA @ NYK,8,2,2,6,1,6,4,0,0,0,0,0,6
76,21801124,"MAR 28, 2019",MIA vs. DAL,11,3,0,16,2,9,5,0,0,0,2,1,9
77,21801109,"MAR 26, 2019",MIA vs. ORL,9,3,2,11,1,9,4,0,0,0,2,1,2
78,21801089,"MAR 23, 2019",MIA @ WAS,16,8,0,11,5,11,6,0,1,4,4,4,16
79,21801085,"MAR 22, 2019",MIA @ MIL,12,2,1,7,0,10,5,0,0,0,4,2,0
80,21801071,"MAR 20, 2019",MIA @ SAS,6,5,2,15,2,4,3,0,0,0,0,0,13
81,21801054,"MAR 18, 2019",MIA @ OKC,8,4,2,7,4,9,4,0,0,1,0,0,-11
82,21801045,"MAR 17, 2019",MIA vs. CHA,16,1,2,9,2,10,7,0,0,1,4,2,18
83,21801029,"MAR 15, 2019",MIA vs. MIL,10,5,1,11,3,8,4,0,0,1,3,2,-10
