,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021701221,"APR 11, 2018",MIA vs. TOR,10,1,0,4,0,0,0,1
1,0021701206,"APR 09, 2018",MIA vs. OKC,6,0,0,4,0,0,0,0
2,0021701186,"APR 06, 2018",MIA @ NYK,4,0,0,4,2,0,0,0
3,0021701172,"APR 04, 2018",MIA @ ATL,4,2,3,10,3,0,0,1
4,0021701125,"MAR 29, 2018",MIA vs. CHI,3,0,0,0,0,0,0,0
5,0021701096,"MAR 25, 2018",MIA @ IND,14,0,0,5,3,0,0,1
6,0021701084,"MAR 23, 2018",MIA @ OKC,0,1,0,7,1,0,0,0
7,0021701068,"MAR 21, 2018",MIA vs. NYK,6,0,0,2,1,0,0,0
8,0021701054,"MAR 19, 2018",MIA vs. DEN,7,3,0,8,2,0,0,0
9,0021701034,"MAR 16, 2018",MIA @ LAL,11,2,0,8,0,0,0,0
10,0021701018,"MAR 14, 2018",MIA @ SAC,6,3,0,16,0,0,0,0
11,0021701004,"MAR 12, 2018",MIA @ POR,4,3,1,9,3,0,0,1
12,0021700988,"MAR 10, 2018",MIA vs. WAS,6,1,0,8,2,0,0,0
13,0021700973,"MAR 08, 2018",MIA vs. PHI,2,0,0,4,0,0,1,0
14,0021700959,"MAR 06, 2018",MIA @ WAS,0,0,0,2,0,0,0,0
15,0021700952,"MAR 05, 2018",MIA vs. PHX,2,0,0,1,0,0,0,0
16,0021700922,"MAR 01, 2018",MIA vs. LAL,15,1,0,10,1,0,0,2
17,0021700909,"FEB 27, 2018",MIA vs. PHI,1,0,0,4,1,0,0,2
18,0021700885,"FEB 24, 2018",MIA vs. MEM,13,1,1,7,0,0,0,0
19,0021700879,"FEB 23, 2018",MIA @ NOP,6,2,0,8,1,0,0,0
20,0021700855,"FEB 14, 2018",MIA @ PHI,3,1,0,2,0,0,0,0
21,0021700847,"FEB 13, 2018",MIA @ TOR,11,3,0,5,2,0,0,1
22,0021700821,"FEB 09, 2018",MIA vs. MIL,15,3,0,10,2,0,0,2
23,0021700806,"FEB 07, 2018",MIA vs. HOU,5,2,0,5,1,0,0,2
24,0021700792,"FEB 05, 2018",MIA vs. ORL,18,1,1,10,0,0,2,2
25,0021700776,"FEB 03, 2018",MIA @ DET,4,0,0,5,0,0,0,1
26,0021700770,"FEB 02, 2018",MIA @ PHI,15,6,0,13,0,0,0,0
27,0021700757,"JAN 31, 2018",MIA @ CLE,9,1,0,5,3,0,0,0
28,0021700742,"JAN 29, 2018",MIA @ DAL,2,4,1,5,2,0,0,1
29,0021700727,"JAN 27, 2018",MIA vs. CHA,8,0,1,12,1,0,0,1
30,0021700710,"JAN 25, 2018",MIA vs. SAC,6,2,1,1,0,0,0,1
31,0021700689,"JAN 22, 2018",MIA @ HOU,7,2,0,5,0,0,0,0
32,0021700676,"JAN 20, 2018",MIA @ CHA,6,5,2,5,1,0,0,1
33,0021700668,"JAN 19, 2018",MIA @ BKN,9,2,0,3,1,0,0,0
34,0021700659,"JAN 17, 2018",MIA @ MIL,4,5,1,6,2,0,0,0
35,0021700644,"JAN 15, 2018",MIA @ CHI,6,0,1,5,1,0,1,0
36,0021700634,"JAN 14, 2018",MIA vs. MIL,6,6,0,4,1,0,0,0
37,0021700604,"JAN 10, 2018",MIA @ IND,15,5,1,2,1,0,1,0
38,0021700599,"JAN 09, 2018",MIA @ TOR,16,3,0,15,0,0,1,5
39,0021700586,"JAN 07, 2018",MIA vs. UTA,4,0,0,2,1,0,0,0
40,0021700568,"JAN 05, 2018",MIA vs. NYK,2,2,0,7,1,0,0,0
41,0021700558,"JAN 03, 2018",MIA vs. DET,0,1,0,3,1,0,0,0
42,0021700531,"DEC 30, 2017",MIA @ ORL,6,0,0,3,1,0,0,0
43,0021700523,"DEC 29, 2017",MIA vs. BKN,7,1,1,5,2,0,0,0
44,0021700500,"DEC 26, 2017",MIA vs. ORL,8,4,1,9,1,0,0,1
45,0021700486,"DEC 23, 2017",MIA vs. NOP,9,4,0,7,1,0,1,1
46,0021700474,"DEC 22, 2017",MIA vs. DAL,14,5,1,8,1,0,0,0
47,0021700456,"DEC 20, 2017",MIA @ BOS,6,0,0,5,1,0,0,0
48,0021700443,"DEC 18, 2017",MIA @ ATL,11,1,1,10,3,0,0,2
49,0021700432,"DEC 16, 2017",MIA vs. LAC,7,3,0,5,0,0,0,0
50,0021700418,"DEC 15, 2017",MIA @ CHA,11,1,0,5,2,0,0,0
51,0021700408,"DEC 13, 2017",MIA vs. POR,12,2,0,7,3,0,0,0
52,0021700393,"DEC 11, 2017",MIA @ MEM,14,2,2,4,0,0,0,2
53,0021700376,"DEC 09, 2017",MIA @ BKN,2,2,0,5,0,0,0,1
54,0021700361,"DEC 06, 2017",MIA @ SAS,6,0,1,3,2,0,0,2
55,0021700335,"DEC 03, 2017",MIA vs. GSW,9,0,1,2,0,0,0,0
56,0021700321,"DEC 01, 2017",MIA vs. CHA,1,0,4,5,3,0,0,2
57,0021700306,"NOV 29, 2017",MIA @ NYK,9,0,2,5,1,0,0,0
58,0021700298,"NOV 28, 2017",MIA @ CLE,19,2,0,6,0,0,0,1
59,0021700235,"NOV 19, 2017",MIA vs. IND,4,0,0,0,0,0,0,0
60,0021700218,"NOV 17, 2017",MIA @ WAS,1,0,0,1,1,0,0,0
61,0021700148,"NOV 06, 2017",MIA @ GSW,3,0,1,6,1,0,0,2
62,0021700137,"NOV 05, 2017",MIA @ LAC,0,0,0,0,0,0,0,0
63,0021700127,"NOV 03, 2017",MIA @ DEN,0,0,0,1,0,0,0,0
64,0021700110,"NOV 01, 2017",MIA vs. CHI,4,0,2,4,0,0,0,0
65,0021700093,"OCT 30, 2017",MIA vs. MIN,13,0,0,13,1,0,0,0
66,0021700078,"OCT 28, 2017",MIA vs. BOS,6,0,1,3,1,0,0,1
67,0021700059,"OCT 25, 2017",MIA vs. SAS,4,0,0,8,0,0,0,1
68,0021700005,"OCT 18, 2017",MIA @ ORL,0,0,0,0,0,0,0,0
