,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0022001062,"MAY 15, 2021",MIA @ MIL,5,8,2,8,2,9,2,0,0,0,1,1,-7
1,0022001050,"MAY 13, 2021",MIA vs. PHI,18,8,0,12,1,13,9,0,0,1,0,0,8
2,0022001032,"MAY 11, 2021",MIA @ BOS,22,5,1,7,4,15,10,0,0,2,3,2,8
3,0022000145,"MAY 09, 2021",MIA @ BOS,20,3,2,6,3,5,5,0,0,0,11,10,-3
4,0022001005,"MAY 07, 2021",MIA vs. MIN,15,4,2,4,2,10,6,0,0,2,4,3,-4
5,0022000986,"MAY 04, 2021",MIA vs. DAL,11,11,2,9,3,10,4,0,0,0,6,3,-22
6,0022000969,"MAY 02, 2021",MIA @ CHA,20,10,1,7,3,13,9,0,0,0,3,2,5
7,0022000960,"MAY 01, 2021",MIA @ CLE,13,6,4,10,0,13,6,0,0,0,2,1,23
8,0022000938,"APR 28, 2021",MIA vs. SAS,21,2,1,11,2,11,7,0,0,0,8,7,-6
9,0022000922,"APR 26, 2021",MIA vs. CHI,23,2,2,6,1,14,9,0,0,2,6,5,-16
10,0022000907,"APR 24, 2021",MIA vs. CHI,20,10,2,6,1,13,7,0,0,0,7,6,0
11,0022000898,"APR 23, 2021",MIA @ ATL,16,5,3,3,5,12,6,0,0,1,6,4,-6
12,0022000888,"APR 21, 2021",MIA @ SAS,23,5,3,8,1,12,8,0,0,1,8,7,1
13,0022000863,"APR 18, 2021",MIA vs. BKN,21,5,2,15,7,16,9,0,0,0,5,3,9
14,0022000852,"APR 16, 2021",MIA @ MIN,17,4,0,4,2,8,7,0,0,0,5,3,-6
15,0022000838,"APR 14, 2021",MIA @ DEN,21,2,2,6,6,16,7,0,0,2,8,7,-13
16,0022000827,"APR 13, 2021",MIA @ PHX,11,5,3,10,4,6,4,0,0,1,4,3,2
17,0022000814,"APR 11, 2021",MIA @ POR,22,2,2,3,2,14,9,0,0,0,8,4,-1
18,0022000784,"APR 08, 2021",MIA vs. LAL,13,4,0,7,2,12,6,0,0,2,3,1,3
19,0022000773,"APR 06, 2021",MIA vs. MEM,18,10,3,10,0,14,9,0,0,0,3,0,-8
20,0022000749,"APR 03, 2021",MIA vs. CLE,18,5,1,11,1,12,9,0,1,1,0,0,13
21,0022000733,"APR 01, 2021",MIA vs. GSW,19,6,0,8,3,13,5,0,0,1,9,9,9
22,0022000722,"MAR 31, 2021",MIA @ IND,16,7,1,8,2,10,4,0,0,2,12,8,16
23,0022000710,"MAR 29, 2021",MIA @ NYK,20,4,1,17,1,17,9,0,0,2,3,2,10
24,0022000686,"MAR 26, 2021",MIA @ CHA,17,2,2,8,1,11,7,0,0,0,6,3,-5
25,0022000678,"MAR 25, 2021",MIA vs. POR,29,7,0,9,2,16,13,0,0,5,3,3,11
26,0022000664,"MAR 23, 2021",MIA vs. PHX,16,6,0,8,1,9,4,0,0,1,9,8,-15
27,0022000645,"MAR 21, 2021",MIA vs. IND,29,2,2,10,4,21,11,0,1,3,8,7,22
28,0022000632,"MAR 19, 2021",MIA vs. IND,20,5,1,8,0,11,8,0,0,1,5,4,-7
29,0022000623,"MAR 17, 2021",MIA @ MEM,15,6,1,12,3,11,5,0,0,0,6,5,14
30,0022000610,"MAR 16, 2021",MIA vs. CLE,14,6,0,9,2,14,6,0,0,2,3,2,-3
31,0022000538,"MAR 02, 2021",MIA vs. ATL,11,3,0,2,1,8,3,0,0,0,6,5,-5
32,0022000522,"FEB 28, 2021",MIA vs. ATL,16,5,0,13,5,12,6,0,0,3,5,4,7
33,0022000507,"FEB 26, 2021",MIA vs. UTA,19,7,1,11,3,14,7,0,0,1,5,5,5
34,0022000492,"FEB 24, 2021",MIA vs. TOR,19,4,1,12,1,11,7,0,0,1,6,5,4
35,0022000475,"FEB 22, 2021",MIA @ OKC,19,5,0,13,4,10,7,0,0,1,6,5,13
36,0022000463,"FEB 20, 2021",MIA @ LAL,16,6,2,10,2,16,8,0,1,1,0,0,-8
37,0022000447,"FEB 18, 2021",MIA @ SAC,16,10,0,12,4,13,6,0,0,0,4,4,18
38,0022000443,"FEB 17, 2021",MIA @ GSW,24,7,0,5,3,16,10,0,0,2,5,4,-20
39,0022000425,"FEB 15, 2021",MIA @ LAC,27,7,1,12,3,15,12,0,0,2,5,3,-5
40,0022000410,"FEB 13, 2021",MIA @ UTA,14,6,2,10,1,17,7,0,0,0,0,0,-11
41,0022000392,"FEB 11, 2021",MIA @ HOU,10,8,2,13,8,8,3,0,0,0,5,4,3
42,0022000376,"FEB 09, 2021",MIA vs. NYK,19,2,2,6,3,9,3,0,0,2,16,13,-5
43,0022000364,"FEB 07, 2021",MIA @ NYK,24,5,1,11,1,17,10,0,0,1,6,4,10
44,0022000347,"FEB 05, 2021",MIA vs. WAS,21,3,1,4,0,10,5,0,0,2,11,11,29
45,0022000331,"FEB 03, 2021",MIA vs. WAS,17,6,2,11,3,15,8,0,0,1,2,1,2
46,0022000314,"FEB 01, 2021",MIA vs. CHA,23,2,0,9,1,15,10,0,0,3,4,3,-2
47,0022000301,"JAN 30, 2021",MIA vs. SAC,18,4,2,13,5,11,7,0,0,1,4,4,-1
48,0022000285,"JAN 28, 2021",MIA vs. LAC,16,7,1,13,1,16,6,0,1,0,4,4,-3
49,0022000275,"JAN 27, 2021",MIA vs. DEN,15,6,0,7,3,13,6,0,1,0,4,3,-23
50,0022000260,"JAN 25, 2021",MIA @ BKN,26,5,0,10,3,19,10,1,1,1,6,5,-3
51,0022000244,"JAN 23, 2021",MIA @ BKN,41,9,1,5,1,20,14,1,1,0,14,12,4
52,0022000234,"JAN 22, 2021",MIA @ TOR,14,4,0,8,4,13,6,0,0,0,2,2,1
53,0022000220,"JAN 20, 2021",MIA @ TOR,14,7,0,13,2,14,6,0,0,0,2,2,2
54,0022000206,"JAN 18, 2021",MIA vs. DET,28,5,2,11,7,15,9,0,1,1,11,10,5
55,0022000192,"JAN 16, 2021",MIA vs. DET,28,6,0,7,2,11,8,0,0,3,12,12,-13
56,0022000136,"JAN 09, 2021",MIA @ WAS,9,4,0,16,4,4,2,0,0,1,7,5,4
57,0022000111,"JAN 06, 2021",MIA vs. BOS,15,10,0,8,2,10,5,0,0,2,6,5,-9
58,0022000096,"JAN 04, 2021",MIA vs. OKC,20,4,0,8,1,10,9,0,0,0,3,2,25
59,0022000071,"JAN 01, 2021",MIA @ DAL,19,2,4,11,3,12,8,0,0,0,4,3,-8
60,0022000058,"DEC 30, 2020",MIA vs. MIL,22,10,1,8,2,13,7,0,0,2,10,8,11
61,0022000051,"DEC 29, 2020",MIA vs. MIL,12,4,1,6,5,7,5,0,0,1,2,2,-32
62,0022000005,"DEC 25, 2020",MIA vs. NOP,17,2,2,4,3,9,5,0,0,1,8,7,9
63,0022000012,"DEC 23, 2020",MIA @ ORL,25,4,0,11,7,16,11,0,0,1,4,3,-12
