Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300562,"JAN 15, 2024",MIA @ BKN,11,4,1,20,2,17,5,0,1,1,2,1,-3,35,15,24,31,2
0022300551,"JAN 14, 2024",MIA vs. CHA,24,7,0,10,2,17,9,0,1,1,8,6,5,41,31,17,34,1
0022300535,"JAN 12, 2024",MIA vs. ORL,21,7,0,11,4,17,8,0,0,1,6,5,17,39,28,18,32,1
0022300522,"JAN 10, 2024",MIA vs. OKC,25,6,0,11,1,16,9,0,0,2,7,7,-6,42,31,17,36,2
0022300509,"JAN 08, 2024",MIA vs. HOU,22,3,1,12,3,12,9,0,0,0,7,4,12,37,25,15,34,1
0022300489,"JAN 05, 2024",MIA @ PHX,28,1,0,10,1,19,11,0,0,1,7,6,-16,39,29,11,38,1
0022300475,"JAN 03, 2024",MIA @ LAL,15,5,3,7,2,14,5,0,1,0,6,5,12,27,20,12,22,3
0022300458,"JAN 01, 2024",MIA @ LAC,21,4,0,15,3,17,6,0,2,0,13,9,-12,40,25,19,36,0
0022300439,"DEC 30, 2023",MIA @ UTA,28,3,3,16,4,13,7,0,0,3,20,14,-3,47,31,19,44,6
0022300426,"DEC 28, 2023",MIA @ GSW,17,4,0,11,0,13,7,0,0,0,4,3,8,32,21,15,28,0
0022300404,"DEC 25, 2023",MIA vs. PHI,26,5,0,15,4,15,9,0,0,3,12,8,0,46,31,20,41,3
0022300384,"DEC 22, 2023",MIA vs. ATL,18,6,2,11,6,14,5,0,1,0,10,8,10,35,24,17,29,2
0022300366,"DEC 20, 2023",MIA @ ORL,18,2,1,7,1,15,7,0,0,0,5,4,-6,27,20,9,25,1
0022300353,"DEC 18, 2023",MIA vs. MIN,22,6,1,6,4,22,10,0,0,1,3,2,-3,34,28,12,28,2
0022300267,"NOV 30, 2023",MIA vs. IND,7,2,0,4,0,9,3,0,0,0,2,1,-2,13,9,6,11,0
0022300056,"NOV 28, 2023",MIA vs. MIL,31,5,0,10,2,27,13,0,0,2,7,5,-16,46,36,15,41,2
0022300045,"NOV 24, 2023",MIA @ NYK,21,2,2,12,2,16,8,0,1,0,6,5,0,35,23,14,33,2
0022300220,"NOV 20, 2023",MIA @ CHI,23,6,1,11,1,14,8,0,0,0,9,7,7,40,29,17,34,1
0022300204,"NOV 18, 2023",MIA @ CHI,24,5,0,10,3,12,8,0,0,0,8,8,-1,39,29,15,34,0
0022300200,"NOV 16, 2023",MIA vs. BKN,20,4,2,7,2,15,8,0,0,0,4,4,-6,31,24,11,27,2
0022300017,"NOV 14, 2023",MIA @ CHA,21,4,3,11,1,16,8,0,0,1,6,5,1,36,25,15,32,4
0022300184,"NOV 12, 2023",MIA @ SAS,24,6,3,11,0,20,10,0,0,0,5,4,-10,41,30,17,35,3
0022300175,"NOV 11, 2023",MIA @ ATL,26,4,2,17,3,12,9,0,0,2,8,8,-5,47,30,21,43,4
0022300164,"NOV 08, 2023",MIA @ MEM,30,1,1,11,4,15,8,0,0,3,16,14,15,42,31,12,41,4
0022300150,"NOV 06, 2023",MIA vs. LAL,22,10,2,19,4,20,9,1,1,2,5,3,5,51,32,29,41,4
0022300003,"NOV 03, 2023",MIA vs. WAS,18,3,0,4,4,15,8,0,0,0,2,2,6,25,21,7,22,0
0022300119,"NOV 01, 2023",MIA vs. BKN,21,3,2,14,4,12,8,0,0,2,5,5,5,38,24,17,35,4
0022300093,"OCT 28, 2023",MIA @ MIN,19,2,0,3,4,14,7,0,1,0,10,5,-10,24,21,5,22,0
0022300080,"OCT 27, 2023",MIA @ BOS,27,2,1,7,3,23,10,0,0,2,9,7,0,36,29,9,34,3
0022300068,"OCT 25, 2023",MIA vs. DET,22,3,0,8,2,13,7,0,0,2,10,8,-4,33,25,11,30,2
