Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300531,"JAN 11, 2024",PHX @ LAL,37,4,1,6,3,21,14,8,10,0,1,1,25,47,41,10,43,1
0022300511,"JAN 08, 2024",PHX @ LAC,15,2,2,3,2,15,7,0,2,0,2,1,-7,20,17,5,18,2
0022300503,"JAN 07, 2024",PHX vs. MEM,12,5,0,6,1,12,5,0,1,0,4,2,-8,23,17,11,18,0
0022300489,"JAN 05, 2024",PHX vs. MIA,25,9,0,8,2,18,11,2,6,0,1,1,27,42,34,17,33,0
0022300473,"JAN 03, 2024",PHX vs. LAC,21,4,1,5,3,20,7,0,6,1,7,7,-7,30,25,9,26,2
0022300456,"JAN 01, 2024",PHX vs. POR,21,1,1,4,4,16,8,1,3,1,4,4,22,26,22,5,25,2
0022300450,"DEC 31, 2023",PHX vs. ORL,25,2,1,1,1,13,10,1,2,1,4,4,-1,28,27,3,26,2
0022300436,"DEC 29, 2023",PHX vs. CHA,6,7,0,3,2,8,3,0,2,1,0,0,-1,16,13,10,9,1
0022300333,"DEC 15, 2023",PHX vs. NYK,6,1,0,0,0,2,2,1,1,0,1,1,3,7,7,1,6,0
0022300317,"DEC 13, 2023",PHX vs. BKN,14,4,1,1,2,9,6,2,2,0,0,0,-11,19,18,5,15,1
0022300308,"DEC 12, 2023",PHX vs. GSW,16,3,1,3,3,12,5,1,3,1,7,5,-15,22,19,6,19,2
0022300185,"NOV 12, 2023",PHX vs. OKC,15,5,0,8,5,17,6,0,5,0,6,3,-18,28,20,13,23,0
0022300015,"NOV 10, 2023",PHX vs. LAL,24,2,2,4,2,17,9,2,4,0,6,4,-14,30,26,6,28,2
0022300162,"NOV 08, 2023",PHX @ CHI,13,4,0,4,2,12,3,3,6,1,4,4,16,21,17,8,17,1
