,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801223,"APR 10, 2019",DET @ NYK,6,0,1,4,0,0,0,1
1,21801210,"APR 09, 2019",DET vs. MEM,8,2,1,3,0,0,1,0
2,21801198,"APR 07, 2019",DET vs. CHA,6,2,1,4,0,0,0,0
3,21801186,"APR 05, 2019",DET @ OKC,5,2,2,2,1,0,1,0
4,21801165,"APR 03, 2019",DET vs. IND,0,1,1,1,2,0,1,0
5,21801152,"APR 01, 2019",DET @ IND,0,2,2,2,1,0,1,0
6,21801139,"MAR 30, 2019",DET vs. POR,5,0,0,1,0,1,2,2
7,21801122,"MAR 28, 2019",DET vs. ORL,3,2,1,1,0,1,1,1
8,21801115,"MAR 26, 2019",DET @ DEN,0,0,0,1,0,0,0,0
9,21801101,"MAR 24, 2019",DET @ GSW,6,0,0,0,0,0,1,0
10,21801093,"MAR 23, 2019",DET @ POR,0,3,1,1,0,0,0,0
11,21801077,"MAR 21, 2019",DET @ PHX,3,2,0,1,1,1,1,0
12,21801050,"MAR 18, 2019",DET @ CLE,5,1,1,3,0,0,1,2
13,21801044,"MAR 17, 2019",DET vs. TOR,2,1,1,1,0,0,2,0
14,21801026,"MAR 15, 2019",DET vs. LAL,2,0,1,2,1,0,0,1
15,21801014,"MAR 13, 2019",DET @ MIA,0,1,1,1,0,0,0,1
16,21801003,"MAR 11, 2019",DET @ BKN,5,0,0,1,1,1,3,0
17,21800980,"MAR 08, 2019",DET @ CHI,4,0,0,2,0,0,1,2
18,21800966,"MAR 06, 2019",DET vs. MIN,4,0,0,1,1,0,0,0
19,21800949,"MAR 03, 2019",DET vs. TOR,2,2,3,3,0,0,0,0
20,21800935,"MAR 02, 2019",DET @ CLE,4,0,0,6,0,0,2,1
21,21800917,"FEB 27, 2019",DET @ SAS,4,3,0,2,1,0,0,0
22,21800899,"FEB 25, 2019",DET vs. IND,3,2,1,4,1,0,1,0
23,21800888,"FEB 23, 2019",DET @ MIA,2,0,0,1,0,0,0,0
24,21800877,"FEB 22, 2019",DET @ ATL,12,1,1,4,1,1,3,2
25,21800855,"FEB 13, 2019",DET @ BOS,3,1,0,1,1,1,3,0
26,21800840,"FEB 11, 2019",DET vs. WAS,9,0,0,0,1,1,1,0
27,21800817,"FEB 08, 2019",DET vs. NYK,0,1,0,1,0,0,0,0
28,21800799,"FEB 05, 2019",DET @ NYK,2,0,0,1,0,0,1,2
29,21800790,"FEB 04, 2019",DET vs. DEN,0,1,0,2,0,0,3,0
30,21800775,"FEB 02, 2019",DET vs. LAC,0,2,0,1,1,0,3,0
31,21800764,"JAN 31, 2019",DET vs. DAL,0,0,0,2,1,0,0,2
32,21800750,"JAN 29, 2019",DET vs. MIL,4,0,0,1,1,0,1,0
33,21800726,"JAN 25, 2019",DET @ DAL,7,2,0,2,0,1,1,0
34,21800714,"JAN 23, 2019",DET @ NOP,4,0,0,6,0,1,1,0
35,21800693,"JAN 21, 2019",DET @ WAS,4,4,1,5,2,0,2,1
36,21800680,"JAN 19, 2019",DET vs. SAC,6,4,0,10,1,1,2,0
37,21800672,"JAN 18, 2019",DET vs. MIA,2,0,0,1,1,0,0,0
38,21800657,"JAN 16, 2019",DET vs. ORL,8,1,0,3,0,2,2,1
39,21800648,"JAN 14, 2019",DET @ UTA,5,1,0,3,1,1,2,0
40,21800630,"JAN 12, 2019",DET @ LAC,2,1,3,6,0,0,1,1
41,21800620,"JAN 10, 2019",DET @ SAC,15,2,3,1,2,1,3,1
42,21800616,"JAN 09, 2019",DET @ LAL,8,2,0,1,1,0,2,0
43,21800591,"JAN 07, 2019",DET vs. SAS,4,2,0,3,1,0,1,0
44,21800577,"JAN 05, 2019",DET vs. UTA,12,7,0,3,4,0,1,0
45,21800560,"JAN 02, 2019",DET @ MEM,3,2,0,5,0,1,3,0
46,21800550,"JAN 01, 2019",DET @ MIL,0,3,0,8,0,0,1,0
47,21800536,"DEC 30, 2018",DET @ ORL,10,1,1,2,3,0,1,0
48,21800518,"DEC 28, 2018",DET @ IND,6,2,0,2,0,0,3,1
49,21800502,"DEC 26, 2018",DET vs. WAS,8,0,1,4,0,1,3,0
50,21800486,"DEC 23, 2018",DET vs. ATL,10,1,0,3,0,2,2,1
51,21800469,"DEC 21, 2018",DET @ CHA,7,3,0,1,0,1,2,3
52,21800463,"DEC 19, 2018",DET @ MIN,4,1,0,5,2,0,1,0
53,21800443,"DEC 17, 2018",DET vs. MIL,0,1,0,1,0,0,1,0
54,21800431,"DEC 15, 2018",DET vs. BOS,3,0,0,2,1,1,2,1
55,21800405,"DEC 12, 2018",DET @ CHA,8,2,1,6,1,0,1,2
56,21800392,"DEC 10, 2018",DET @ PHI,6,2,0,1,0,0,2,1
57,21800387,"DEC 09, 2018",DET vs. NOP,7,0,0,1,0,1,2,2
58,21800369,"DEC 07, 2018",DET vs. PHI,7,3,0,5,2,1,2,0
59,21800361,"DEC 05, 2018",DET @ MIL,3,3,0,5,2,1,2,0
60,21800343,"DEC 03, 2018",DET vs. OKC,9,2,3,3,1,0,1,0
61,21800331,"DEC 01, 2018",DET vs. GSW,2,1,1,1,1,0,0,0
62,21800321,"NOV 30, 2018",DET vs. CHI,4,2,0,3,0,0,1,1
63,21800301,"NOV 27, 2018",DET vs. NYK,2,1,0,5,1,0,0,1
64,21800287,"NOV 25, 2018",DET vs. PHX,2,0,0,3,0,0,0,0
65,21800267,"NOV 23, 2018",DET vs. HOU,7,1,3,2,0,0,0,0
66,21800169,"NOV 09, 2018",DET @ ATL,0,0,0,2,0,0,1,0
67,21800140,"NOV 05, 2018",DET vs. MIA,0,0,0,1,0,0,0,0
68,21800125,"NOV 03, 2018",DET @ PHI,0,0,1,2,0,0,0,0
69,21800104,"OCT 31, 2018",DET @ BKN,9,0,0,1,1,1,4,0
70,21800099,"OCT 30, 2018",DET @ BOS,10,0,1,2,0,0,2,1
71,21800074,"OCT 27, 2018",DET vs. BOS,6,1,2,2,1,0,2,0
72,21800063,"OCT 25, 2018",DET vs. CLE,0,0,0,0,0,0,0,0
73,21800004,"OCT 17, 2018",DET vs. BKN,0,1,0,2,1,0,2,1
74,21900955,"MAR 08, 2020",DET @ NYK,16,6,0,4,2,2,4,0
75,21900941,"MAR 07, 2020",DET vs. UTA,5,7,0,5,1,0,0,0
76,21900848,"FEB 23, 2020",DET @ POR,8,1,1,10,2,0,1,0
77,21900820,"FEB 20, 2020",DET vs. MIL,16,7,0,10,0,1,2,0
78,21900808,"FEB 12, 2020",DET @ ORL,2,2,0,10,3,0,0,0
79,21900793,"FEB 10, 2020",DET vs. CHA,10,5,0,12,3,0,2,0
80,21900779,"FEB 08, 2020",DET vs. NYK,11,1,1,3,1,1,3,2
81,21900773,"FEB 07, 2020",DET @ OKC,4,1,5,6,4,0,0,1
82,21900755,"FEB 05, 2020",DET vs. PHX,9,7,1,1,1,0,2,1
83,21900748,"FEB 03, 2020",DET @ MEM,12,4,1,7,3,0,2,0
84,21900737,"FEB 02, 2020",DET vs. DEN,19,8,0,10,0,3,3,0
85,21900720,"JAN 31, 2020",DET vs. TOR,4,3,0,2,2,0,1,1
86,21900709,"JAN 29, 2020",DET @ BKN,6,2,1,3,0,0,1,0
87,21900693,"JAN 27, 2020",DET vs. CLE,8,6,0,4,4,0,0,1
88,21900681,"JAN 25, 2020",DET vs. BKN,17,5,0,5,1,3,6,0
89,21900639,"JAN 20, 2020",DET @ WAS,7,4,1,1,2,1,1,1
90,21900629,"JAN 18, 2020",DET @ ATL,5,1,1,1,2,0,1,0
91,21900604,"JAN 15, 2020",DET @ BOS,4,3,1,3,0,0,2,1
92,21900591,"JAN 13, 2020",DET vs. NOP,12,5,1,3,1,1,2,1
93,21900579,"JAN 11, 2020",DET vs. CHI,7,2,1,7,2,0,1,0
94,21900563,"JAN 09, 2020",DET vs. CLE,17,8,4,4,0,1,1,2
95,21900548,"JAN 07, 2020",DET @ CLE,9,7,2,2,1,0,1,1
96,21900538,"JAN 05, 2020",DET @ LAL,6,5,1,6,3,0,1,0
97,21900532,"JAN 04, 2020",DET @ GSW,14,4,2,4,0,0,2,0
98,21900516,"JAN 02, 2020",DET @ LAC,15,6,1,2,0,0,2,0
