,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001067,"MAY 16, 2021",BKN vs. CLE,12,4,2,4,1,0,0,2
1,0022001060,"MAY 15, 2021",BKN vs. CHI,16,3,2,12,2,0,1,1
2,0022001043,"MAY 12, 2021",BKN vs. SAS,14,1,0,11,0,0,0,1
3,0022001036,"MAY 11, 2021",BKN @ CHI,15,3,0,10,0,1,2,1
4,0022001015,"MAY 08, 2021",BKN @ DEN,4,1,1,3,0,0,0,1
5,0022000998,"MAY 06, 2021",BKN @ DAL,10,0,0,6,1,0,1,1
6,0022000985,"MAY 04, 2021",BKN @ MIL,2,2,0,5,0,0,0,0
7,0022000967,"MAY 02, 2021",BKN @ MIL,0,0,0,1,1,0,0,0
8,0022000912,"APR 25, 2021",BKN vs. PHX,4,0,1,1,0,0,0,0
9,0022000899,"APR 23, 2021",BKN vs. BOS,15,1,0,8,0,1,2,0
10,0022000884,"APR 21, 2021",BKN @ TOR,21,1,0,14,1,2,4,1
11,0022000878,"APR 20, 2021",BKN @ NOP,11,0,4,11,1,1,1,0
12,0022000863,"APR 18, 2021",BKN @ MIA,8,2,2,11,1,0,1,1
13,0022000848,"APR 16, 2021",BKN vs. CHA,9,6,1,4,2,0,0,0
14,0022000830,"APR 14, 2021",BKN @ PHI,14,2,1,5,1,1,2,1
15,0022000817,"APR 13, 2021",BKN @ MIN,9,3,4,12,3,0,2,1
16,0022000800,"APR 10, 2021",BKN vs. LAL,5,2,0,7,1,0,0,1
17,0022000779,"APR 07, 2021",BKN vs. NOP,9,2,5,8,2,1,2,2
18,0022000762,"APR 05, 2021",BKN vs. NYK,4,3,0,5,0,0,1,1
19,0022000755,"APR 04, 2021",BKN @ CHI,10,1,1,6,0,0,0,0
20,0022000732,"APR 01, 2021",BKN vs. CHA,14,0,2,6,1,0,0,1
21,0022000724,"MAR 31, 2021",BKN vs. HOU,10,2,1,6,2,0,0,0
22,0022000709,"MAR 29, 2021",BKN vs. MIN,10,5,1,5,1,0,0,0
23,0022000683,"MAR 26, 2021",BKN @ DET,7,1,0,2,2,1,3,0
24,0022000676,"MAR 24, 2021",BKN @ UTA,10,2,2,7,1,0,2,0
25,0022000666,"MAR 23, 2021",BKN @ POR,8,1,0,4,0,0,0,1
26,0022000647,"MAR 21, 2021",BKN vs. WAS,8,4,0,3,0,0,0,0
27,0022000633,"MAR 19, 2021",BKN @ ORL,7,2,0,7,0,0,0,1
28,0022000617,"MAR 17, 2021",BKN @ IND,11,1,2,4,2,0,0,0
29,0022000604,"MAR 15, 2021",BKN vs. NYK,6,0,0,3,0,0,0,0
30,0022000587,"MAR 13, 2021",BKN vs. DET,3,1,0,1,0,0,1,0
