,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,20501229,"APR 19, 2006",NOK @ LAL,7,7,2,2,3,0,0,0
1,20501210,"APR 17, 2006",NOK @ PHX,11,5,3,4,3,0,2,0
2,20501202,"APR 16, 2006",NOK @ SAC,12,7,2,1,1,1,1,0
3,20501183,"APR 14, 2006",NOK vs. UTA,11,7,1,4,1,0,1,0
4,20501169,"APR 12, 2006",NOK vs. SEA,21,6,2,3,3,0,1,0
5,20501152,"APR 10, 2006",NOK vs. CLE,22,5,0,8,2,0,2,0
6,20501136,"APR 08, 2006",NOK @ DAL,9,5,0,5,2,1,2,0
7,20501126,"APR 07, 2006",NOK vs. TOR,16,8,2,3,1,1,3,1
8,20501114,"APR 05, 2006",NOK vs. GSW,17,16,6,11,4,0,2,0
9,20501101,"APR 04, 2006",NOK @ DET,24,10,5,4,2,0,1,0
10,20501084,"APR 02, 2006",NOK @ TOR,24,12,2,12,3,1,3,1
11,20501073,"MAR 31, 2006",NOK vs. MEM,21,5,2,7,3,0,2,0
12,20501064,"MAR 29, 2006",NOK @ GSW,18,7,2,6,1,0,1,0
13,20501045,"MAR 27, 2006",NOK @ UTA,11,7,1,1,2,0,2,0
14,20501042,"MAR 26, 2006",NOK @ LAL,17,6,2,1,1,2,4,0
15,20501023,"MAR 24, 2006",NOK @ CHI,13,5,3,3,3,0,1,0
16,20501013,"MAR 23, 2006",NOK vs. HOU,13,5,4,5,2,1,4,0
17,20500996,"MAR 21, 2006",NOK vs. LAC,21,9,1,3,1,1,4,0
18,20500976,"MAR 18, 2006",NOK vs. DEN,11,10,4,4,2,1,5,0
19,20500947,"MAR 14, 2006",NOK @ SAS,16,7,3,1,3,0,1,0
20,20500933,"MAR 12, 2006",NOK vs. NJN,17,7,4,3,1,2,3,0
21,20500914,"MAR 10, 2006",NOK vs. IND,7,8,0,7,1,0,3,0
22,20500903,"MAR 08, 2006",NOK vs. LAL,22,10,3,4,2,2,3,0
23,20500885,"MAR 06, 2006",NOK vs. PHX,14,11,1,4,2,2,6,0
24,20500853,"MAR 01, 2006",NOK @ LAC,9,12,1,8,3,0,3,0
25,20500840,"FEB 28, 2006",NOK @ SEA,25,14,3,7,2,1,3,0
26,20500827,"FEB 26, 2006",NOK @ POR,19,8,0,5,2,0,2,0
27,20500820,"FEB 25, 2006",NOK @ UTA,23,8,2,2,5,1,2,0
28,20500625,"FEB 22, 2006",NOK vs. UTA,18,7,7,2,3,0,2,1
29,20500781,"FEB 21, 2006",NOK @ IND,27,6,3,3,4,3,4,0
30,20500771,"FEB 15, 2006",NOK vs. POR,1,7,2,5,1,0,0,0
31,20500718,"FEB 08, 2006",NOK vs. SEA,9,6,1,1,2,1,1,0
32,20500700,"FEB 06, 2006",NOK @ NJN,6,13,1,7,3,1,3,0
33,20500689,"FEB 04, 2006",NOK vs. LAL,19,13,0,7,6,1,2,0
34,20500669,"FEB 01, 2006",NOK vs. CHI,25,13,3,4,1,0,0,0
35,20500651,"JAN 30, 2006",NOK vs. MIL,16,9,4,3,6,0,3,1
36,20500634,"JAN 28, 2006",NOK @ MEM,13,8,1,3,4,0,2,0
37,20500609,"JAN 25, 2006",NOK vs. SAS,14,4,3,7,1,0,3,0
38,20500593,"JAN 23, 2006",NOK @ BOS,8,6,2,6,4,0,1,0
39,20500578,"JAN 21, 2006",NOK @ NYK,27,13,1,7,5,1,3,0
40,20500565,"JAN 20, 2006",NOK @ WAS,28,11,4,6,1,1,3,1
41,20500555,"JAN 18, 2006",NOK vs. MEM,16,9,2,3,2,2,4,0
42,20500538,"JAN 16, 2006",NOK @ CHA,24,6,4,7,2,0,1,0
43,20500526,"JAN 14, 2006",NOK @ HOU,17,5,1,6,1,0,1,0
44,20500518,"JAN 13, 2006",NOK vs. SAC,6,6,2,8,3,0,1,0
45,20500496,"JAN 10, 2006",NOK vs. DET,13,5,2,3,0,0,1,0
46,20500465,"JAN 06, 2006",NOK vs. POR,8,3,0,1,0,0,2,0
47,20500451,"JAN 04, 2006",NOK vs. MIA,15,9,3,6,1,2,4,0
48,20500869,"JAN 02, 2006",NOK vs. CHA,24,11,1,4,2,3,5,0
49,20500428,"DEC 31, 2005",NOK vs. DAL,16,10,2,7,2,1,1,0
50,20500415,"DEC 29, 2005",NOK @ SAS,6,7,4,3,4,0,0,0
51,20500409,"DEC 28, 2005",NOK vs. HOU,11,15,1,5,1,0,2,0
52,20500380,"DEC 23, 2005",NOK @ MIL,24,8,4,5,1,2,4,0
53,20500366,"DEC 21, 2005",NOK @ MIN,15,3,1,5,1,1,2,0
54,20500795,"DEC 18, 2005",NOK vs. SAS,17,9,5,12,1,0,0,0
55,20500329,"DEC 16, 2005",NOK vs. PHX,25,6,2,7,3,0,2,0
56,20500315,"DEC 14, 2005",NOK vs. LAC,13,8,2,5,2,0,1,0
57,20500299,"DEC 12, 2005",NOK @ PHX,19,7,4,7,3,2,3,0
58,20500293,"DEC 11, 2005",NOK @ SAC,18,12,3,5,2,0,0,0
59,20500278,"DEC 09, 2005",NOK @ POR,21,10,2,7,6,0,0,0
60,20500262,"DEC 07, 2005",NOK vs. BOS,16,6,3,10,1,0,1,0
61,20500252,"DEC 06, 2005",NOK @ MEM,2,4,1,5,4,0,2,0
62,20500235,"DEC 03, 2005",NOK @ DAL,25,5,3,6,0,0,2,0
63,20500224,"DEC 02, 2005",NOK vs. PHI,16,9,2,7,3,1,2,0
64,20500213,"NOV 30, 2005",NOK @ DEN,10,9,2,8,3,1,1,0
65,20500197,"NOV 28, 2005",NOK @ GSW,15,5,1,1,4,2,4,0
66,20500181,"NOV 26, 2005",NOK @ SEA,17,10,2,7,2,0,2,0
67,20500163,"NOV 23, 2005",NOK vs. MIN,21,8,1,9,1,1,6,0
68,20500146,"NOV 21, 2005",NOK @ PHI,9,6,3,5,1,0,1,0
69,20500133,"NOV 19, 2005",NOK @ ORL,21,8,2,5,3,1,1,0
70,20500124,"NOV 18, 2005",NOK vs. ATL,25,12,5,7,2,1,2,0
71,20500112,"NOV 16, 2005",NOK vs. DEN,18,3,1,9,4,0,4,0
72,20500102,"NOV 15, 2005",NOK @ MIA,16,10,1,2,2,0,2,0
73,20500085,"NOV 12, 2005",NOK vs. DAL,26,5,1,3,5,2,6,0
74,20500063,"NOV 09, 2005",NOK vs. ORL,10,4,3,4,0,0,1,0
75,20500038,"NOV 05, 2005",NOK @ HOU,15,8,2,4,1,1,5,0
76,20500006,"NOV 02, 2005",NOK @ CLE,13,3,2,5,4,1,4,0
77,20500025,"NOV 01, 2005",NOK vs. SAC,13,4,2,8,4,1,3,1
78,20601230,"APR 18, 2007",NOK @ LAC,6,10,2,3,4,0,1,0
79,20601210,"APR 16, 2007",NOK @ SAC,23,12,2,4,0,2,2,0
80,20601191,"APR 14, 2007",NOK @ HOU,20,15,1,8,5,1,3,0
81,20601180,"APR 13, 2007",NOK vs. DEN,18,8,1,3,3,1,4,0
82,20601162,"APR 10, 2007",NOK vs. LAC,17,10,0,7,3,0,3,1
83,20601138,"APR 07, 2007",NOK @ MIN,18,10,3,3,1,3,6,1
84,20601114,"APR 04, 2007",NOK vs. SEA,11,9,0,11,2,0,2,0
85,20600547,"APR 03, 2007",NOK @ MIL,8,14,0,2,3,1,6,0
86,20601086,"MAR 31, 2007",NOK vs. NYK,16,6,4,7,2,2,4,0
87,20601064,"MAR 28, 2007",NOK @ SAS,20,9,2,5,4,1,2,0
88,20601055,"MAR 27, 2007",NOK vs. DAL,2,3,3,4,2,0,1,0
89,20601039,"MAR 25, 2007",NOK vs. HOU,28,5,0,5,0,4,5,0
90,20601027,"MAR 23, 2007",NOK vs. LAL,28,12,4,6,1,0,2,0
91,20601001,"MAR 20, 2007",NOK @ MEM,23,9,4,5,2,2,5,0
92,20600996,"MAR 19, 2007",NOK vs. BOS,15,6,3,5,3,2,2,0
93,20600979,"MAR 17, 2007",NOK @ WAS,21,8,1,3,3,0,1,0
94,20600973,"MAR 16, 2007",NOK @ NYK,20,8,0,5,2,1,2,0
95,20600951,"MAR 13, 2007",NOK vs. NJN,25,12,1,6,2,3,6,0
96,20600933,"MAR 10, 2007",NOK @ UTA,12,11,0,2,2,0,2,0
97,20600925,"MAR 09, 2007",NOK @ PHX,14,4,1,7,2,1,3,0
98,20600904,"MAR 06, 2007",NOK @ DEN,13,14,1,4,2,1,5,0
99,20600891,"MAR 04, 2007",NOK vs. UTA,14,13,3,2,1,1,3,0
100,20600875,"MAR 02, 2007",NOK @ CHI,16,6,1,4,4,1,4,0
101,20600859,"FEB 28, 2007",NOK vs. ATL,24,13,4,5,1,1,1,0
102,20600850,"FEB 27, 2007",NOK @ CLE,7,5,2,5,3,0,0,0
103,20600821,"FEB 23, 2007",NOK vs. SEA,13,8,5,5,0,0,2,0
104,20600804,"FEB 21, 2007",NOK @ NJN,19,11,2,4,1,1,4,0
105,20600791,"FEB 20, 2007",NOK @ CHA,20,7,1,3,4,1,1,0
106,20600782,"FEB 14, 2007",NOK vs. SAC,9,6,0,4,1,1,1,0
107,20600771,"FEB 13, 2007",NOK @ MEM,5,10,1,3,3,0,1,0
108,20600751,"FEB 10, 2007",NOK vs. MEM,23,11,1,3,1,3,3,0
109,20600736,"FEB 08, 2007",NOK vs. MIL,14,10,2,5,5,0,2,0
110,20600734,"FEB 07, 2007",NOK @ DEN,15,7,1,4,2,1,2,0
111,20600719,"FEB 05, 2007",NOK @ SAC,24,6,5,3,2,3,4,0
112,20600704,"FEB 03, 2007",NOK @ HOU,12,9,4,4,2,1,2,0
113,20600696,"FEB 02, 2007",NOK vs. MIN,24,8,4,2,0,1,3,0
114,20600681,"JAN 31, 2007",NOK vs. PHI,9,2,1,0,0,1,3,0
115,20600413,"DEC 26, 2006",NOK @ SEA,6,7,0,2,0,1,1,0
116,20600398,"DEC 23, 2006",NOK vs. SAS,20,3,1,1,2,0,3,0
117,20600385,"DEC 22, 2006",NOK vs. MEM,15,14,0,1,3,1,4,0
118,20600366,"DEC 20, 2006",NOK @ ORL,19,10,1,5,2,0,0,0
119,20600358,"DEC 18, 2006",NOK @ MIA,26,8,3,6,4,1,1,0
120,20600347,"DEC 16, 2006",NOK vs. DAL,30,8,0,12,2,1,1,0
121,20600327,"DEC 14, 2006",NOK vs. SAS,6,12,1,4,5,0,2,0
122,20600305,"DEC 11, 2006",NOK vs. CLE,30,11,2,5,1,0,2,0
123,20600294,"DEC 09, 2006",NOK @ GSW,11,5,1,3,4,0,4,0
124,20600285,"DEC 08, 2006",NOK @ SEA,16,6,1,5,5,0,0,0
125,20600270,"DEC 06, 2006",NOK @ LAL,26,11,3,6,3,0,2,0
126,20600228,"DEC 01, 2006",NOK vs. CHI,25,18,5,11,7,1,2,1
127,20600206,"NOV 28, 2006",NOK vs. TOR,16,11,4,4,3,1,2,0
128,20600191,"NOV 25, 2006",NOK @ DAL,12,4,5,1,3,0,0,0
129,20600178,"NOV 24, 2006",NOK vs. MIN,18,7,2,6,0,0,1,0
130,20600166,"NOV 22, 2006",NOK @ PHX,18,4,3,3,4,0,1,0
131,20600154,"NOV 21, 2006",NOK vs. MIA,11,10,1,5,3,0,0,0
132,20600135,"NOV 18, 2006",NOK @ MIN,35,6,1,5,5,1,1,0
133,20600113,"NOV 15, 2006",NOK @ DET,20,13,0,3,0,0,1,0
134,20600102,"NOV 14, 2006",NOK vs. CHA,2,10,3,2,1,0,1,0
135,20600090,"NOV 12, 2006",NOK @ LAC,20,3,1,5,6,0,1,0
136,20600080,"NOV 10, 2006",NOK @ POR,12,8,2,3,2,0,3,0
137,20600071,"NOV 09, 2006",NOK @ GSW,34,10,2,3,6,1,1,0
