,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022201201,"APR 06, 2023",PHX vs. DEN,25,2,1,6,1,7,12,1
1,0022201188,"APR 04, 2023",PHX vs. SAS,22,3,1,2,2,4,6,0
2,0022201172,"APR 02, 2023",PHX @ OKC,16,8,1,3,3,2,5,0
3,0022201160,"MAR 31, 2023",PHX vs. DEN,5,13,1,6,5,1,4,0
4,0022201144,"MAR 29, 2023",PHX vs. MIN,19,6,2,3,0,1,5,0
5,0022201125,"MAR 27, 2023",PHX @ UTA,9,10,2,3,0,1,4,2
6,0022201110,"MAR 25, 2023",PHX vs. PHI,13,7,1,5,1,2,3,0
7,0022201105,"MAR 24, 2023",PHX @ SAC,15,13,0,6,1,1,5,0
8,0022201092,"MAR 22, 2023",PHX @ LAL,18,4,1,4,1,2,4,0
9,0022201064,"MAR 19, 2023",PHX @ OKC,14,13,3,6,1,2,3,1
10,0022201046,"MAR 16, 2023",PHX vs. ORL,16,7,2,2,2,0,3,0
11,0022201033,"MAR 14, 2023",PHX vs. MIL,11,8,2,4,1,0,2,0
12,0022201025,"MAR 13, 2023",PHX @ GSW,11,11,1,5,2,0,4,0
13,0022201013,"MAR 11, 2023",PHX vs. SAC,16,16,1,6,3,2,9,0
14,0022200990,"MAR 08, 2023",PHX vs. OKC,18,9,4,4,1,4,5,0
15,0022200962,"MAR 05, 2023",PHX @ DAL,11,7,1,6,0,2,6,0
16,0022200950,"MAR 03, 2023",PHX @ CHI,11,10,2,6,2,3,7,0
17,0022200933,"MAR 01, 2023",PHX @ CHA,2,11,2,2,3,0,4,0
18,0022200910,"FEB 26, 2023",PHX @ MIL,18,7,1,5,4,2,5,0
19,0022200899,"FEB 24, 2023",PHX vs. OKC,16,6,0,2,0,1,2,0
20,0022200885,"FEB 16, 2023",PHX vs. LAC,5,11,4,3,2,0,1,0
21,0022200870,"FEB 14, 2023",PHX vs. SAC,17,19,2,5,4,1,5,0
22,0022200836,"FEB 10, 2023",PHX @ IND,19,9,2,2,3,1,3,0
23,0022200832,"FEB 09, 2023",PHX @ ATL,15,8,3,5,1,0,2,2
24,0022200817,"FEB 07, 2023",PHX @ BKN,9,12,5,2,2,1,3,2
25,0022200794,"FEB 04, 2023",PHX @ DET,2,14,2,4,4,0,3,0
26,0022200788,"FEB 03, 2023",PHX @ BOS,15,8,1,6,0,1,5,1
27,0022200777,"FEB 01, 2023",PHX vs. ATL,3,3,0,2,2,0,3,1
28,0022200762,"JAN 30, 2023",PHX vs. TOR,19,9,0,4,3,4,7,2
29,0022200748,"JAN 28, 2023",PHX @ SAS,31,11,1,7,1,1,4,2
30,0022200734,"JAN 26, 2023",PHX vs. DAL,22,10,1,6,2,4,7,0
31,0022200718,"JAN 24, 2023",PHX vs. CHA,14,11,0,5,0,2,3,0
32,0022200703,"JAN 22, 2023",PHX vs. MEM,22,11,3,6,5,3,9,1
33,0022200589,"JAN 06, 2023",PHX vs. MIA,5,1,1,0,1,1,1,0
34,0022200565,"JAN 04, 2023",PHX @ CLE,25,8,2,4,1,3,5,0
35,0022200550,"JAN 02, 2023",PHX @ NYK,11,2,1,4,0,1,3,0
36,0022200531,"DEC 30, 2022",PHX @ TOR,20,12,1,5,6,3,6,0
37,0022200516,"DEC 28, 2022",PHX @ WAS,20,6,2,2,4,3,6,2
38,0022200510,"DEC 27, 2022",PHX @ MEM,14,6,1,1,4,4,5,0
39,0022200497,"DEC 25, 2022",PHX @ DEN,17,16,2,4,0,0,3,1
40,0022200490,"DEC 23, 2022",PHX vs. MEM,10,3,0,2,1,0,1,0
41,0022200464,"DEC 20, 2022",PHX vs. WAS,12,11,2,4,3,1,3,0
42,0022200459,"DEC 19, 2022",PHX vs. LAL,28,8,2,4,0,3,5,0
43,0022200444,"DEC 17, 2022",PHX vs. NOP,18,8,1,5,2,5,7,0
44,0022200427,"DEC 15, 2022",PHX @ LAC,15,13,2,7,1,2,6,1
45,0022200411,"DEC 13, 2022",PHX @ HOU,16,7,2,6,4,2,10,1
46,0022200395,"DEC 11, 2022",PHX @ NOP,6,11,1,3,3,0,3,0
47,0022200384,"DEC 09, 2022",PHX @ NOP,24,7,0,8,3,6,9,0
48,0022200373,"DEC 07, 2022",PHX vs. BOS,4,4,1,4,4,0,2,0
49,0022200148,"NOV 07, 2022",PHX @ PHI,2,2,2,2,2,0,0,0
50,0022200139,"NOV 05, 2022",PHX vs. POR,15,4,0,5,1,2,4,0
51,0022200130,"NOV 04, 2022",PHX vs. POR,7,11,2,2,0,1,3,1
52,0022200106,"NOV 01, 2022",PHX vs. MIN,15,12,3,8,1,1,5,0
53,0022200094,"OCT 30, 2022",PHX vs. HOU,10,15,0,1,0,0,4,0
54,0022200079,"OCT 28, 2022",PHX vs. NOP,7,9,1,5,3,0,1,0
55,0022200055,"OCT 25, 2022",PHX vs. GSW,16,9,1,7,2,4,5,0
56,0022200043,"OCT 23, 2022",PHX @ LAC,7,11,1,8,2,1,8,1
57,0022200027,"OCT 21, 2022",PHX @ POR,10,12,5,4,1,0,1,0
58,0022200013,"OCT 19, 2022",PHX vs. DAL,6,9,2,3,3,0,2,0
