,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21401219,"APR 15, 2015",HOU vs. UTA,8,1,0,6,0,0,0,2
1,21401202,"APR 13, 2015",HOU @ CHA,10,0,0,5,0,0,0,1
2,21401168,"APR 08, 2015",HOU @ SAS,2,0,0,4,0,0,0,0
3,21401125,"APR 02, 2015",HOU @ DAL,0,0,0,1,0,0,0,0
4,21401117,"APR 01, 2015",HOU vs. SAC,4,0,0,3,0,0,0,3
5,21401104,"MAR 30, 2015",HOU @ TOR,8,0,0,9,2,0,0,2
6,21400799,"FEB 11, 2015",HOU @ LAC,0,0,0,2,0,0,0,0
7,21400667,"JAN 25, 2015",HOU @ LAL,0,0,0,0,0,0,0,0
8,21400324,"DEC 10, 2014",HOU @ GSW,0,0,0,0,0,0,0,0
9,21400283,"DEC 05, 2014",HOU @ MIN,0,0,0,0,0,0,0,0
10,21400268,"DEC 03, 2014",HOU vs. MEM,0,0,1,3,2,0,0,1
11,21400069,"NOV 06, 2014",HOU vs. SAS,0,1,0,3,1,0,0,0
12,21501224,"APR 13, 2016",HOU vs. SAC,6,1,0,17,1,0,0,3
13,21501207,"APR 11, 2016",HOU @ MIN,10,0,1,10,1,0,0,1
14,21501195,"APR 10, 2016",HOU vs. LAL,5,0,0,5,1,0,0,1
15,21501175,"APR 07, 2016",HOU vs. PHX,7,1,1,2,0,0,0,2
16,21501170,"APR 06, 2016",HOU @ DAL,2,1,1,4,0,0,0,1
17,21501145,"APR 03, 2016",HOU vs. OKC,9,0,2,6,0,0,0,4
18,21501124,"MAR 31, 2016",HOU vs. CHI,8,0,2,5,0,0,0,0
19,21501111,"MAR 29, 2016",HOU @ CLE,9,1,2,10,1,0,0,1
20,21501093,"MAR 27, 2016",HOU @ IND,9,1,1,7,0,0,0,0
21,21501077,"MAR 25, 2016",HOU vs. TOR,8,0,0,10,0,0,0,1
22,21501061,"MAR 23, 2016",HOU vs. UTA,10,0,2,5,0,0,0,2
23,21501054,"MAR 22, 2016",HOU @ OKC,5,0,1,2,0,0,0,1
24,21501029,"MAR 19, 2016",HOU @ ATL,5,0,0,5,0,0,0,0
25,21501024,"MAR 18, 2016",HOU vs. MIN,8,0,1,3,0,0,0,1
26,21501009,"MAR 16, 2016",HOU vs. LAC,3,0,0,3,1,0,0,0
27,21500992,"MAR 14, 2016",HOU vs. MEM,10,0,0,5,1,0,1,1
28,21500975,"MAR 12, 2016",HOU @ CHA,9,1,0,4,0,0,0,1
29,21500965,"MAR 11, 2016",HOU @ BOS,6,0,0,1,0,0,0,1
30,21500951,"MAR 09, 2016",HOU @ PHI,3,0,1,2,0,0,0,0
31,21500936,"MAR 06, 2016",HOU @ TOR,5,1,0,3,0,0,0,2
32,21500927,"MAR 05, 2016",HOU @ CHI,6,0,0,5,0,0,0,0
33,21500901,"MAR 02, 2016",HOU vs. NOP,4,1,1,5,0,0,0,2
34,21500843,"FEB 23, 2016",HOU @ UTA,2,2,0,4,0,0,0,1
35,21500814,"FEB 19, 2016",HOU @ PHX,11,0,0,7,1,0,0,1
36,21500800,"FEB 10, 2016",HOU @ POR,1,0,0,10,0,0,0,0
37,21500788,"FEB 09, 2016",HOU @ GSW,4,1,0,6,1,0,0,1
38,21500760,"FEB 06, 2016",HOU vs. POR,0,0,0,6,0,0,0,2
39,21500749,"FEB 04, 2016",HOU @ PHX,10,0,0,4,1,0,0,2
40,21500711,"JAN 30, 2016",HOU vs. WAS,1,0,1,4,2,0,0,2
41,21500701,"JAN 29, 2016",HOU @ OKC,12,0,0,3,0,0,0,1
42,21500689,"JAN 27, 2016",HOU @ SAS,5,0,0,5,2,0,0,3
43,21500671,"JAN 25, 2016",HOU @ NOP,10,0,0,5,0,0,0,0
44,21500665,"JAN 24, 2016",HOU vs. DAL,8,2,0,5,0,0,0,0
45,21500650,"JAN 22, 2016",HOU vs. MIL,6,2,1,9,1,0,0,2
46,21500635,"JAN 20, 2016",HOU vs. DET,10,0,1,13,1,0,0,1
47,21500624,"JAN 18, 2016",HOU @ LAC,7,0,0,3,0,0,0,1
48,21500614,"JAN 17, 2016",HOU @ LAL,14,0,1,11,1,0,0,0
49,21500601,"JAN 15, 2016",HOU vs. CLE,7,0,0,4,1,0,0,1
50,21500581,"JAN 13, 2016",HOU vs. MIN,7,2,0,7,1,0,0,1
51,21500572,"JAN 12, 2016",HOU @ MEM,1,1,1,7,1,0,0,1
52,21500561,"JAN 10, 2016",HOU vs. IND,2,2,3,6,5,0,0,2
53,21500538,"JAN 07, 2016",HOU vs. UTA,7,0,3,10,1,0,0,0
54,21500518,"JAN 04, 2016",HOU @ UTA,2,1,0,5,1,0,0,0
55,21500502,"JAN 02, 2016",HOU @ SAS,8,0,1,7,0,0,0,4
56,21500485,"DEC 31, 2015",HOU vs. GSW,5,0,0,6,1,0,0,1
57,21500470,"DEC 29, 2015",HOU vs. ATL,17,2,2,10,2,0,0,1
58,21500445,"DEC 26, 2015",HOU @ NOP,2,4,1,7,0,0,0,2
59,21500439,"DEC 25, 2015",HOU vs. SAS,6,1,0,5,3,0,0,1
60,21500426,"DEC 23, 2015",HOU @ ORL,10,1,0,5,1,0,0,1
61,21500415,"DEC 21, 2015",HOU vs. CHA,3,0,0,8,1,0,0,0
62,21500401,"DEC 19, 2015",HOU vs. LAC,7,1,1,10,2,0,0,2
63,21500385,"DEC 17, 2015",HOU @ LAL,10,1,2,12,1,0,0,4
64,21500369,"DEC 15, 2015",HOU @ SAC,4,0,1,9,2,0,0,1
65,21500349,"DEC 12, 2015",HOU vs. LAL,11,1,2,10,2,0,0,1
66,21500321,"DEC 09, 2015",HOU @ WAS,10,2,1,5,0,0,0,0
67,21500315,"DEC 08, 2015",HOU @ BKN,6,0,0,9,3,0,0,0
68,21500293,"DEC 05, 2015",HOU vs. SAC,8,2,2,3,0,0,0,0
69,21500287,"DEC 04, 2015",HOU @ DAL,2,2,1,10,1,0,0,2
70,21500274,"DEC 02, 2015",HOU vs. NOP,6,0,0,4,0,0,0,0
71,21500254,"NOV 30, 2015",HOU @ DET,11,1,4,5,2,0,0,0
72,21500252,"NOV 29, 2015",HOU @ NYK,18,0,3,11,1,0,0,1
73,21500232,"NOV 27, 2015",HOU vs. PHI,13,0,0,10,2,0,0,2
74,21500220,"NOV 25, 2015",HOU vs. MEM,6,1,2,2,0,0,0,3
75,21500194,"NOV 21, 2015",HOU vs. NYK,16,1,1,14,2,0,0,0
76,21500180,"NOV 20, 2015",HOU @ MEM,1,0,0,7,0,0,0,1
77,21500170,"NOV 18, 2015",HOU vs. POR,4,0,1,4,0,0,0,1
78,21500154,"NOV 16, 2015",HOU vs. BOS,5,1,1,7,0,0,0,2
79,21500140,"NOV 14, 2015",HOU vs. DAL,7,1,1,10,0,0,0,0
80,21500136,"NOV 13, 2015",HOU @ DEN,4,0,1,3,0,0,0,0
81,21500119,"NOV 11, 2015",HOU vs. BKN,8,0,0,2,1,0,0,2
82,21500093,"NOV 07, 2015",HOU @ LAC,9,0,0,8,0,0,0,1
83,21500084,"NOV 06, 2015",HOU @ SAC,13,2,0,12,2,0,0,4
84,21500064,"NOV 04, 2015",HOU vs. ORL,8,1,1,5,0,0,0,1
85,21500049,"NOV 02, 2015",HOU vs. OKC,4,0,1,1,1,0,0,1
86,21500041,"NOV 01, 2015",HOU @ MIA,10,0,0,5,1,0,0,1
87,21500030,"OCT 30, 2015",HOU vs. GSW,7,1,0,8,2,0,0,2
88,21500010,"OCT 28, 2015",HOU vs. DEN,9,0,2,7,1,0,0,3
89,21601224,"APR 12, 2017",HOU vs. MIN,22,2,1,10,2,0,0,3
90,21601200,"APR 09, 2017",HOU @ SAC,18,0,0,6,1,0,0,1
