,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021801218,"APR 09, 2019",HOU @ OKC,18,3,0,10,3,0,0,3
1,0021801200,"APR 07, 2019",HOU vs. PHX,22,4,1,13,0,0,0,1
2,0021801184,"APR 05, 2019",HOU vs. NYK,12,0,0,15,0,0,0,1
3,0021801176,"APR 03, 2019",HOU @ LAC,24,1,0,15,2,0,0,2
4,0021801163,"APR 02, 2019",HOU @ SAC,7,1,2,13,0,0,0,0
5,0021801138,"MAR 30, 2019",HOU vs. SAC,24,1,0,15,1,0,0,2
6,0021801126,"MAR 28, 2019",HOU vs. DEN,17,1,1,15,1,0,0,1
7,0021801111,"MAR 26, 2019",HOU @ MIL,17,2,1,11,1,0,0,2
8,0021801099,"MAR 24, 2019",HOU @ NOP,8,1,0,17,2,0,0,0
9,0021801084,"MAR 22, 2019",HOU vs. SAS,7,4,0,16,1,0,0,1
10,0021801070,"MAR 20, 2019",HOU @ MEM,14,3,1,10,2,0,0,0
11,0021801060,"MAR 19, 2019",HOU @ ATL,26,1,1,11,1,0,0,0
12,0021801048,"MAR 17, 2019",HOU vs. MIN,20,1,0,13,0,0,0,2
13,0021801030,"MAR 15, 2019",HOU vs. PHX,14,0,1,11,1,0,0,1
14,0021801018,"MAR 13, 2019",HOU vs. GSW,13,1,1,13,0,0,0,1
15,0021801004,"MAR 11, 2019",HOU vs. CHA,19,2,0,15,2,0,0,0
16,0021800997,"MAR 10, 2019",HOU @ DAL,17,1,1,12,1,0,0,1
17,0021800981,"MAR 08, 2019",HOU vs. PHI,18,0,4,9,2,0,0,0
18,0021800961,"MAR 05, 2019",HOU @ TOR,9,1,1,15,2,0,0,1
19,0021800945,"MAR 03, 2019",HOU @ BOS,8,2,1,9,1,0,0,0
20,0021800925,"FEB 28, 2019",HOU vs. MIA,6,2,1,11,3,0,0,2
21,0021800911,"FEB 27, 2019",HOU @ CHA,23,2,1,17,0,0,0,1
22,0021800903,"FEB 25, 2019",HOU vs. ATL,12,0,0,8,0,0,0,1
23,0021800892,"FEB 23, 2019",HOU @ GSW,8,0,1,15,1,0,0,1
24,0021800872,"FEB 21, 2019",HOU @ LAL,12,0,0,11,2,0,0,1
25,0021800641,"JAN 13, 2019",HOU @ ORL,17,3,0,10,0,0,0,0
26,0021800625,"JAN 11, 2019",HOU vs. CLE,19,2,1,4,1,0,0,2
27,0021800610,"JAN 09, 2019",HOU vs. MIL,18,1,0,13,3,0,0,2
28,0021800593,"JAN 07, 2019",HOU vs. DEN,31,2,2,9,0,0,0,0
29,0021800582,"JAN 05, 2019",HOU @ POR,13,2,0,21,1,0,0,2
30,0021800565,"JAN 03, 2019",HOU @ GSW,29,1,2,21,1,0,0,1
31,0021800544,"DEC 31, 2018",HOU vs. MEM,19,0,0,13,0,0,0,1
32,0021800528,"DEC 29, 2018",HOU @ NOP,6,1,0,7,1,0,0,3
33,0021800512,"DEC 27, 2018",HOU vs. BOS,24,0,0,19,3,0,0,1
34,0021800498,"DEC 25, 2018",HOU vs. OKC,16,3,1,23,2,0,0,1
35,0021800483,"DEC 22, 2018",HOU vs. SAS,21,2,0,23,3,0,0,1
36,0021800467,"DEC 20, 2018",HOU @ MIA,6,1,1,14,0,0,0,1
37,0021800461,"DEC 19, 2018",HOU vs. WAS,20,2,1,12,2,0,0,1
38,0021800445,"DEC 17, 2018",HOU vs. UTA,5,0,3,14,2,0,0,5
39,0021800432,"DEC 15, 2018",HOU @ MEM,26,0,0,10,2,0,0,2
40,0021800416,"DEC 13, 2018",HOU vs. LAL,16,1,1,14,1,0,0,2
41,0021800402,"DEC 11, 2018",HOU vs. POR,13,2,2,7,3,0,0,0
42,0021800378,"DEC 08, 2018",HOU @ DAL,12,1,0,13,1,0,0,0
43,0021800367,"DEC 06, 2018",HOU @ UTA,12,0,1,10,3,0,0,2
44,0021800348,"DEC 03, 2018",HOU @ MIN,24,3,0,8,2,0,0,3
45,0021800334,"DEC 01, 2018",HOU vs. CHI,18,0,0,15,0,0,0,1
46,0021800326,"NOV 30, 2018",HOU @ SAS,27,1,1,12,0,0,0,4
47,0021800309,"NOV 28, 2018",HOU vs. DAL,18,2,0,8,1,0,0,2
48,0021800296,"NOV 26, 2018",HOU @ WAS,17,2,0,14,1,0,0,4
49,0021800279,"NOV 24, 2018",HOU @ CLE,12,3,0,10,2,0,0,4
50,0021800267,"NOV 23, 2018",HOU @ DET,29,1,2,21,3,0,0,3
51,0021800258,"NOV 21, 2018",HOU vs. DET,27,0,0,15,1,0,0,4
52,0021800231,"NOV 17, 2018",HOU vs. SAC,23,1,1,16,1,0,0,4
53,0021800213,"NOV 15, 2018",HOU vs. GSW,10,1,1,10,0,0,0,0
54,0021800200,"NOV 13, 2018",HOU @ DEN,24,2,0,9,1,0,0,1
55,0021800185,"NOV 11, 2018",HOU vs. IND,18,1,0,7,1,0,0,1
56,0021800180,"NOV 10, 2018",HOU @ SAS,12,1,0,17,2,0,0,2
57,0021800163,"NOV 08, 2018",HOU @ OKC,17,3,1,7,1,0,0,1
58,0021800141,"NOV 05, 2018",HOU @ IND,18,1,0,10,2,0,0,1
59,0021800129,"NOV 03, 2018",HOU @ CHI,12,1,1,12,4,0,0,2
60,0021800118,"NOV 02, 2018",HOU @ BKN,22,5,0,13,0,0,0,2
61,0021800101,"OCT 30, 2018",HOU vs. POR,14,1,0,14,4,0,0,3
62,0021800070,"OCT 26, 2018",HOU vs. LAC,14,1,2,15,1,0,0,1
63,0021800057,"OCT 24, 2018",HOU vs. UTA,10,2,1,12,5,0,0,2
64,0021800039,"OCT 21, 2018",HOU @ LAC,23,5,0,6,1,0,0,3
65,0021800035,"OCT 20, 2018",HOU @ LAL,19,0,0,12,2,0,0,1
66,0021800009,"OCT 17, 2018",HOU vs. NOP,8,1,0,8,1,0,0,1
