,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0,0022300523,"JAN 10, 2024",CHI vs. HOU,30,8,0,4,4,17,9,6,11,1,7,6,15,42
1,0022300506,"JAN 08, 2024",CHI @ CHA,27,5,0,6,1,19,10,3,7,0,5,4,11,38
2,0022300484,"JAN 05, 2024",CHI vs. CHA,22,6,0,10,5,12,7,3,6,0,6,5,0,38
3,0022300468,"JAN 03, 2024",CHI @ NYK,26,8,0,4,3,19,9,6,9,1,2,2,-23,38
4,0022300459,"JAN 02, 2024",CHI @ PHI,14,3,2,4,1,15,5,0,5,0,5,4,-26,21
5,0022300442,"DEC 30, 2023",CHI vs. PHI,20,2,0,8,5,15,7,1,5,0,6,5,10,30
6,0022300422,"DEC 28, 2023",CHI vs. IND,16,2,0,5,2,19,5,2,6,0,4,4,-24,23
7,0022300408,"DEC 26, 2023",CHI vs. ATL,19,5,0,5,1,22,7,0,7,0,8,5,7,29
8,0022300396,"DEC 23, 2023",CHI vs. CLE,17,7,0,4,4,19,8,0,8,1,1,1,-5,28
9,0022300376,"DEC 21, 2023",CHI vs. SAS,22,5,0,6,3,15,10,2,6,0,0,0,9,33
10,0022300370,"DEC 20, 2023",CHI vs. LAL,17,5,0,7,3,18,7,3,6,0,0,0,10,29
11,0022300351,"DEC 18, 2023",CHI @ PHI,24,9,0,8,2,17,9,2,6,1,4,4,0,41
12,0022300337,"DEC 16, 2023",CHI @ MIA,22,5,1,7,1,15,7,4,10,0,4,4,3,34
13,0022300320,"DEC 14, 2023",CHI @ MIA,26,11,1,7,0,20,9,4,11,0,8,4,20,44
14,0022300307,"DEC 12, 2023",CHI vs. DEN,27,8,1,4,2,15,8,5,10,0,6,6,-5,39
15,0022300300,"DEC 11, 2023",CHI @ MIL,33,4,1,6,2,20,12,6,10,0,4,3,1,43
16,0022301223,"DEC 08, 2023",CHI @ SAS,24,6,1,4,3,15,9,5,7,0,1,1,18,34
17,0022301211,"DEC 06, 2023",CHI vs. CHA,19,5,0,9,0,16,6,3,7,0,5,4,6,33
18,0022300285,"DEC 02, 2023",CHI vs. NOP,31,6,1,9,3,17,10,8,13,0,3,3,6,46
19,0022300269,"NOV 30, 2023",CHI vs. MIL,23,7,1,4,3,20,7,4,11,1,6,5,1,34
20,0022300053,"NOV 28, 2023",CHI @ BOS,19,3,0,1,0,12,7,3,5,0,2,2,-16,23
21,0022300250,"NOV 26, 2023",CHI @ BKN,23,4,0,5,1,16,7,5,12,1,4,4,7,32
22,0022300046,"NOV 24, 2023",CHI @ TOR,14,3,0,3,3,9,5,4,7,0,0,0,-9,20
23,0022300234,"NOV 22, 2023",CHI @ OKC,23,5,1,1,3,17,8,7,12,0,0,0,-5,29
24,0022300220,"NOV 20, 2023",CHI vs. MIA,20,3,1,5,2,11,7,4,8,1,2,2,-16,28
25,0022300204,"NOV 18, 2023",CHI vs. MIA,14,5,1,3,3,13,5,4,10,0,0,0,-12,22
26,0022300033,"NOV 17, 2023",CHI vs. ORL,4,4,1,1,2,6,2,0,3,0,1,0,9,9
27,0022300196,"NOV 15, 2023",CHI vs. ORL,5,1,1,1,3,10,2,1,5,0,0,0,5,7
28,0022300190,"NOV 13, 2023",CHI @ MIL,16,1,2,3,1,14,6,3,8,0,2,1,1,20
29,0022300181,"NOV 12, 2023",CHI vs. DET,16,7,2,0,1,14,6,3,6,0,2,1,4,23
30,0022300162,"NOV 08, 2023",CHI vs. PHX,11,6,3,7,2,14,5,1,5,1,0,0,-11,24
31,0022300152,"NOV 06, 2023",CHI vs. UTA,18,7,1,3,1,9,7,4,6,0,0,0,15,28
32,0022300139,"NOV 04, 2023",CHI @ DEN,11,5,2,2,2,10,4,1,4,1,2,2,-11,18
33,0022300004,"NOV 03, 2023",CHI vs. BKN,18,2,0,3,2,17,7,2,8,1,2,2,3,23
34,0022300124,"NOV 01, 2023",CHI @ DAL,10,4,0,1,3,12,4,1,6,0,2,1,-6,15
35,0022300102,"OCT 30, 2023",CHI @ IND,7,3,1,2,1,6,3,1,2,0,0,0,5,12
36,0022300088,"OCT 28, 2023",CHI @ DET,0,1,0,2,1,4,0,0,2,0,0,0,-10,3
37,0022300082,"OCT 27, 2023",CHI vs. TOR,17,8,1,6,3,15,5,2,9,0,5,5,-1,31
38,0022300070,"OCT 25, 2023",CHI vs. OKC,15,4,0,4,0,14,4,2,7,0,6,5,-8,23
