Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300552,"JAN 14, 2024",MIL vs. SAC,29,8,0,4,4,23,9,5,13,0,6,6,-6,41,37,12,33,0
0022300545,"JAN 13, 2024",MIL vs. GSW,27,7,2,6,1,19,9,2,5,0,7,7,21,40,34,13,33,2
0022300528,"JAN 11, 2024",MIL vs. BOS,21,4,0,4,0,12,6,3,8,0,6,6,25,29,25,8,25,0
0022300496,"JAN 06, 2024",MIL @ HOU,18,8,2,2,1,16,5,1,8,0,10,7,-11,28,26,10,20,2
0022300477,"JAN 04, 2024",MIL @ SAS,25,10,1,4,0,19,10,1,6,0,4,4,11,39,35,14,29,1
0022300466,"JAN 03, 2024",MIL @ IND,23,5,3,2,2,18,6,2,8,0,10,9,-22,30,28,7,25,3
0022300454,"JAN 01, 2024",MIL vs. IND,13,5,0,7,1,16,3,1,9,0,6,6,4,25,18,12,20,0
0022300433,"DEC 29, 2023",MIL @ CLE,31,4,0,2,2,16,9,2,6,0,11,11,14,37,35,6,33,0
0022300417,"DEC 27, 2023",MIL @ BKN,12,4,0,3,4,10,4,3,9,0,1,1,2,19,16,7,15,0
0022300401,"DEC 25, 2023",MIL @ NYK,32,8,1,1,4,21,10,4,13,0,9,8,-6,41,40,9,33,1
0022300388,"DEC 23, 2023",MIL @ NYK,19,7,1,9,3,16,6,3,7,0,5,4,3,35,26,16,28,1
0022300378,"DEC 21, 2023",MIL vs. ORL,24,8,0,5,3,17,5,4,8,0,10,10,9,37,32,13,29,0
0022300361,"DEC 19, 2023",MIL vs. SAS,40,4,3,3,1,22,14,7,12,0,5,5,26,47,44,7,43,3
0022300346,"DEC 17, 2023",MIL vs. HOU,39,11,3,5,3,19,11,5,8,0,13,12,10,55,50,16,44,3
0022300334,"DEC 16, 2023",MIL vs. DET,33,5,0,4,2,22,11,6,14,1,5,5,26,42,38,9,37,1
0022300315,"DEC 13, 2023",MIL vs. IND,21,6,1,4,4,14,6,2,8,0,9,7,15,31,27,10,25,1
0022300300,"DEC 11, 2023",MIL vs. CHI,14,9,0,4,2,17,3,2,9,1,7,6,0,27,23,13,18,1
0022301229,"DEC 07, 2023",MIL vs. IND,24,7,1,7,3,20,7,4,9,1,6,6,6,38,31,14,31,2
0022301201,"DEC 05, 2023",MIL vs. NYK,28,7,1,3,3,13,8,5,7,1,8,7,17,38,35,10,31,2
0022300286,"DEC 02, 2023",MIL vs. ATL,25,9,1,6,4,16,10,3,6,0,2,2,14,40,34,15,31,1
0022300269,"NOV 30, 2023",MIL @ CHI,18,13,2,5,7,16,7,1,6,1,4,3,9,36,31,18,23,3
0022300056,"NOV 28, 2023",MIL @ MIA,32,9,0,4,1,18,9,4,9,0,10,10,13,45,41,13,36,0
0022300245,"NOV 26, 2023",MIL vs. POR,31,4,2,5,3,21,7,4,12,0,14,13,15,40,35,9,36,2
0022300049,"NOV 24, 2023",MIL vs. WAS,31,10,0,6,1,18,11,2,5,0,8,7,1,47,41,16,37,0
0022300228,"NOV 22, 2023",MIL @ BOS,27,5,2,5,3,24,11,3,10,0,2,2,9,37,32,10,32,2
0022300219,"NOV 20, 2023",MIL @ WAS,22,7,0,5,1,14,5,3,6,0,11,9,6,34,29,12,27,0
0022300205,"NOV 18, 2023",MIL vs. DAL,27,12,1,3,1,18,7,4,11,0,10,9,-6,42,39,15,30,1
0022300027,"NOV 17, 2023",MIL @ CHA,27,5,1,5,2,18,9,5,10,0,4,4,10,37,32,10,32,1
0022300195,"NOV 15, 2023",MIL @ TOR,37,13,2,4,4,18,9,4,10,0,16,15,25,54,50,17,41,2
0022300190,"NOV 13, 2023",MIL vs. CHI,12,5,0,3,5,17,3,1,9,0,5,5,-6,20,17,8,15,0
0022300165,"NOV 08, 2023",MIL vs. DET,34,3,3,2,1,25,10,2,12,0,13,12,5,39,37,5,36,3
0022300149,"NOV 06, 2023",MIL @ BKN,21,7,1,6,1,15,5,2,8,0,10,9,-14,34,28,13,27,1
0022300002,"NOV 03, 2023",MIL vs. NYK,30,4,1,4,4,15,7,4,7,1,12,12,2,38,34,8,34,2
0022300116,"NOV 01, 2023",MIL @ TOR,15,6,0,2,2,9,4,1,4,0,7,6,-26,23,21,8,17,0
0022300107,"OCT 30, 2023",MIL vs. MIA,25,4,1,5,4,14,7,2,7,0,11,9,2,34,29,9,30,1
0022300097,"OCT 29, 2023",MIL vs. ATL,6,5,2,4,6,12,2,2,8,0,0,0,-29,15,11,9,10,2
0022300075,"OCT 26, 2023",MIL vs. PHI,39,4,0,8,0,20,9,4,12,0,17,17,12,51,43,12,47,0
