,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21501228,"APR 13, 2016",LAL vs. UTA,9,5,2,4,2,0,3,0
1,21501209,"APR 11, 2016",LAL @ OKC,11,2,0,2,4,0,3,0
2,21501195,"APR 10, 2016",LAL @ HOU,8,4,3,5,5,2,3,0
3,21501184,"APR 08, 2016",LAL @ NOP,32,2,1,2,2,3,6,0
4,21501172,"APR 06, 2016",LAL vs. LAC,13,3,0,2,2,2,5,0
5,21501164,"APR 05, 2016",LAL @ LAC,12,1,0,3,3,2,4,1
6,21501153,"APR 03, 2016",LAL vs. BOS,8,6,0,9,6,0,4,0
7,21501121,"MAR 30, 2016",LAL vs. MIA,16,1,2,4,3,2,5,0
8,21501104,"MAR 28, 2016",LAL @ UTA,5,1,1,2,2,1,2,0
9,21501096,"MAR 27, 2016",LAL vs. WAS,22,2,3,3,2,3,7,0
10,21501081,"MAR 25, 2016",LAL vs. DEN,2,0,0,1,3,0,0,0
11,21501065,"MAR 23, 2016",LAL @ PHX,14,3,1,3,2,1,5,2
12,21501055,"MAR 22, 2016",LAL vs. MEM,11,0,1,2,3,0,2,0
13,21501027,"MAR 18, 2016",LAL vs. PHX,9,4,0,3,2,0,2,0
14,21501002,"MAR 15, 2016",LAL vs. SAC,14,3,4,3,5,1,5,0
15,21500987,"MAR 13, 2016",LAL vs. NYK,4,2,1,2,1,1,2,0
16,21500962,"MAR 10, 2016",LAL vs. CLE,24,5,0,4,0,4,10,0
17,21500949,"MAR 08, 2016",LAL vs. ORL,27,3,3,2,2,2,6,0
18,21500931,"MAR 06, 2016",LAL vs. GSW,21,5,4,3,2,3,7,0
19,21500921,"MAR 04, 2016",LAL vs. ATL,7,5,0,2,5,1,6,0
20,21500906,"MAR 02, 2016",LAL @ DEN,24,6,1,1,1,3,9,1
21,21500896,"MAR 01, 2016",LAL vs. BKN,39,3,1,6,3,8,12,0
22,21500868,"FEB 26, 2016",LAL vs. MEM,22,3,1,3,1,2,2,0
23,21500851,"FEB 24, 2016",LAL @ MEM,22,8,0,4,1,3,9,0
24,21500837,"FEB 22, 2016",LAL @ MIL,9,4,0,5,1,3,4,0
25,21500831,"FEB 21, 2016",LAL @ CHI,15,6,1,2,2,2,2,0
26,21500818,"FEB 19, 2016",LAL vs. SAS,8,3,0,1,3,0,1,0
27,21500795,"FEB 10, 2016",LAL @ CLE,15,3,2,2,4,3,5,0
28,21500776,"FEB 08, 2016",LAL @ IND,16,5,4,5,1,1,5,1
29,21500767,"FEB 06, 2016",LAL @ SAS,12,2,1,2,1,2,4,0
30,21500747,"FEB 04, 2016",LAL @ NOP,13,3,0,3,2,0,2,0
