,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021900963,"MAR 10, 2020",MIN @ HOU,28,5,4,6,6,5,12,0
1,0021900947,"MAR 08, 2020",MIN vs. NOP,19,5,1,6,5,0,7,1
2,0021900935,"MAR 06, 2020",MIN vs. ORL,5,3,0,5,0,0,4,0
3,0021900922,"MAR 04, 2020",MIN vs. CHI,19,4,1,3,5,4,10,0
4,0021900911,"MAR 03, 2020",MIN @ NOP,23,8,1,3,5,3,9,0
5,0021900896,"MAR 01, 2020",MIN vs. DAL,16,7,2,9,4,2,9,0
6,0021900877,"FEB 28, 2020",MIN @ ORL,28,7,1,3,4,5,11,1
7,0021900868,"FEB 26, 2020",MIN @ MIA,27,6,3,5,3,7,14,1
8,0021900854,"FEB 24, 2020",MIN @ DAL,29,5,1,3,2,3,8,0
9,0021900830,"FEB 21, 2020",MIN vs. BOS,18,13,0,6,3,1,9,0
10,0021900813,"FEB 12, 2020",MIN vs. CHA,26,11,2,6,3,4,12,1
11,0021900796,"FEB 10, 2020",MIN @ TOR,22,5,1,0,6,4,5,0
12,0021900757,"FEB 05, 2020",GSW @ BKN,17,3,2,3,1,0,8,1
13,0021900730,"FEB 01, 2020",GSW @ CLE,19,8,0,7,2,6,11,0
14,0021900717,"JAN 30, 2020",GSW @ BOS,22,5,3,3,4,3,11,0
15,0021900702,"JAN 28, 2020",GSW @ PHI,28,7,2,5,3,6,12,0
16,0021900679,"JAN 24, 2020",GSW vs. IND,37,5,0,4,5,9,13,0
17,0021900665,"JAN 22, 2020",GSW vs. UTA,26,3,0,3,1,2,7,0
18,0021900652,"JAN 20, 2020",GSW @ POR,27,9,0,8,6,5,16,0
19,0021900634,"JAN 18, 2020",GSW vs. ORL,26,12,2,2,1,4,12,0
20,0021900617,"JAN 16, 2020",GSW vs. DEN,19,9,3,3,3,6,12,0
21,0021900602,"JAN 14, 2020",GSW vs. DAL,13,8,0,3,6,0,6,0
22,0021900588,"JAN 12, 2020",GSW @ MEM,34,4,0,7,2,5,9,0
23,0021900482,"DEC 28, 2019",GSW vs. DAL,35,6,0,4,2,9,14,0
24,0021900471,"DEC 27, 2019",GSW vs. PHX,31,6,1,5,1,4,11,0
25,0021900457,"DEC 25, 2019",GSW vs. HOU,20,4,1,3,3,1,10,1
26,0021900454,"DEC 23, 2019",GSW vs. MIN,30,4,0,4,3,5,11,0
27,0021900429,"DEC 20, 2019",GSW vs. NOP,25,7,2,3,4,4,12,0
28,0021900415,"DEC 18, 2019",GSW @ POR,26,7,1,1,1,5,12,2
29,0021900393,"DEC 15, 2019",GSW vs. SAC,8,8,0,0,4,1,3,0
30,0021900379,"DEC 13, 2019",GSW @ UTA,18,4,3,3,4,2,12,0
31,0021900366,"DEC 11, 2019",GSW vs. NYK,32,6,2,3,2,6,14,0
32,0021900351,"DEC 09, 2019",GSW vs. MEM,18,7,1,3,3,4,10,0
33,0021900325,"DEC 06, 2019",GSW @ CHI,7,5,0,7,4,2,8,0
34,0021900306,"DEC 04, 2019",GSW @ CHA,18,2,0,2,2,3,8,0
35,0021900173,"NOV 15, 2019",GSW vs. BOS,12,7,1,2,9,1,6,1
36,0021900159,"NOV 13, 2019",GSW @ LAL,21,8,1,2,5,0,4,1
37,0021900144,"NOV 11, 2019",GSW vs. UTA,33,8,1,2,3,5,9,0
38,0021900131,"NOV 09, 2019",GSW @ OKC,30,7,2,3,4,4,8,0
39,0021900120,"NOV 08, 2019",GSW @ MIN,52,5,3,9,3,7,17,2
40,0021900076,"NOV 01, 2019",GSW vs. SAS,30,8,0,3,1,3,11,1
41,0021900065,"OCT 30, 2019",GSW vs. PHX,15,6,0,7,3,1,4,0
42,0021900047,"OCT 28, 2019",GSW @ NOP,24,8,0,7,3,3,11,0
43,0021900036,"OCT 27, 2019",GSW @ OKC,6,2,0,1,2,0,1,0
44,0021900016,"OCT 24, 2019",GSW vs. LAC,20,8,0,0,1,4,8,0
