,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21701230,"APR 11, 2018",SAC vs. HOU,11,4,0,8,4,1,4,0
1,21701210,"APR 09, 2018",SAC @ SAS,21,7,0,4,5,3,5,0
2,21701188,"APR 06, 2018",SAC @ MEM,13,4,2,6,3,0,2,0
3,21701167,"APR 03, 2018",SAC @ PHX,14,5,1,9,1,2,4,1
4,21701155,"APR 01, 2018",SAC @ LAL,14,6,1,3,1,0,3,0
5,21701142,"MAR 31, 2018",SAC vs. GSW,15,8,1,3,1,0,2,2
6,21701127,"MAR 29, 2018",SAC vs. IND,8,5,1,2,2,0,3,0
7,21701113,"MAR 27, 2018",SAC vs. DAL,5,6,0,3,1,0,3,1
8,21701099,"MAR 25, 2018",SAC vs. BOS,11,1,0,0,3,1,3,0
9,21701077,"MAR 22, 2018",SAC vs. ATL,4,4,1,5,2,0,2,0
10,21701057,"MAR 19, 2018",SAC vs. DET,16,4,0,3,3,0,0,0
11,21701043,"MAR 17, 2018",SAC @ UTA,11,2,4,4,4,0,1,0
12,21701033,"MAR 16, 2018",SAC @ GSW,6,2,0,1,3,0,1,0
13,21701018,"MAR 14, 2018",SAC vs. MIA,20,3,0,2,1,0,1,0
14,21701003,"MAR 12, 2018",SAC @ OKC,11,10,1,1,2,1,3,1
15,21700996,"MAR 11, 2018",SAC @ DEN,12,9,0,3,0,0,2,0
16,21700969,"MAR 07, 2018",SAC vs. NOP,2,1,0,0,0,0,0,0
17,21700949,"MAR 04, 2018",SAC vs. NYK,10,2,1,3,3,2,4,0
18,21700942,"MAR 03, 2018",SAC vs. UTA,17,3,2,4,3,0,2,0
19,21700924,"MAR 01, 2018",SAC vs. BKN,21,1,2,2,5,1,2,3
20,21700911,"FEB 27, 2018",SAC @ POR,13,8,3,3,3,1,4,0
21,21700906,"FEB 26, 2018",SAC vs. MIN,13,5,0,2,2,3,4,0
22,21700891,"FEB 24, 2018",SAC vs. LAL,13,6,1,1,0,1,3,0
23,21700860,"FEB 14, 2018",SAC @ HOU,9,3,1,2,3,1,3,0
24,21700851,"FEB 13, 2018",SAC @ DAL,11,7,1,4,3,1,3,0
25,21700838,"FEB 11, 2018",SAC @ MIN,23,2,3,2,5,1,3,0
26,21700825,"FEB 09, 2018",SAC vs. POR,13,9,0,7,4,0,2,0
27,21700795,"FEB 05, 2018",SAC vs. CHI,5,2,0,2,2,0,1,0
28,21700783,"FEB 03, 2018",SAC vs. DAL,15,4,3,1,2,0,3,0
29,21700774,"FEB 02, 2018",SAC vs. GSW,16,6,1,2,2,0,2,1
30,21700749,"JAN 30, 2018",SAC @ NOP,15,4,1,6,3,1,3,0
