,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021901290,"AUG 09, 2020",SAC vs. HOU,26,9,2,2,2,1,6,0
1,0021901276,"AUG 07, 2020",SAC @ BKN,21,7,1,2,3,2,7,0
2,0021901268,"AUG 06, 2020",SAC vs. NOP,30,10,3,3,3,1,4,1
3,0021901257,"AUG 04, 2020",SAC vs. DAL,28,9,2,3,2,2,7,0
4,0021901247,"AUG 02, 2020",SAC @ ORL,13,3,1,2,4,0,1,0
5,0021901237,"JUL 31, 2020",SAC @ SAS,39,6,1,3,3,1,7,1
6,0021900956,"MAR 08, 2020",SAC vs. TOR,28,4,0,4,3,2,6,0
7,0021900945,"MAR 07, 2020",SAC @ POR,14,11,2,5,1,0,2,0
8,0021900928,"MAR 05, 2020",SAC vs. PHI,23,7,1,3,1,0,4,1
9,0021900916,"MAR 03, 2020",SAC vs. WAS,31,1,3,3,6,2,4,0
10,0021900899,"MAR 01, 2020",SAC vs. DET,23,7,0,3,2,0,4,1
11,0021900881,"FEB 28, 2020",SAC @ MEM,25,5,2,4,1,3,6,0
12,0021900863,"FEB 25, 2020",SAC @ GSW,21,5,1,2,1,1,3,1
13,0021900835,"FEB 22, 2020",SAC @ LAC,20,8,1,4,5,0,3,0
14,0021900824,"FEB 20, 2020",SAC vs. MEM,26,4,1,2,3,4,6,0
15,0021900814,"FEB 12, 2020",SAC @ DAL,16,4,1,3,1,0,3,1
16,0021900797,"FEB 10, 2020",SAC @ MIL,17,11,0,8,3,2,5,1
17,0021900785,"FEB 08, 2020",SAC vs. SAS,13,5,0,2,2,0,1,0
18,0021900775,"FEB 07, 2020",SAC vs. MIA,16,8,1,2,1,1,4,1
19,0021900749,"FEB 03, 2020",SAC vs. MIN,31,5,2,3,5,3,4,0
20,0021900736,"FEB 01, 2020",SAC vs. LAL,24,5,0,6,7,0,2,1
21,0021900719,"JAN 30, 2020",SAC @ LAC,34,8,4,3,3,3,4,2
22,0021900713,"JAN 29, 2020",SAC vs. OKC,19,5,2,1,1,0,3,0
23,0021900696,"JAN 27, 2020",SAC @ MIN,22,8,1,7,4,0,3,2
24,0021900674,"JAN 24, 2020",SAC @ CHI,18,7,3,6,4,0,1,0
25,0021900654,"JAN 22, 2020",SAC @ DET,22,3,3,3,1,1,2,0
26,0021900644,"JAN 20, 2020",SAC @ MIA,14,8,3,2,4,0,7,0
27,0021900636,"JAN 18, 2020",SAC @ UTA,21,8,1,4,2,0,1,0
28,0021900612,"JAN 15, 2020",SAC vs. DAL,27,12,1,7,3,2,4,0
29,0021900596,"JAN 13, 2020",SAC vs. ORL,31,10,1,8,4,2,3,1
30,0021900575,"JAN 10, 2020",SAC vs. MIL,19,10,4,9,6,1,4,2
31,0021900552,"JAN 07, 2020",SAC @ PHX,27,6,1,4,4,1,6,1
32,0021900547,"JAN 06, 2020",SAC vs. GSW,21,7,1,4,6,0,1,1
33,0021900533,"JAN 04, 2020",SAC vs. NOP,17,5,1,3,3,2,3,0
34,0021900515,"JAN 02, 2020",SAC vs. MEM,27,9,5,4,1,1,4,2
35,0021900499,"DEC 31, 2019",SAC vs. LAC,9,6,2,4,1,1,2,0
36,0021900489,"DEC 29, 2019",SAC @ DEN,18,13,0,2,4,0,3,0
37,0021900464,"DEC 26, 2019",SAC vs. MIN,2,2,0,1,0,0,0,0
38,0021900453,"DEC 23, 2019",SAC vs. HOU,31,6,1,9,3,1,4,0
39,0021900435,"DEC 21, 2019",SAC @ MEM,22,4,3,3,3,2,3,0
40,0021900421,"DEC 20, 2019",SAC @ IND,8,6,3,5,2,0,2,0
41,0021900401,"DEC 17, 2019",SAC @ CHA,19,8,2,2,3,2,6,0
42,0021900119,"NOV 08, 2019",SAC @ ATL,17,9,1,4,5,0,0,1
43,0021900106,"NOV 06, 2019",SAC @ TOR,17,10,1,7,7,1,3,1
44,0021900087,"NOV 03, 2019",SAC @ NYK,24,6,1,2,3,1,3,1
45,0021900075,"NOV 01, 2019",SAC vs. UTA,25,4,0,5,3,0,1,1
46,0021900064,"OCT 30, 2019",SAC vs. CHA,16,10,2,7,5,1,5,1
47,0021900050,"OCT 28, 2019",SAC vs. DEN,20,9,1,3,3,3,9,0
48,0021900034,"OCT 26, 2019",SAC @ UTA,9,5,1,1,3,1,3,0
49,0021900024,"OCT 25, 2019",SAC vs. POR,28,5,0,6,3,3,5,0
50,0021900012,"OCT 23, 2019",SAC @ PHX,8,5,0,1,5,0,1,0
