,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101223,"APR 10, 2022",MEM vs. BOS,14,5,0,3,1,3,9,1
1,0022101213,"APR 09, 2022",MEM vs. NOP,12,3,2,3,3,2,6,1
2,0022101201,"APR 07, 2022",MEM @ DEN,11,3,0,2,2,2,5,1
3,0022101187,"APR 05, 2022",MEM @ UTA,11,4,0,10,1,1,3,1
4,0022101155,"APR 01, 2022",MEM vs. PHX,17,3,1,6,3,3,8,1
5,0022101144,"MAR 30, 2022",MEM @ SAS,16,0,0,4,1,4,8,0
6,0022101129,"MAR 28, 2022",MEM vs. GSW,21,2,0,6,1,5,9,0
7,0022101112,"MAR 26, 2022",MEM vs. MIL,24,2,3,3,2,6,9,0
8,0022101096,"MAR 24, 2022",MEM vs. IND,19,2,0,6,3,5,9,0
9,0022101089,"MAR 23, 2022",MEM vs. BKN,23,1,0,4,3,6,10,0
10,0022101063,"MAR 20, 2022",MEM @ HOU,16,1,1,7,3,4,6,0
11,0022101047,"MAR 18, 2022",MEM @ ATL,5,2,0,4,0,1,2,0
12,0022101029,"MAR 15, 2022",MEM @ IND,18,5,3,4,1,4,8,0
13,0022101018,"MAR 13, 2022",MEM @ OKC,4,2,0,0,3,0,4,0
14,0022101000,"MAR 11, 2022",MEM vs. NYK,6,3,0,2,3,0,4,3
15,0022100978,"MAR 08, 2022",MEM vs. NOP,14,3,1,4,0,4,8,0
16,0022100964,"MAR 06, 2022",MEM @ HOU,5,3,1,2,2,0,3,1
17,0022100957,"MAR 05, 2022",MEM vs. ORL,9,4,3,4,0,1,3,1
18,0022100940,"MAR 03, 2022",MEM @ BOS,5,1,2,7,1,1,4,0
19,0022100923,"FEB 28, 2022",MEM vs. SAS,15,1,1,6,4,2,5,1
20,0022100909,"FEB 26, 2022",MEM @ CHI,7,2,2,6,2,1,4,0
21,0022100892,"FEB 24, 2022",MEM @ MIN,12,6,1,5,1,2,6,0
22,0022100879,"FEB 16, 2022",MEM vs. POR,9,1,2,3,1,2,2,0
23,0022100872,"FEB 15, 2022",MEM @ NOP,13,1,1,4,1,0,3,1
24,0022100846,"FEB 12, 2022",MEM @ CHA,9,2,3,7,2,1,2,0
25,0022100831,"FEB 10, 2022",MEM @ DET,14,4,1,4,0,4,8,0
26,0022100818,"FEB 08, 2022",MEM vs. LAC,6,4,3,2,2,1,4,2
27,0022100796,"FEB 05, 2022",MEM @ ORL,16,2,1,10,0,4,8,0
28,0022100776,"FEB 02, 2022",MEM @ NYK,14,2,1,3,2,4,6,0
29,0022100761,"JAN 31, 2022",MEM @ PHI,4,2,0,2,0,0,2,0
30,0022100749,"JAN 29, 2022",MEM vs. WAS,13,1,2,7,1,3,8,1
31,0022100740,"JAN 28, 2022",MEM vs. UTA,13,6,2,9,1,3,6,1
32,0022100728,"JAN 26, 2022",MEM @ SAS,7,1,3,4,2,0,1,0
33,0022100705,"JAN 23, 2022",MEM @ DAL,12,5,3,6,1,1,3,1
34,0022100692,"JAN 21, 2022",MEM @ DEN,21,3,0,9,0,2,7,0
35,0022100674,"JAN 19, 2022",MEM @ MIL,5,1,2,1,1,1,6,0
36,0022100658,"JAN 17, 2022",MEM vs. CHI,10,1,2,4,2,3,4,0
37,0022100639,"JAN 14, 2022",MEM vs. DAL,2,1,0,2,0,0,1,0
38,0022100628,"JAN 13, 2022",MEM vs. MIN,7,1,2,3,0,1,4,0
39,0022100614,"JAN 11, 2022",MEM vs. GSW,2,2,1,1,0,0,3,0
40,0022100606,"JAN 09, 2022",MEM @ LAL,4,3,1,4,2,0,2,0
41,0022100591,"JAN 08, 2022",MEM @ LAC,8,6,2,11,1,1,7,0
42,0022100579,"JAN 06, 2022",MEM vs. DET,4,6,1,8,4,1,6,2
43,0022100485,"DEC 23, 2021",MEM @ GSW,20,1,2,9,4,1,4,1
44,0022100460,"DEC 20, 2021",MEM vs. OKC,4,5,1,4,0,0,4,1
45,0022100450,"DEC 19, 2021",MEM vs. POR,9,4,2,5,2,2,5,1
46,0022100440,"DEC 17, 2021",MEM @ SAC,19,3,4,3,1,2,3,1
47,0022100426,"DEC 15, 2021",MEM @ POR,3,3,1,6,2,0,2,1
48,0022100409,"DEC 13, 2021",MEM vs. PHI,15,4,2,1,1,2,6,1
49,0022100395,"DEC 11, 2021",MEM vs. HOU,4,1,1,2,2,0,2,0
50,0022100380,"DEC 09, 2021",MEM vs. LAL,12,6,2,4,1,2,6,0
51,0022100373,"DEC 08, 2021",MEM vs. DAL,13,3,2,5,0,3,9,0
52,0022100356,"DEC 06, 2021",MEM @ MIA,5,4,2,3,3,1,3,0
53,0022100345,"DEC 04, 2021",MEM @ DAL,11,0,4,3,6,2,6,2
54,0022100330,"DEC 02, 2021",MEM vs. OKC,19,5,0,6,1,3,5,0
55,0022100315,"NOV 30, 2021",MEM @ TOR,9,2,1,10,1,0,4,0
56,0022100303,"NOV 28, 2021",MEM vs. SAC,14,4,0,5,0,3,6,0
57,0022100285,"NOV 26, 2021",MEM vs. ATL,8,1,2,0,3,2,6,1
58,0022100226,"NOV 18, 2021",MEM vs. LAC,6,3,2,5,1,2,3,0
59,0022100205,"NOV 15, 2021",MEM vs. HOU,5,2,3,2,2,1,4,0
60,0022100188,"NOV 13, 2021",MEM @ NOP,4,1,1,0,0,0,2,0
61,0022100178,"NOV 12, 2021",MEM vs. PHX,3,1,0,1,4,1,3,0
62,0022100164,"NOV 10, 2021",MEM vs. CHA,7,3,2,8,1,1,7,2
63,0022100149,"NOV 08, 2021",MEM vs. MIN,19,3,2,3,3,3,6,1
64,0022100126,"NOV 05, 2021",MEM @ WAS,4,1,1,2,0,0,4,1
65,0022100114,"NOV 03, 2021",MEM vs. DEN,10,3,1,2,1,2,4,2
66,0022100100,"NOV 01, 2021",MEM vs. DEN,9,1,1,7,1,1,5,0
67,0022100084,"OCT 30, 2021",MEM vs. MIA,20,5,2,3,2,4,7,1
68,0022100070,"OCT 28, 2021",MEM @ GSW,7,3,4,6,3,1,6,3
69,0022100063,"OCT 27, 2021",MEM @ POR,0,1,2,7,1,0,5,1
70,0022100040,"OCT 24, 2021",MEM @ LAL,13,3,3,3,3,3,5,0
71,0022100034,"OCT 23, 2021",MEM @ LAC,22,2,0,7,0,4,8,0
72,0022100007,"OCT 20, 2021",MEM vs. CLE,20,3,0,4,0,4,6,0
