,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801216,"APR 09, 2019",PHX @ DAL,6,1,3,3,2,0,0,0
1,21801200,"APR 07, 2019",PHX @ HOU,12,6,0,4,4,1,2,0
2,21801189,"APR 05, 2019",PHX vs. NOP,8,2,1,5,1,0,1,0
3,21801174,"APR 03, 2019",PHX vs. UTA,5,5,1,2,1,0,1,1
4,21801144,"MAR 30, 2019",PHX vs. MEM,2,2,2,1,1,0,0,2
5,21801120,"MAR 27, 2019",PHX vs. WAS,4,4,2,2,2,0,1,0
6,21801105,"MAR 25, 2019",PHX @ UTA,0,1,1,3,2,0,1,0
7,21801094,"MAR 23, 2019",PHX @ SAC,3,3,1,3,2,1,2,2
8,21801077,"MAR 21, 2019",PHX vs. DET,7,2,0,3,2,1,2,0
9,21801057,"MAR 18, 2019",PHX vs. CHI,0,4,1,2,1,0,1,0
10,21801036,"MAR 16, 2019",PHX @ NOP,6,5,3,8,1,0,1,0
11,21800991,"MAR 09, 2019",PHX @ POR,0,3,0,0,0,0,0,0
12,21800972,"MAR 06, 2019",PHX vs. NYK,0,1,0,1,0,0,0,0
13,21800942,"MAR 02, 2019",PHX vs. LAL,6,4,1,6,0,0,1,1
14,21800932,"MAR 01, 2019",PHX vs. NOP,6,2,1,2,1,2,4,0
15,21800901,"FEB 25, 2019",PHX @ MIA,0,1,0,1,0,0,0,0
16,21800883,"FEB 23, 2019",PHX @ ATL,4,3,1,2,0,0,1,0
17,21800718,"JAN 24, 2019",PHX vs. POR,2,0,0,2,2,0,0,0
18,21800705,"JAN 22, 2019",PHX vs. MIN,4,3,2,1,1,0,1,0
19,21800689,"JAN 20, 2019",PHX @ MIN,4,3,1,2,1,0,2,0
20,21800679,"JAN 19, 2019",PHX @ CHA,3,2,0,1,1,1,1,1
21,21800668,"JAN 17, 2019",PHX @ TOR,2,2,1,3,0,0,2,1
22,21800651,"JAN 15, 2019",PHX @ IND,3,8,1,4,3,1,3,2
23,21800635,"JAN 12, 2019",PHX vs. DEN,2,10,4,3,2,0,3,1
24,21800613,"JAN 09, 2019",PHX @ DAL,4,6,2,3,2,0,0,2
25,21800604,"JAN 08, 2019",PHX vs. SAC,10,8,4,4,4,1,4,2
26,21800590,"JAN 06, 2019",PHX vs. CHA,5,4,1,7,2,1,3,0
27,21800573,"JAN 04, 2019",PHX vs. LAC,7,2,1,0,0,1,1,1
28,21800561,"JAN 02, 2019",PHX vs. PHI,10,3,2,3,4,1,2,1
29,21800548,"DEC 31, 2018",PHX vs. GSW,7,2,4,3,0,1,2,1
30,21800533,"DEC 29, 2018",PHX vs. DEN,5,4,3,3,0,1,4,0
31,21800525,"DEC 28, 2018",PHX vs. OKC,4,2,1,3,3,0,2,1
32,21800503,"DEC 26, 2018",PHX @ ORL,4,1,0,3,2,0,0,1
33,21800489,"DEC 23, 2018",PHX @ BKN,0,1,1,2,0,0,3,0
34,21800480,"DEC 22, 2018",PHX @ WAS,10,3,3,2,1,2,2,0
35,21800458,"DEC 19, 2018",PHX @ BOS,0,5,1,1,3,0,1,0
36,21800444,"DEC 17, 2018",PHX @ NYK,3,2,1,1,1,1,2,0
37,21800435,"DEC 15, 2018",PHX vs. MIN,9,5,2,3,3,1,2,0
38,21800419,"DEC 13, 2018",PHX vs. DAL,0,1,3,1,3,0,2,2
39,21800403,"DEC 11, 2018",PHX @ SAS,17,6,2,7,5,3,7,0
40,21800399,"DEC 10, 2018",PHX vs. LAC,13,8,2,4,2,0,4,0
41,21800376,"DEC 07, 2018",PHX vs. MIA,12,4,1,3,4,3,5,0
42,21800366,"DEC 06, 2018",PHX @ POR,7,4,2,5,1,0,4,0
43,21800353,"DEC 04, 2018",PHX vs. SAC,21,5,1,2,1,3,4,0
44,21800337,"DEC 02, 2018",PHX @ LAL,3,3,0,2,0,1,3,0
45,21800327,"NOV 30, 2018",PHX vs. ORL,0,1,0,0,0,0,0,0
46,21800233,"NOV 17, 2018",PHX vs. OKC,0,0,1,3,2,0,1,0
47,21800211,"NOV 14, 2018",PHX vs. SAS,3,1,0,3,0,1,1,0
48,21800110,"OCT 31, 2018",PHX vs. SAS,7,1,3,2,2,1,6,1
49,21800047,"OCT 22, 2018",PHX @ GSW,0,0,0,0,0,0,0,0
50,22001070,"MAY 16, 2021",MEM @ GSW,4,0,2,2,3,0,3,0
51,22000263,"MAY 14, 2021",MEM vs. SAC,10,3,2,4,1,1,5,2
52,22000255,"MAY 13, 2021",MEM vs. SAC,2,2,0,0,0,0,3,1
53,22001037,"MAY 11, 2021",MEM vs. DAL,3,2,1,0,0,1,2,0
54,22001028,"MAY 10, 2021",MEM vs. NOP,5,3,2,3,2,1,2,1
55,22001014,"MAY 08, 2021",MEM @ TOR,15,2,0,2,2,5,10,0
56,22000999,"MAY 06, 2021",MEM @ DET,2,3,0,1,2,0,2,0
57,22000183,"MAY 05, 2021",MEM @ MIN,8,2,0,5,2,2,4,1
58,22000980,"MAY 03, 2021",MEM vs. NYK,3,0,0,1,3,1,3,0
59,22000961,"MAY 01, 2021",MEM @ ORL,7,3,2,6,1,1,5,3
60,22000953,"APR 30, 2021",MEM vs. ORL,4,1,0,5,0,1,5,3
61,22000939,"APR 28, 2021",MEM vs. POR,6,3,1,3,1,0,2,0
62,22000925,"APR 26, 2021",MEM @ DEN,3,2,1,6,1,0,3,0
63,22000240,"APR 25, 2021",MEM @ POR,8,6,0,3,3,2,3,1
64,22000225,"APR 23, 2021",MEM @ POR,10,1,1,0,0,2,6,2
65,22000889,"APR 21, 2021",MEM @ LAC,5,0,0,0,0,1,4,0
66,22000874,"APR 19, 2021",MEM @ DEN,25,6,5,8,2,6,10,0
67,22000758,"APR 04, 2021",MEM @ PHI,14,3,0,3,1,4,6,1
68,22000741,"APR 02, 2021",MEM vs. MIN,14,3,3,4,0,4,6,0
69,22000725,"MAR 31, 2021",MEM vs. UTA,5,1,1,1,3,1,4,0
70,22000712,"MAR 29, 2021",MEM @ HOU,23,2,2,4,3,4,7,0
71,22000700,"MAR 27, 2021",MEM @ UTA,12,3,0,1,0,2,3,0
72,22000691,"MAR 26, 2021",MEM @ UTA,0,0,0,1,0,0,0,0
73,22000674,"MAR 24, 2021",MEM @ OKC,14,0,1,4,4,4,6,0
74,22000658,"MAR 22, 2021",MEM vs. BOS,9,3,1,2,0,3,5,0
75,22000642,"MAR 20, 2021",MEM vs. GSW,3,1,0,4,2,1,2,1
76,22000636,"MAR 19, 2021",MEM vs. GSW,9,1,1,7,1,1,4,0
77,22000623,"MAR 17, 2021",MEM vs. MIA,13,6,2,10,1,1,4,0
78,22000607,"MAR 15, 2021",MEM @ PHX,2,0,2,3,0,0,3,0
79,22000593,"MAR 14, 2021",MEM @ OKC,13,3,3,0,0,1,4,0
80,22000580,"MAR 12, 2021",MEM vs. DEN,9,6,1,4,1,3,5,1
81,22000566,"MAR 10, 2021",MEM vs. WAS,11,3,2,2,2,1,2,0
82,22000555,"MAR 04, 2021",MEM vs. MIL,6,1,3,2,1,2,3,0
83,22000536,"MAR 02, 2021",MEM @ WAS,20,5,2,4,0,6,10,0
84,22000525,"FEB 28, 2021",MEM @ HOU,14,5,4,3,2,1,2,0
85,22000509,"FEB 26, 2021",MEM vs. LAC,16,2,0,3,1,2,6,1
86,22000501,"FEB 25, 2021",MEM vs. LAC,2,0,0,1,0,0,0,0
87,22000476,"FEB 22, 2021",MEM @ DAL,7,2,0,4,2,1,6,0
88,22000462,"FEB 20, 2021",MEM vs. PHX,11,4,0,6,1,1,6,0
89,22000452,"FEB 19, 2021",MEM vs. DET,5,1,4,3,1,1,2,1
