,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801144,"MAR 30, 2019",PHX vs. MEM,17,1,0,13,4,0,0,1
1,21801120,"MAR 27, 2019",PHX vs. WAS,14,1,0,10,2,0,0,2
2,21801105,"MAR 25, 2019",PHX @ UTA,9,0,2,7,3,0,0,1
3,21801094,"MAR 23, 2019",PHX @ SAC,19,0,1,11,3,0,0,1
4,21801077,"MAR 21, 2019",PHX vs. DET,20,1,0,8,2,0,0,1
5,21801057,"MAR 18, 2019",PHX vs. CHI,25,3,3,12,1,0,0,3
6,21801036,"MAR 16, 2019",PHX @ NOP,8,1,1,5,0,0,0,1
7,21801030,"MAR 15, 2019",PHX @ HOU,17,0,0,14,7,0,0,1
8,21801019,"MAR 13, 2019",PHX vs. UTA,2,0,2,9,0,0,0,1
9,21801000,"MAR 10, 2019",PHX @ GSW,18,4,1,9,1,0,0,1
10,21800991,"MAR 09, 2019",PHX @ POR,21,1,0,8,0,0,0,0
11,21800972,"MAR 06, 2019",PHX vs. NYK,10,0,0,6,1,0,0,0
12,21800955,"MAR 04, 2019",PHX vs. MIL,19,2,0,12,0,0,0,3
13,21800942,"MAR 02, 2019",PHX vs. LAL,26,3,2,10,1,0,0,1
14,21800932,"MAR 01, 2019",PHX vs. NOP,16,1,3,8,2,0,0,0
15,21800901,"FEB 25, 2019",PHX @ MIA,14,0,2,10,1,0,0,0
16,21800883,"FEB 23, 2019",PHX @ ATL,14,0,1,12,1,0,0,1
17,21800867,"FEB 21, 2019",PHX @ CLE,13,3,1,9,1,0,0,0
18,21800863,"FEB 13, 2019",PHX @ LAC,20,2,0,8,0,0,0,0
19,21800836,"FEB 10, 2019",PHX @ SAC,16,0,0,9,2,0,0,1
20,21800822,"FEB 08, 2019",PHX vs. GSW,23,0,3,12,3,0,0,1
21,21800808,"FEB 06, 2019",PHX @ UTA,20,1,0,9,3,0,1,0
22,21800794,"FEB 04, 2019",PHX vs. HOU,15,3,1,11,2,0,1,0
23,21800784,"FEB 02, 2019",PHX vs. ATL,13,3,1,11,3,0,0,1
24,21800679,"JAN 19, 2019",PHX @ CHA,10,0,1,2,0,0,0,1
25,21800668,"JAN 17, 2019",PHX @ TOR,15,2,2,17,2,0,0,2
26,21800651,"JAN 15, 2019",PHX @ IND,14,0,1,8,1,0,0,1
27,21800635,"JAN 12, 2019",PHX vs. DEN,22,0,0,13,0,0,0,3
28,21800613,"JAN 09, 2019",PHX @ DAL,6,1,1,5,3,0,0,1
