,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21701226,"APR 11, 2018",SAS @ NOP,11,3,2,6,0,0,0,1
1,21701210,"APR 09, 2018",SAS vs. SAC,4,0,0,4,1,0,0,1
2,21701196,"APR 07, 2018",SAS vs. POR,17,4,2,5,2,0,1,0
3,21701174,"APR 04, 2018",SAS @ LAL,23,6,2,10,4,0,0,1
4,21701168,"APR 03, 2018",SAS @ LAC,6,0,4,8,2,0,1,0
5,21701145,"APR 01, 2018",SAS vs. HOU,13,1,1,6,2,0,1,0
6,21701126,"MAR 29, 2018",SAS vs. OKC,7,7,5,8,2,0,2,1
7,21701108,"MAR 27, 2018",SAS @ WAS,6,4,0,3,1,0,0,1
8,21701095,"MAR 25, 2018",SAS @ MIL,10,3,2,9,1,0,1,0
9,21701085,"MAR 23, 2018",SAS vs. UTA,4,5,2,5,2,0,0,0
10,21701071,"MAR 21, 2018",SAS vs. WAS,9,2,1,10,0,1,1,0
11,21701056,"MAR 19, 2018",SAS vs. GSW,9,5,1,8,1,0,1,0
12,21701042,"MAR 17, 2018",SAS vs. MIN,5,1,4,5,3,1,1,0
13,21701025,"MAR 15, 2018",SAS vs. NOP,18,0,4,12,1,1,2,0
14,21701012,"MAR 13, 2018",SAS vs. ORL,11,2,3,8,1,0,0,0
15,21701001,"MAR 12, 2018",SAS @ HOU,7,3,1,4,2,0,0,0
16,21700990,"MAR 10, 2018",SAS @ OKC,9,3,1,5,2,1,2,0
17,21700976,"MAR 08, 2018",SAS @ GSW,14,6,1,5,3,0,0,0
18,21700954,"MAR 05, 2018",SAS vs. MEM,4,0,1,4,0,0,1,0
19,21700940,"MAR 03, 2018",SAS vs. LAL,12,1,3,7,2,0,0,0
20,21700920,"FEB 28, 2018",SAS vs. NOP,18,5,1,9,2,1,1,1
21,21700894,"FEB 25, 2018",SAS @ CLE,13,5,4,9,0,0,0,3
22,21700880,"FEB 23, 2018",SAS @ DEN,12,5,0,4,3,0,0,1
23,21700852,"FEB 13, 2018",SAS @ DEN,12,2,2,6,4,0,0,3
24,21700845,"FEB 12, 2018",SAS @ UTA,12,4,1,4,1,0,1,0
25,21700810,"FEB 07, 2018",SAS @ PHX,14,3,1,4,0,0,0,0
26,21700781,"FEB 03, 2018",SAS vs. UTA,10,2,0,5,1,0,0,0
27,21700764,"FEB 01, 2018",SAS vs. HOU,6,3,0,11,4,0,0,0
28,21700750,"JAN 30, 2018",SAS vs. DEN,0,7,0,13,2,0,0,2
29,21700737,"JAN 28, 2018",SAS vs. SAC,14,6,0,10,0,0,0,0
30,21700722,"JAN 26, 2018",SAS vs. PHI,10,5,1,9,2,0,1,1
31,21700707,"JAN 24, 2018",SAS @ MEM,11,7,0,4,1,1,1,0
32,21700698,"JAN 23, 2018",SAS vs. CLE,19,3,7,10,4,0,0,0
33,21700686,"JAN 21, 2018",SAS vs. IND,8,4,3,7,4,0,1,1
34,21700667,"JAN 19, 2018",SAS @ TOR,10,1,0,7,3,0,0,0
35,21700655,"JAN 17, 2018",SAS @ BKN,3,3,2,9,2,0,0,0
36,21700641,"JAN 15, 2018",SAS @ ATL,8,0,1,4,1,0,0,0
37,21700633,"JAN 13, 2018",SAS vs. DEN,4,2,1,4,2,0,0,0
38,21700617,"JAN 11, 2018",SAS @ LAL,14,5,3,11,1,0,0,1
39,21700596,"JAN 08, 2018",SAS @ SAC,7,6,2,6,3,0,0,1
40,21700589,"JAN 07, 2018",SAS @ POR,3,4,0,1,3,0,1,0
41,21700573,"JAN 05, 2018",SAS vs. PHX,1,0,0,3,1,0,0,0
42,21700555,"JAN 03, 2018",SAS @ PHI,4,0,0,1,1,0,0,1
43,21700550,"JAN 02, 2018",SAS @ NYK,2,1,2,8,0,0,0,2
44,21700530,"DEC 30, 2017",SAS @ DET,2,1,2,3,3,0,2,1
45,21700519,"DEC 28, 2017",SAS vs. NYK,8,1,0,1,0,0,0,0
46,21700502,"DEC 26, 2017",SAS vs. BKN,2,1,0,3,1,0,0,0
47,21700492,"DEC 23, 2017",SAS @ SAC,13,6,0,7,0,0,0,1
48,21700470,"DEC 21, 2017",SAS @ UTA,4,3,1,8,1,0,0,0
49,21700463,"DEC 20, 2017",SAS @ POR,4,3,0,9,4,0,0,0
50,21700449,"DEC 18, 2017",SAS vs. LAC,9,3,0,4,1,0,1,1
51,21700435,"DEC 16, 2017",SAS vs. DAL,14,4,1,6,2,0,1,0
52,21700428,"DEC 15, 2017",SAS @ HOU,9,5,1,2,2,0,1,0
53,21700402,"DEC 12, 2017",SAS @ DAL,0,0,0,2,0,0,0,0
54,21700383,"DEC 09, 2017",SAS @ PHX,8,4,0,14,1,0,0,0
55,21700374,"DEC 08, 2017",SAS vs. BOS,0,0,0,0,0,0,0,0
56,21700361,"DEC 06, 2017",SAS vs. MIA,0,0,0,0,0,0,0,0
57,21700348,"DEC 04, 2017",SAS vs. DET,0,2,0,1,1,0,0,0
58,21700337,"DEC 03, 2017",SAS @ OKC,17,5,3,11,5,0,1,1
59,21700323,"DEC 01, 2017",SAS @ MEM,2,0,0,2,2,0,0,0
60,21700311,"NOV 29, 2017",SAS vs. MEM,3,0,0,0,0,0,0,0
61,21700295,"NOV 27, 2017",SAS vs. DAL,0,1,0,3,0,0,0,0
62,21700277,"NOV 25, 2017",SAS @ CHA,6,2,1,3,2,0,0,1
63,21700262,"NOV 22, 2017",SAS @ NOP,14,4,3,3,2,0,0,1
64,21700250,"NOV 20, 2017",SAS vs. ATL,2,3,0,1,2,0,0,0
65,21700223,"NOV 17, 2017",SAS vs. OKC,0,2,1,3,0,0,1,0
66,21700210,"NOV 15, 2017",SAS @ MIN,2,1,0,4,2,0,1,1
67,21700203,"NOV 14, 2017",SAS @ DAL,10,0,0,7,0,1,2,0
68,21700183,"NOV 11, 2017",SAS vs. CHI,17,5,0,4,2,2,2,1
69,21700173,"NOV 10, 2017",SAS vs. MIL,0,1,1,1,1,0,0,0
70,21700154,"NOV 07, 2017",SAS vs. LAC,6,3,1,6,2,0,0,0
71,21700141,"NOV 05, 2017",SAS vs. PHX,13,1,1,6,2,0,0,0
72,21700126,"NOV 03, 2017",SAS vs. CHA,10,3,1,1,0,0,0,0
73,21700117,"NOV 02, 2017",SAS vs. GSW,4,2,1,6,3,0,0,0
74,21700092,"OCT 30, 2017",SAS @ BOS,10,4,2,5,5,0,0,0
75,21700086,"OCT 29, 2017",SAS @ IND,4,1,0,6,1,0,0,0
76,21700071,"OCT 27, 2017",SAS @ ORL,7,4,2,4,2,0,0,0
77,21700059,"OCT 25, 2017",SAS @ MIA,0,3,0,3,1,0,0,0
78,21700046,"OCT 23, 2017",SAS vs. TOR,16,6,0,14,4,0,1,0
79,21700031,"OCT 21, 2017",SAS @ CHI,8,6,2,10,1,0,1,0
80,21700011,"OCT 18, 2017",SAS vs. MIN,16,2,2,5,2,0,0,1
81,21601227,"APR 12, 2017",SAS @ UTA,2,0,0,0,0,0,0,0
