,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001078,"MAY 16, 2021",SAS vs. PHX,6,4,1,7,1,0,2,0
1,0022000458,"MAY 13, 2021",SAS @ NYK,14,7,1,9,0,0,1,1
2,0022001043,"MAY 12, 2021",SAS @ BKN,15,5,3,11,1,0,2,0
3,0022001029,"MAY 10, 2021",SAS vs. MIL,21,9,1,6,0,2,2,0
4,0022001018,"MAY 08, 2021",SAS @ POR,15,5,0,4,2,0,3,0
5,0022001011,"MAY 07, 2021",SAS @ SAC,22,7,1,5,6,0,5,0
6,0022000996,"MAY 05, 2021",SAS @ UTA,7,3,0,3,2,0,2,0
7,0022000981,"MAY 03, 2021",SAS @ UTA,15,5,1,6,4,0,1,0
8,0022000950,"APR 30, 2021",SAS @ BOS,24,8,1,8,2,2,2,0
9,0022000938,"APR 28, 2021",SAS @ MIA,22,11,1,10,3,1,4,0
10,0022000919,"APR 26, 2021",SAS @ WAS,25,5,3,17,1,0,1,0
11,0022000264,"APR 24, 2021",SAS @ NOP,11,5,3,7,1,1,3,0
12,0022000888,"APR 21, 2021",SAS vs. MIA,11,4,0,5,3,3,8,0
13,0022000473,"APR 19, 2021",SAS @ IND,11,7,0,7,0,1,2,0
14,0022000860,"APR 17, 2021",SAS @ PHX,14,3,1,7,1,1,1,1
15,0022000853,"APR 16, 2021",SAS vs. POR,13,10,1,11,5,2,4,0
16,0022000831,"APR 14, 2021",SAS @ TOR,11,4,3,8,1,2,5,0
17,0022000816,"APR 12, 2021",SAS @ ORL,17,6,1,5,1,2,5,0
18,0022000810,"APR 11, 2021",SAS @ DAL,25,5,4,5,1,2,4,0
19,0022000797,"APR 09, 2021",SAS @ DEN,12,4,3,7,2,1,5,0
20,0022000782,"APR 07, 2021",SAS @ DEN,18,6,2,5,0,2,4,0
21,0022000751,"APR 03, 2021",SAS vs. IND,20,5,3,5,3,0,0,0
22,0022000735,"APR 01, 2021",SAS vs. ATL,16,2,2,9,1,0,2,0
23,0022000728,"MAR 31, 2021",SAS vs. SAC,12,6,3,6,3,1,3,0
24,0022000714,"MAR 29, 2021",SAS vs. SAC,23,7,0,8,1,1,3,0
25,0022000697,"MAR 27, 2021",SAS vs. CHI,14,8,2,8,1,0,0,0
26,0022000680,"MAR 25, 2021",SAS vs. LAC,18,7,1,6,2,1,3,1
27,0022000675,"MAR 24, 2021",SAS vs. LAC,9,5,2,6,1,1,4,0
28,0022000655,"MAR 22, 2021",SAS vs. CHA,9,4,1,7,3,1,4,1
29,0022000435,"MAR 19, 2021",SAS @ CLE,22,3,0,6,2,0,1,0
30,0022000621,"MAR 17, 2021",SAS @ CHI,14,4,0,7,3,0,2,0
31,0022000428,"MAR 15, 2021",SAS @ DET,19,6,1,10,4,1,2,0
32,0022000595,"MAR 14, 2021",SAS @ PHI,14,2,0,6,1,0,0,0
33,0022000583,"MAR 12, 2021",SAS vs. ORL,17,6,2,6,2,0,1,0
34,0022000567,"MAR 10, 2021",SAS @ DAL,11,3,1,5,0,1,3,0
35,0022000556,"MAR 04, 2021",SAS vs. OKC,14,9,2,4,5,0,2,0
36,0022000541,"MAR 02, 2021",SAS vs. NYK,17,6,3,6,1,3,7,0
37,0022000534,"MAR 01, 2021",SAS vs. BKN,19,8,0,6,2,1,2,0
38,0022000514,"FEB 27, 2021",SAS vs. NOP,18,7,3,6,0,2,4,1
39,0022000495,"FEB 24, 2021",SAS @ OKC,27,6,2,9,0,0,1,0
40,0022000414,"FEB 14, 2021",SAS @ CHA,26,6,2,12,0,0,5,0
41,0022000397,"FEB 12, 2021",SAS @ ATL,16,5,1,6,0,2,3,0
42,0022000378,"FEB 09, 2021",SAS vs. GSW,8,2,0,4,3,0,0,0
43,0022000371,"FEB 08, 2021",SAS vs. GSW,27,4,8,10,4,2,5,0
44,0022000358,"FEB 06, 2021",SAS @ HOU,11,3,2,3,1,0,1,0
45,0022000334,"FEB 03, 2021",SAS vs. MIN,15,6,2,11,1,3,6,0
46,0022000320,"FEB 01, 2021",SAS vs. MEM,6,4,0,5,1,2,6,0
47,0022000304,"JAN 30, 2021",SAS vs. MEM,15,7,2,4,2,1,2,0
48,0022000296,"JAN 29, 2021",SAS vs. DEN,26,3,1,7,2,1,3,0
49,0022000280,"JAN 27, 2021",SAS vs. BOS,11,4,1,11,3,0,2,0
50,0022000253,"JAN 24, 2021",SAS vs. WAS,11,10,1,11,1,1,3,0
51,0022000237,"JAN 22, 2021",SAS vs. DAL,0,0,0,0,0,0,0,0
52,0022000223,"JAN 20, 2021",SAS @ GSW,22,3,2,6,0,1,6,0
53,0022000207,"JAN 18, 2021",SAS @ POR,9,11,0,9,1,1,3,1
54,0022000189,"JAN 16, 2021",SAS vs. HOU,18,3,3,10,2,2,5,0
55,0022000176,"JAN 14, 2021",SAS vs. HOU,10,7,5,8,2,0,2,0
56,0022000162,"JAN 12, 2021",SAS @ OKC,16,7,0,5,1,0,1,0
57,0022000147,"JAN 10, 2021",SAS @ MIN,11,5,0,4,0,1,3,0
58,0022000138,"JAN 09, 2021",SAS @ MIN,22,4,1,14,2,3,6,1
59,0022000121,"JAN 07, 2021",SAS @ LAL,18,2,0,8,0,2,4,0
60,0022000105,"JAN 05, 2021",SAS @ LAC,21,5,2,5,2,2,5,0
61,0022000089,"JAN 03, 2021",SAS vs. UTA,4,5,3,3,0,0,2,0
62,0022000075,"JAN 01, 2021",SAS vs. LAL,12,1,1,8,2,0,4,0
63,0022000060,"DEC 30, 2020",SAS vs. LAL,29,7,1,7,4,2,3,0
64,0022000034,"DEC 27, 2020",SAS @ NOP,13,3,2,7,6,1,3,0
65,0022000027,"DEC 26, 2020",SAS vs. TOR,11,10,0,10,2,0,3,0
66,0022000017,"DEC 23, 2020",SAS @ MEM,21,9,2,6,3,1,3,0
