,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0,0022300521,"JAN 10, 2024",ATL vs. PHI,25,5,1,5,1,18,8,5,7,0,4,4,1,35
1,0022300499,"JAN 07, 2024",ATL @ ORL,24,2,0,6,3,20,9,0,2,0,10,6,-14,32
2,0022300480,"JAN 05, 2024",ATL @ IND,30,2,0,1,1,19,13,2,3,0,2,2,-20,33
3,0022300467,"JAN 03, 2024",ATL vs. OKC,22,6,0,6,3,18,8,2,5,0,4,4,4,34
4,0022300445,"DEC 31, 2023",ATL @ WAS,32,3,0,6,1,21,13,3,6,0,5,3,0,41
5,0022300431,"DEC 29, 2023",ATL vs. SAC,18,3,1,6,3,20,7,4,8,0,0,0,5,27
6,0022300408,"DEC 26, 2023",ATL @ CHI,17,4,2,6,3,15,6,2,9,1,4,3,0,27
7,0022300393,"DEC 23, 2023",ATL vs. MEM,26,4,2,4,3,15,10,4,6,0,2,2,-4,34
8,0022300384,"DEC 22, 2023",ATL @ MIA,24,6,3,8,2,20,10,3,9,0,3,1,-3,38
9,0022300371,"DEC 20, 2023",ATL @ HOU,21,5,0,3,3,15,7,3,8,1,5,4,-8,29
10,0022300352,"DEC 18, 2023",ATL vs. DET,20,3,1,3,1,13,8,3,5,1,2,1,2,26
11,0022300336,"DEC 16, 2023",ATL @ CLE,21,6,1,3,0,19,8,0,5,1,6,5,-3,30
12,0022300330,"DEC 15, 2023",ATL @ TOR,17,9,1,7,1,18,8,1,6,0,0,0,18,33
13,0022300313,"DEC 13, 2023",ATL @ TOR,20,5,0,3,0,17,8,4,9,2,1,0,-17,28
14,0022300296,"DEC 11, 2023",ATL vs. DEN,21,3,1,6,2,22,8,3,8,0,2,2,-6,30
15,0022301218,"DEC 08, 2023",ATL @ PHI,20,9,1,4,4,17,7,2,5,0,4,4,-7,33
16,0022301209,"DEC 06, 2023",ATL vs. BKN,13,9,1,10,0,16,6,1,5,0,0,0,2,32
17,0022300286,"DEC 02, 2023",ATL @ MIL,30,3,2,2,2,19,12,4,6,0,2,2,-7,35
18,0022300272,"NOV 30, 2023",ATL @ SAS,24,2,5,3,0,21,10,2,4,0,2,2,-1,29
19,0022300055,"NOV 28, 2023",ATL @ CLE,13,1,2,3,3,14,5,3,7,1,0,0,-21,17
20,0022300246,"NOV 26, 2023",ATL @ BOS,6,3,0,4,3,13,2,0,6,0,2,2,-7,13
21,0022300241,"NOV 25, 2023",ATL @ WAS,11,10,4,5,0,14,4,1,6,0,2,2,19,26
22,0022300227,"NOV 22, 2023",ATL vs. BKN,20,8,2,6,1,21,6,3,8,0,5,5,0,34
23,0022300039,"NOV 21, 2023",ATL vs. IND,28,5,2,3,5,19,11,4,6,0,2,2,-7,36
24,0022300029,"NOV 17, 2023",ATL vs. PHI,13,3,1,1,3,16,5,3,7,0,0,0,-18,17
25,0022300193,"NOV 15, 2023",ATL vs. NYK,13,2,1,5,1,12,6,0,3,0,3,1,-16,20
26,0022300018,"NOV 14, 2023",ATL @ DET,32,10,3,5,2,21,11,1,4,0,9,9,9,47
27,0022300175,"NOV 11, 2023",ATL vs. MIA,23,5,3,5,3,16,9,5,9,1,1,0,-9,33
28,0022300172,"NOV 09, 2023",ATL @ ORL,16,2,2,3,4,15,6,3,7,0,2,1,5,21
29,0022300155,"NOV 06, 2023",ATL @ OKC,29,6,1,4,3,16,7,6,9,0,10,9,-3,39
30,0022300135,"NOV 04, 2023",ATL @ NOP,20,7,0,8,3,20,8,2,9,0,2,2,13,35
31,0022300117,"NOV 01, 2023",ATL vs. WAS,24,8,1,4,4,15,10,3,5,1,2,1,15,36
32,0022300104,"OCT 30, 2023",ATL vs. MIN,41,5,2,7,3,24,17,3,5,0,4,4,25,53
33,0022300097,"OCT 29, 2023",ATL @ MIL,15,5,2,1,3,12,6,1,5,1,2,2,26,21
34,0022300079,"OCT 27, 2023",ATL vs. NYK,18,6,1,7,1,17,8,0,3,1,3,2,-6,31
35,0022300063,"OCT 25, 2023",ATL @ CHA,11,6,0,2,1,14,3,0,3,0,6,5,-15,19
