,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21301217,"APR 16, 2014",ATL @ MIL,4,3,0,1,1,0,1,0
1,21301207,"APR 14, 2014",ATL vs. CHA,3,6,1,2,3,1,3,0
2,21301179,"APR 11, 2014",ATL @ BKN,2,4,0,2,0,0,1,0
3,21300677,"APR 08, 2014",ATL vs. DET,2,1,0,0,0,0,1,0
4,21301132,"APR 04, 2014",ATL vs. CLE,2,0,0,1,2,0,2,0
5,21301120,"APR 02, 2014",ATL vs. CHI,5,0,0,1,1,0,1,0
6,21301103,"MAR 31, 2014",ATL vs. PHI,4,2,2,1,1,0,0,0
7,21301089,"MAR 29, 2014",ATL @ WAS,8,1,1,1,2,1,2,0
8,21301071,"MAR 27, 2014",ATL vs. POR,0,0,0,0,1,0,1,0
9,21301065,"MAR 26, 2014",ATL @ MIN,2,1,0,0,3,0,1,0
10,21301048,"MAR 24, 2014",ATL vs. PHX,0,1,0,0,2,0,0,0
11,21301040,"MAR 23, 2014",ATL @ TOR,6,2,0,1,0,1,2,0
12,21301025,"MAR 21, 2014",ATL vs. NOP,4,3,1,4,2,0,1,0
13,21301004,"MAR 18, 2014",ATL vs. TOR,5,3,1,1,0,1,3,0
14,21300996,"MAR 17, 2014",ATL @ CHA,6,0,0,3,0,1,2,0
15,21300983,"MAR 15, 2014",ATL vs. DEN,5,1,1,0,3,1,1,0
16,21300969,"MAR 13, 2014",ATL vs. MIL,8,5,0,1,0,0,0,0
17,21300948,"MAR 10, 2014",ATL @ UTA,4,3,0,1,0,0,0,0
18,21300933,"MAR 08, 2014",ATL @ LAC,4,2,0,1,1,0,0,0
19,21300927,"MAR 07, 2014",ATL @ GSW,7,4,0,3,0,1,3,0
20,21300913,"MAR 05, 2014",ATL @ POR,5,3,0,2,1,0,2,0
21,21300889,"MAR 02, 2014",ATL @ PHX,0,0,0,0,1,0,0,0
22,21300854,"FEB 26, 2014",ATL @ BOS,4,1,1,3,2,0,0,0
23,21300827,"FEB 22, 2014",ATL vs. NYK,0,0,0,0,0,0,0,0
24,21300804,"FEB 19, 2014",ATL vs. WAS,2,1,0,1,1,0,0,0
25,21300792,"FEB 18, 2014",ATL @ IND,2,1,0,3,2,0,1,0
26,21300779,"FEB 12, 2014",ATL @ TOR,1,2,0,6,0,0,1,0
27,21300721,"FEB 04, 2014",ATL vs. IND,4,2,0,1,2,0,0,0
28,21300699,"FEB 01, 2014",ATL vs. MIN,0,2,0,2,0,0,0,0
29,21300690,"JAN 31, 2014",ATL @ PHI,9,1,0,0,1,0,0,0
30,21300666,"JAN 27, 2014",ATL @ OKC,10,1,0,0,0,2,2,0
31,21300650,"JAN 25, 2014",ATL @ MIL,4,2,1,1,2,0,1,0
32,21300635,"JAN 24, 2014",ATL vs. SAS,4,2,1,2,2,0,0,0
