,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021701087,"MAR 23, 2018",ATL @ GSW,16,7,1,3,4,0,4,0
1,0021701062,"MAR 20, 2018",ATL @ UTA,41,7,0,5,2,3,7,0
2,0021701041,"MAR 17, 2018",ATL @ MIL,18,9,1,3,3,1,2,0
3,0021701021,"MAR 15, 2018",ATL vs. CHA,17,8,0,1,2,1,4,0
4,0021701007,"MAR 13, 2018",ATL vs. OKC,18,8,0,2,1,1,3,0
5,0021700978,"MAR 09, 2018",ATL @ IND,15,4,1,1,6,1,5,0
6,0021700958,"MAR 06, 2018",ATL @ TOR,11,3,1,3,4,2,3,0
7,0021700943,"MAR 04, 2018",ATL vs. PHX,21,6,0,6,4,2,5,0
8,0021700928,"MAR 02, 2018",ATL vs. GSW,27,9,1,5,4,2,8,0
9,0021700915,"FEB 28, 2018",ATL vs. IND,14,5,5,3,3,1,4,0
10,0021700897,"FEB 26, 2018",ATL vs. LAL,20,2,2,3,1,2,5,1
11,0021700874,"FEB 23, 2018",ATL @ IND,9,2,1,2,4,0,3,0
12,0021700848,"FEB 13, 2018",ATL @ MIL,18,4,1,3,5,2,4,0
13,0021700834,"FEB 11, 2018",ATL vs. DET,23,7,2,3,3,0,1,0
14,0021700819,"FEB 09, 2018",ATL vs. CLE,25,4,0,5,0,2,8,0
15,0021700811,"FEB 08, 2018",ATL @ ORL,19,5,0,5,3,2,4,0
16,0021700799,"FEB 06, 2018",ATL vs. MEM,22,5,1,3,0,1,3,1
17,0021700786,"FEB 04, 2018",ATL @ NYK,10,6,2,5,2,0,4,0
18,0021700767,"FEB 02, 2018",ATL @ BOS,25,1,0,3,4,1,2,0
19,0021700755,"JAN 31, 2018",ATL vs. CHA,13,9,0,2,1,0,5,0
20,0021700739,"JAN 29, 2018",ATL vs. MIN,18,11,2,2,7,0,2,1
21,0021700726,"JAN 27, 2018",ATL vs. WAS,9,7,0,2,3,0,5,0
22,0021700714,"JAN 26, 2018",ATL @ CHA,11,1,0,2,3,1,3,0
23,0021700705,"JAN 24, 2018",ATL vs. TOR,20,2,2,8,4,2,4,0
24,0021700688,"JAN 22, 2018",ATL vs. UTA,20,2,0,1,2,0,2,0
25,0021700675,"JAN 20, 2018",ATL vs. CHI,18,5,2,3,1,2,5,0
26,0021700654,"JAN 17, 2018",ATL vs. NOP,13,15,2,3,0,3,9,0
27,0021700641,"JAN 15, 2018",ATL vs. SAS,26,6,0,5,5,1,4,0
28,0021700621,"JAN 12, 2018",ATL vs. BKN,34,7,3,3,3,3,5,0
29,0021700612,"JAN 10, 2018",ATL @ DEN,19,10,1,2,3,1,2,0
30,0021700598,"JAN 08, 2018",ATL @ LAC,18,1,2,4,4,0,3,1
31,0021700590,"JAN 07, 2018",ATL @ LAL,27,5,0,3,2,0,4,0
32,0021700576,"JAN 05, 2018",ATL @ POR,14,4,1,2,4,1,4,1
33,0021700551,"JAN 02, 2018",ATL @ PHX,20,5,1,2,5,1,5,0
34,0021700533,"DEC 30, 2017",ATL vs. POR,22,8,1,1,1,1,3,0
35,0021700522,"DEC 29, 2017",ATL @ TOR,14,9,2,5,3,0,3,0
36,0021700508,"DEC 27, 2017",ATL vs. WAS,21,7,1,4,2,1,5,0
37,0021700484,"DEC 23, 2017",ATL vs. DAL,33,7,1,3,2,4,8,0
38,0021700455,"DEC 20, 2017",ATL vs. IND,8,8,2,3,1,0,3,0
39,0021700443,"DEC 18, 2017",ATL vs. MIA,23,6,0,6,2,0,1,0
40,0021700425,"DEC 15, 2017",ATL @ MEM,18,11,2,5,3,1,5,1
41,0021700413,"DEC 14, 2017",ATL vs. DET,9,10,1,3,2,1,2,0
42,0021700397,"DEC 12, 2017",ATL @ CLE,14,5,0,1,0,2,5,0
43,0021700390,"DEC 10, 2017",ATL @ NYK,21,3,0,1,2,0,2,0
44,0021700378,"DEC 09, 2017",ATL vs. ORL,18,7,2,2,1,1,5,0
45,0021700355,"DEC 06, 2017",ATL @ ORL,26,7,2,5,2,1,2,0
46,0021700342,"DEC 04, 2017",ATL vs. BKN,19,4,0,5,1,1,5,0
47,0021700328,"DEC 02, 2017",ATL @ BKN,24,6,1,3,1,1,5,0
48,0021700313,"NOV 30, 2017",ATL vs. CLE,27,5,0,2,2,1,4,0
49,0021700280,"NOV 25, 2017",ATL vs. TOR,14,1,1,4,4,0,2,0
50,0021700268,"NOV 24, 2017",ATL vs. NYK,26,8,1,2,2,1,2,0
51,0021700256,"NOV 22, 2017",ATL vs. LAC,19,7,1,3,2,1,4,0
52,0021700250,"NOV 20, 2017",ATL @ SAS,14,9,2,3,4,2,3,0
53,0021700230,"NOV 18, 2017",ATL vs. BOS,23,9,2,2,2,2,4,0
54,0021700204,"NOV 15, 2017",ATL vs. SAC,21,8,0,0,5,2,4,0
55,0021700195,"NOV 13, 2017",ATL @ NOP,11,5,2,2,4,0,4,0
56,0021700177,"NOV 11, 2017",ATL @ WAS,7,5,0,7,4,0,3,0
57,0021700169,"NOV 10, 2017",ATL @ DET,17,11,2,4,3,0,2,0
58,0021700146,"NOV 06, 2017",ATL vs. BOS,23,6,2,2,2,3,7,0
59,0021700136,"NOV 05, 2017",ATL @ CLE,28,9,0,3,6,2,3,0
60,0021700123,"NOV 03, 2017",ATL vs. HOU,16,4,0,2,4,2,5,0
61,0021700107,"NOV 01, 2017",ATL @ PHI,25,6,0,3,4,2,2,0
62,0021700085,"OCT 29, 2017",ATL vs. MIL,21,8,3,2,3,2,3,0
63,0021700072,"OCT 27, 2017",ATL vs. DEN,20,6,1,3,0,2,6,0
64,0021700038,"OCT 22, 2017",ATL @ BKN,17,8,2,4,2,0,4,0
65,0021700017,"OCT 20, 2017",ATL @ CHA,25,5,1,3,3,0,2,0
66,0021700009,"OCT 18, 2017",ATL @ DAL,28,7,2,2,2,1,3,0
