,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101223,"APR 10, 2022",BOS @ MEM,8,3,0,4,0,1,3,0
1,0022101198,"APR 07, 2022",BOS @ MIL,19,3,0,7,3,4,8,0
2,0022101193,"APR 06, 2022",BOS @ CHI,10,3,0,1,1,1,2,0
3,0022101166,"APR 03, 2022",BOS vs. WAS,17,3,0,5,0,3,3,0
4,0022101153,"APR 01, 2022",BOS vs. IND,13,3,0,2,2,1,2,1
5,0022101139,"MAR 30, 2022",BOS vs. MIA,9,3,1,2,2,1,4,0
6,0022101127,"MAR 28, 2022",BOS @ TOR,15,8,0,6,3,3,8,1
7,0022101116,"MAR 27, 2022",BOS vs. MIN,15,6,1,2,4,2,4,0
8,0022101087,"MAR 23, 2022",BOS vs. UTA,10,5,0,3,0,2,3,0
9,0022101078,"MAR 21, 2022",BOS @ OKC,18,5,0,5,0,1,5,1
10,0022101068,"MAR 20, 2022",BOS @ DEN,6,3,0,1,0,0,2,0
11,0022101057,"MAR 18, 2022",BOS @ SAC,7,5,1,2,3,1,5,0
12,0022101042,"MAR 16, 2022",BOS @ GSW,0,4,1,4,1,0,5,0
13,0022101014,"MAR 13, 2022",BOS vs. DAL,5,1,0,4,1,0,4,0
14,0022100997,"MAR 11, 2022",BOS vs. DET,11,1,1,4,1,1,3,1
15,0022100981,"MAR 09, 2022",BOS @ CHA,11,8,2,3,0,1,5,3
16,0022100960,"MAR 06, 2022",BOS vs. BKN,6,0,0,3,0,0,0,0
17,0022100940,"MAR 03, 2022",BOS vs. MEM,12,2,0,4,1,2,4,1
18,0022100927,"MAR 01, 2022",BOS vs. ATL,18,5,0,2,1,1,5,0
19,0022100914,"FEB 27, 2022",BOS @ IND,11,0,1,1,0,1,5,3
20,0022100905,"FEB 26, 2022",BOS @ DET,3,3,0,1,3,1,2,1
21,0022100890,"FEB 24, 2022",BOS @ BKN,13,3,0,5,0,1,3,0
22,0022100875,"FEB 16, 2022",BOS vs. DET,9,6,3,6,2,1,6,2
23,0022100869,"FEB 15, 2022",BOS @ PHI,11,2,1,1,1,0,3,1
24,0022100856,"FEB 13, 2022",BOS vs. ATL,14,5,2,4,1,2,10,1
25,0022100842,"FEB 11, 2022",BOS vs. DEN,15,2,1,6,2,3,7,0
26,0022100825,"FEB 09, 2022",SAS @ CLE,17,3,2,4,1,2,5,1
27,0022100792,"FEB 04, 2022",SAS vs. HOU,12,7,0,3,1,1,4,1
28,0022100521,"FEB 03, 2022",SAS vs. MIA,22,2,0,4,6,4,7,0
29,0022100771,"FEB 01, 2022",SAS vs. GSW,16,7,0,3,3,4,7,0
30,0022100742,"JAN 28, 2022",SAS vs. CHI,14,9,0,4,1,2,5,0
31,0022100728,"JAN 26, 2022",SAS vs. MEM,14,5,1,3,3,2,6,1
32,0022100719,"JAN 25, 2022",SAS @ HOU,5,6,0,2,1,0,3,0
33,0022100704,"JAN 23, 2022",SAS vs. PHI,10,9,1,7,1,2,7,0
34,0022100691,"JAN 21, 2022",SAS vs. BKN,17,7,0,6,3,3,7,0
35,0022100676,"JAN 19, 2022",SAS vs. OKC,11,6,0,3,2,1,6,2
36,0022100664,"JAN 17, 2022",SAS vs. PHX,14,7,0,0,1,0,2,0
37,0022100648,"JAN 15, 2022",SAS vs. LAC,19,4,1,4,3,3,5,3
38,0022100570,"JAN 05, 2022",SAS @ BOS,17,2,0,4,3,3,7,2
39,0022100563,"JAN 04, 2022",SAS @ TOR,12,3,2,4,2,1,4,1
40,0022100540,"JAN 01, 2022",SAS @ DET,18,14,1,3,4,0,4,1
41,0022100535,"DEC 31, 2021",SAS @ MEM,15,9,0,0,0,2,4,2
42,0022100504,"DEC 27, 2021",SAS vs. UTA,21,8,3,2,3,3,6,1
43,0022100498,"DEC 26, 2021",SAS vs. DET,7,10,1,3,2,0,0,0
44,0022100487,"DEC 23, 2021",SAS @ LAL,23,7,1,3,2,4,6,2
45,0022100463,"DEC 20, 2021",SAS @ LAC,15,4,1,4,4,0,6,0
46,0022100451,"DEC 19, 2021",SAS @ SAC,5,2,1,1,1,0,3,1
47,0022100437,"DEC 17, 2021",SAS @ UTA,22,3,2,2,0,2,8,0
48,0022100423,"DEC 15, 2021",SAS vs. CHA,18,7,0,6,2,2,6,0
49,0022100401,"DEC 12, 2021",SAS vs. NOP,24,9,4,8,2,1,6,1
50,0022100397,"DEC 11, 2021",SAS vs. DEN,10,3,1,2,2,0,4,0
51,0022100381,"DEC 09, 2021",SAS vs. DEN,23,4,1,6,1,2,6,2
52,0022100364,"DEC 07, 2021",SAS vs. NYK,26,7,0,6,3,3,6,0
53,0022100360,"DEC 06, 2021",SAS @ PHX,12,4,0,3,0,1,8,1
54,0022100346,"DEC 04, 2021",SAS @ GSW,25,3,3,1,1,2,8,0
55,0022100332,"DEC 02, 2021",SAS @ POR,12,5,1,7,0,3,8,1
56,0022100311,"NOV 29, 2021",SAS vs. WAS,24,5,1,5,1,3,7,1
57,0022100287,"NOV 26, 2021",SAS vs. BOS,17,7,0,8,2,3,9,2
58,0022100277,"NOV 24, 2021",SAS vs. ATL,7,3,2,2,2,1,6,2
59,0022100260,"NOV 22, 2021",SAS vs. PHX,19,4,2,4,0,1,5,2
60,0022100227,"NOV 18, 2021",SAS @ MIN,4,4,1,2,0,0,2,0
61,0022100212,"NOV 16, 2021",SAS @ LAC,19,3,1,3,3,1,4,0
62,0022100192,"NOV 14, 2021",SAS @ LAL,10,5,2,3,2,2,7,0
63,0022100181,"NOV 12, 2021",SAS vs. DAL,5,5,0,0,2,1,2,1
64,0022100166,"NOV 10, 2021",SAS vs. SAC,2,6,2,4,1,0,2,1
65,0022100144,"NOV 07, 2021",SAS @ OKC,0,5,1,3,0,0,4,1
66,0022100125,"NOV 05, 2021",SAS @ ORL,12,4,0,10,2,2,6,1
67,0022100116,"NOV 03, 2021",SAS vs. DAL,19,3,1,3,3,1,2,1
68,0022100095,"NOV 01, 2021",SAS @ IND,13,7,0,2,0,3,5,0
69,0022100085,"OCT 30, 2021",SAS @ MIL,17,4,0,2,1,3,8,1
70,0022100069,"OCT 28, 2021",SAS @ DAL,9,7,1,1,3,0,3,2
71,0022100053,"OCT 26, 2021",SAS vs. LAL,7,6,1,5,3,1,6,1
72,0022100032,"OCT 23, 2021",SAS vs. MIL,14,8,4,2,2,1,5,1
73,0022100024,"OCT 22, 2021",SAS @ DEN,16,8,2,2,2,2,7,2
74,0022100010,"OCT 20, 2021",SAS vs. ORL,16,4,1,4,0,3,4,0
