,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,22001070,"MAY 16, 2021",MEM @ GSW,8,1,2,0,0,2,3,1
1,22000263,"MAY 14, 2021",MEM vs. SAC,6,2,1,3,2,0,4,1
2,22000255,"MAY 13, 2021",MEM vs. SAC,7,0,1,3,1,1,5,0
3,22001037,"MAY 11, 2021",MEM vs. DAL,11,1,0,3,0,3,5,0
4,22001028,"MAY 10, 2021",MEM vs. NOP,6,5,0,3,0,2,5,1
5,22001014,"MAY 08, 2021",MEM @ TOR,10,3,0,3,2,2,6,2
6,22000999,"MAY 06, 2021",MEM @ DET,2,4,0,2,0,0,4,0
7,22000183,"MAY 05, 2021",MEM @ MIN,22,3,0,4,1,4,9,0
8,22000980,"MAY 03, 2021",MEM vs. NYK,22,2,3,8,2,4,7,0
9,22000961,"MAY 01, 2021",MEM @ ORL,5,0,0,6,2,1,3,0
10,22000953,"APR 30, 2021",MEM vs. ORL,7,1,0,5,1,1,7,0
11,22000939,"APR 28, 2021",MEM vs. POR,8,0,0,2,0,2,4,0
12,22000925,"APR 26, 2021",MEM @ DEN,3,0,1,1,0,0,2,0
13,22000240,"APR 25, 2021",MEM @ POR,2,4,0,3,0,0,0,1
14,22000225,"APR 23, 2021",MEM @ POR,0,4,0,1,1,0,1,0
15,22000889,"APR 21, 2021",MEM @ LAC,10,1,0,2,0,2,4,0
16,22000874,"APR 19, 2021",MEM @ DEN,3,1,0,2,0,1,3,0
17,22000859,"APR 17, 2021",MEM @ MIL,16,6,0,4,0,3,5,0
18,22000850,"APR 16, 2021",MEM @ CHI,8,2,0,4,1,2,3,0
19,22000837,"APR 14, 2021",MEM vs. DAL,11,5,1,1,0,3,6,0
20,22000278,"APR 12, 2021",MEM vs. CHI,9,1,1,2,1,2,3,1
21,22000811,"APR 11, 2021",MEM vs. IND,7,5,1,2,0,1,3,1
22,22000793,"APR 09, 2021",MEM @ NYK,16,2,0,5,1,3,4,0
23,22000780,"APR 07, 2021",MEM @ ATL,5,2,0,4,3,1,5,0
24,22000773,"APR 06, 2021",MEM @ MIA,15,3,2,3,1,3,6,1
25,22000758,"APR 04, 2021",MEM @ PHI,14,1,0,6,0,3,6,0
26,22000741,"APR 02, 2021",MEM vs. MIN,6,1,1,7,0,1,4,1
27,22000725,"MAR 31, 2021",MEM vs. UTA,7,5,1,5,0,0,1,0
28,22000712,"MAR 29, 2021",MEM @ HOU,17,3,1,4,1,3,5,1
29,22000700,"MAR 27, 2021",MEM @ UTA,7,1,0,4,2,1,2,0
30,22000691,"MAR 26, 2021",MEM @ UTA,3,0,0,2,0,1,3,0
31,22000674,"MAR 24, 2021",MEM @ OKC,3,2,0,3,0,1,3,1
32,22000658,"MAR 22, 2021",MEM vs. BOS,13,0,0,3,1,3,4,0
33,22000642,"MAR 20, 2021",MEM vs. GSW,15,2,2,2,1,2,3,0
34,22000636,"MAR 19, 2021",MEM vs. GSW,8,3,1,3,2,2,5,0
35,22000623,"MAR 17, 2021",MEM vs. MIA,8,2,0,5,0,2,3,0
36,22000607,"MAR 15, 2021",MEM @ PHX,0,1,0,1,0,0,3,0
37,22000593,"MAR 14, 2021",MEM @ OKC,7,0,1,1,0,1,4,0
38,22000580,"MAR 12, 2021",MEM vs. DEN,10,0,0,4,2,2,4,0
39,22000566,"MAR 10, 2021",MEM vs. WAS,20,1,1,4,2,5,8,0
40,22000555,"MAR 04, 2021",MEM vs. MIL,4,0,1,6,0,1,3,0
41,22000536,"MAR 02, 2021",MEM @ WAS,10,1,1,2,0,1,3,0
42,22000525,"FEB 28, 2021",MEM @ HOU,15,1,3,7,2,1,2,1
43,22000509,"FEB 26, 2021",MEM vs. LAC,4,2,0,1,0,0,1,0
44,22000501,"FEB 25, 2021",MEM vs. LAC,4,0,0,2,1,0,1,0
45,22000476,"FEB 22, 2021",MEM @ DAL,12,0,0,2,1,2,4,0
46,22000462,"FEB 20, 2021",MEM vs. PHX,4,1,0,2,1,0,4,0
47,22000452,"FEB 19, 2021",MEM vs. DET,10,1,2,5,1,1,3,0
48,22000386,"FEB 10, 2021",MEM vs. CHA,18,2,2,1,2,4,8,0
49,22000369,"FEB 08, 2021",MEM vs. TOR,13,3,0,3,3,3,7,0
50,22000355,"FEB 06, 2021",MEM @ NOP,5,2,1,2,0,1,5,1
51,22000340,"FEB 04, 2021",MEM vs. HOU,16,3,1,1,1,2,4,1
52,22000322,"FEB 02, 2021",MEM @ IND,16,5,0,3,2,3,6,0
53,22000320,"FEB 01, 2021",MEM @ SAS,10,1,0,3,0,2,5,1
