,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21501229,"APR 13, 2016",PHX vs. LAC,12,2,1,2,5,2,5,1
1,21501211,"APR 11, 2016",PHX vs. SAC,22,4,1,4,4,0,5,1
2,21501189,"APR 09, 2016",PHX @ NOP,16,5,0,4,2,1,3,1
3,21501175,"APR 07, 2016",PHX @ HOU,15,4,1,0,5,1,6,1
4,21501157,"APR 05, 2016",PHX @ ATL,34,2,2,5,2,4,9,0
5,21501149,"APR 03, 2016",PHX vs. UTA,14,7,2,2,4,2,5,1
6,21501137,"APR 01, 2016",PHX vs. WAS,14,0,0,4,3,1,5,1
7,21501115,"MAR 30, 2016",PHX @ MIL,18,4,0,4,7,2,6,0
8,21501101,"MAR 28, 2016",PHX @ MIN,30,5,0,3,4,2,4,1
9,21501090,"MAR 26, 2016",PHX vs. BOS,21,4,1,4,2,1,4,0
10,21501079,"MAR 25, 2016",PHX @ SAC,26,4,2,5,9,2,8,1
11,21501065,"MAR 23, 2016",PHX vs. LAL,28,7,1,3,2,1,4,1
12,21501051,"MAR 21, 2016",PHX vs. MEM,18,2,0,4,2,2,8,0
13,21501027,"MAR 18, 2016",PHX @ LAL,21,7,1,5,2,1,5,0
14,21501019,"MAR 17, 2016",PHX @ UTA,7,3,2,3,3,1,5,0
15,21500995,"MAR 14, 2016",PHX vs. MIN,16,6,0,3,6,1,4,0
16,21500981,"MAR 12, 2016",PHX @ GSW,18,11,0,0,0,0,5,1
17,21500961,"MAR 10, 2016",PHX @ DEN,35,5,1,3,5,1,5,1
18,21500956,"MAR 09, 2016",PHX vs. NYK,32,1,0,3,3,3,8,0
19,21500932,"MAR 06, 2016",PHX @ MEM,27,9,1,2,3,4,11,1
20,21500913,"MAR 04, 2016",PHX @ ORL,14,6,0,4,2,0,0,1
21,21500908,"MAR 03, 2016",PHX @ MIA,34,4,0,3,4,3,7,0
22,21500891,"MAR 01, 2016",PHX @ CHA,13,1,1,2,2,1,4,0
23,21500875,"FEB 27, 2016",PHX vs. MEM,15,2,0,4,2,2,9,0
24,21500858,"FEB 25, 2016",PHX vs. BKN,12,2,0,1,0,1,3,0
25,21500839,"FEB 22, 2016",PHX @ LAC,5,2,0,1,1,1,3,0
26,21500826,"FEB 21, 2016",PHX vs. SAS,10,6,0,4,1,1,2,0
27,21500814,"FEB 19, 2016",PHX vs. HOU,10,1,1,1,1,2,7,0
28,21500799,"FEB 10, 2016",PHX vs. GSW,15,10,2,7,7,1,4,0
29,21500783,"FEB 08, 2016",PHX vs. OKC,6,4,0,3,3,0,3,1
30,21500768,"FEB 06, 2016",PHX vs. UTA,18,1,1,3,1,2,5,0
31,21500749,"FEB 04, 2016",PHX vs. HOU,17,4,1,3,5,2,5,0
32,21500732,"FEB 02, 2016",PHX vs. TOR,27,0,2,5,4,6,14,0
33,21500717,"JAN 31, 2016",PHX @ DAL,19,4,0,7,4,2,6,1
34,21500700,"JAN 29, 2016",PHX @ NYK,21,3,0,0,1,3,6,0
35,21500684,"JAN 27, 2016",PHX @ CLE,16,5,0,3,2,1,4,0
36,21500677,"JAN 26, 2016",PHX @ PHI,12,7,0,4,0,1,3,0
37,21500660,"JAN 23, 2016",PHX vs. ATL,15,1,2,2,3,3,9,0
38,21500644,"JAN 21, 2016",PHX vs. SAS,24,5,0,1,1,2,6,0
39,21500628,"JAN 19, 2016",PHX vs. IND,32,2,0,0,4,6,11,0
40,21500610,"JAN 17, 2016",PHX @ MIN,11,0,0,0,0,0,0,0
41,21500595,"JAN 15, 2016",PHX @ BOS,9,0,0,5,3,0,4,0
42,21500569,"JAN 12, 2016",PHX @ IND,19,2,0,2,4,1,2,1
43,21500547,"JAN 08, 2016",PHX vs. MIA,16,2,1,6,2,1,7,0
44,21500533,"JAN 06, 2016",PHX vs. CHA,17,2,1,10,1,3,5,0
45,21500510,"JAN 03, 2016",PHX @ LAL,10,1,1,4,2,0,3,0
46,21500496,"JAN 02, 2016",PHX @ SAC,21,3,4,1,1,2,5,0
47,21500488,"DEC 31, 2015",PHX @ OKC,12,5,0,3,5,0,1,0
48,21500481,"DEC 30, 2015",PHX @ SAS,9,0,0,3,2,0,1,0
49,21500466,"DEC 28, 2015",PHX vs. CLE,10,3,0,3,3,0,1,0
50,21500451,"DEC 26, 2015",PHX vs. PHI,19,0,0,1,0,3,4,0
51,21500417,"DEC 21, 2015",PHX @ UTA,6,0,0,0,1,0,0,0
52,21500406,"DEC 20, 2015",PHX vs. MIL,7,2,3,2,1,0,3,0
53,21500381,"DEC 16, 2015",PHX @ GSW,0,2,0,0,2,0,3,0
54,21500363,"DEC 14, 2015",PHX @ DAL,0,1,0,1,1,0,0,0
55,21500353,"DEC 13, 2015",PHX vs. MIN,4,1,0,1,1,0,1,0
56,21500343,"DEC 11, 2015",PHX vs. POR,8,1,0,1,0,2,2,1
57,21500326,"DEC 09, 2015",PHX vs. ORL,2,1,0,0,0,0,0,0
