,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021801174,"APR 03, 2019",PHX vs. UTA,8,1,0,0,0,0,1,0
1,0021801160,"APR 01, 2019",PHX vs. CLE,25,13,0,3,6,2,9,0
2,0021801144,"MAR 30, 2019",PHX vs. MEM,48,11,0,3,6,3,6,0
3,0021801120,"MAR 27, 2019",PHX vs. WAS,50,4,1,10,5,3,9,1
4,0021801105,"MAR 25, 2019",PHX @ UTA,59,4,1,4,6,5,8,0
5,0021801094,"MAR 23, 2019",PHX @ SAC,32,10,2,2,3,2,11,0
6,0021801077,"MAR 21, 2019",PHX vs. DET,26,2,3,5,5,2,5,0
7,0021801057,"MAR 18, 2019",PHX vs. CHI,25,7,0,8,3,1,8,0
8,0021801036,"MAR 16, 2019",PHX @ NOP,40,13,0,5,7,3,8,1
9,0021801030,"MAR 15, 2019",PHX @ HOU,29,7,0,5,5,1,7,0
10,0021801019,"MAR 13, 2019",PHX vs. UTA,27,6,0,4,4,2,4,1
11,0021801000,"MAR 10, 2019",PHX @ GSW,37,11,2,8,5,2,6,0
12,0021800991,"MAR 09, 2019",PHX @ POR,23,5,2,2,4,1,4,0
13,0021800972,"MAR 06, 2019",PHX vs. NYK,41,4,2,5,5,6,10,1
14,0021800955,"MAR 04, 2019",PHX vs. MIL,22,7,1,5,4,2,4,0
15,0021800942,"MAR 02, 2019",PHX vs. LAL,25,4,1,4,4,0,5,0
16,0021800932,"MAR 01, 2019",PHX vs. NOP,26,7,1,6,6,1,5,0
17,0021800901,"FEB 25, 2019",PHX @ MIA,20,9,0,4,4,3,9,0
18,0021800883,"FEB 23, 2019",PHX @ ATL,26,8,0,7,2,2,6,1
19,0021800867,"FEB 21, 2019",PHX @ CLE,30,7,1,1,9,3,9,0
20,0021800863,"FEB 13, 2019",PHX @ LAC,10,5,1,6,3,0,3,1
21,0021800836,"FEB 10, 2019",PHX @ SAC,27,6,0,8,5,3,5,0
22,0021800794,"FEB 04, 2019",PHX vs. HOU,19,5,0,7,0,0,2,0
23,0021800784,"FEB 02, 2019",PHX vs. ATL,32,10,1,8,4,4,10,0
24,0021800754,"JAN 29, 2019",PHX @ SAS,38,7,2,5,6,3,6,0
25,0021800743,"JAN 27, 2019",PHX @ LAL,21,6,0,2,3,0,1,0
26,0021800728,"JAN 25, 2019",PHX @ DEN,35,2,0,4,4,2,4,0
27,0021800718,"JAN 24, 2019",PHX vs. POR,27,3,1,1,8,2,7,0
28,0021800705,"JAN 22, 2019",PHX vs. MIN,14,4,1,3,4,0,1,1
29,0021800689,"JAN 20, 2019",PHX @ MIN,18,6,0,6,5,1,6,0
30,0021800679,"JAN 19, 2019",PHX @ CHA,32,11,0,2,0,2,7,0
31,0021800668,"JAN 17, 2019",PHX @ TOR,30,8,0,2,6,4,9,0
32,0021800651,"JAN 15, 2019",PHX @ IND,8,5,0,5,4,0,4,0
33,0021800590,"JAN 06, 2019",PHX vs. CHA,7,3,0,0,2,1,2,0
34,0021800573,"JAN 04, 2019",PHX vs. LAC,23,4,0,3,4,1,2,0
35,0021800561,"JAN 02, 2019",PHX vs. PHI,37,8,0,2,3,2,7,0
36,0021800548,"DEC 31, 2018",PHX vs. GSW,20,6,1,2,5,2,5,0
37,0021800533,"DEC 29, 2018",PHX vs. DEN,27,8,1,1,3,1,5,0
38,0021800525,"DEC 28, 2018",PHX vs. OKC,25,10,3,7,2,2,5,0
39,0021800503,"DEC 26, 2018",PHX @ ORL,35,8,2,7,5,5,8,1
40,0021800489,"DEC 23, 2018",PHX @ BKN,25,9,0,2,4,1,4,0
41,0021800480,"DEC 22, 2018",PHX @ WAS,33,14,1,4,4,2,12,1
42,0021800458,"DEC 19, 2018",PHX @ BOS,25,8,1,5,6,3,8,2
43,0021800444,"DEC 17, 2018",PHX @ NYK,38,2,2,7,1,2,7,0
44,0021800435,"DEC 15, 2018",PHX vs. MIN,28,7,0,7,2,3,6,0
45,0021800337,"DEC 02, 2018",PHX @ LAL,6,2,0,1,1,0,2,1
46,0021800315,"NOV 28, 2018",PHX @ LAC,23,4,1,4,3,1,6,0
47,0021800305,"NOV 27, 2018",PHX vs. IND,20,8,3,4,5,3,9,0
48,0021800287,"NOV 25, 2018",PHX @ DET,37,5,0,4,4,3,9,0
49,0021800275,"NOV 23, 2018",PHX @ MIL,29,7,3,4,3,1,5,0
50,0021800257,"NOV 21, 2018",PHX @ CHI,23,6,3,2,6,1,8,0
51,0021800242,"NOV 19, 2018",PHX @ PHI,37,8,0,3,2,6,15,0
52,0021800233,"NOV 17, 2018",PHX vs. OKC,16,12,0,4,1,3,8,0
53,0021800211,"NOV 14, 2018",PHX vs. SAS,13,12,2,4,7,2,6,0
54,0021800196,"NOV 12, 2018",PHX @ OKC,19,6,0,4,3,1,4,0
55,0021800176,"NOV 10, 2018",PHX @ NOP,12,7,2,1,4,2,5,0
56,0021800164,"NOV 08, 2018",PHX vs. BOS,38,9,3,3,6,4,13,0
57,0021800151,"NOV 06, 2018",PHX vs. BKN,20,2,1,8,4,2,8,0
58,0021800136,"NOV 04, 2018",PHX vs. MEM,25,7,0,0,4,2,8,0
59,0021800123,"NOV 02, 2018",PHX vs. TOR,18,6,1,4,3,2,7,1
60,0021800060,"OCT 24, 2018",PHX vs. LAL,23,7,0,7,4,2,6,0
61,0021800047,"OCT 22, 2018",PHX @ GSW,28,6,2,5,9,3,9,0
62,0021800033,"OCT 20, 2018",PHX @ DEN,25,7,1,2,6,1,6,0
63,0021800013,"OCT 17, 2018",PHX vs. DAL,35,7,0,4,3,6,10,0
