,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21601225,"APR 12, 2017",OKC vs. DEN,2,0,2,2,1,0,2,0
1,21601213,"APR 11, 2017",OKC @ MIN,19,3,1,9,2,1,5,0
2,21601198,"APR 09, 2017",OKC @ DEN,0,0,1,3,2,0,1,1
3,21601186,"APR 07, 2017",OKC @ PHX,6,0,0,0,0,1,2,0
4,21601167,"APR 05, 2017",OKC @ MEM,5,0,0,1,0,1,2,1
5,21601159,"APR 04, 2017",OKC vs. MIL,11,1,0,5,1,2,2,1
6,21601142,"APR 02, 2017",OKC vs. CHA,5,0,0,1,0,1,1,0
7,21601135,"MAR 31, 2017",OKC vs. SAS,9,0,1,4,2,0,2,0
8,21601112,"MAR 29, 2017",OKC @ ORL,4,0,0,2,0,1,1,0
9,21601091,"MAR 26, 2017",OKC @ HOU,0,1,0,2,1,0,0,0
10,21601062,"MAR 22, 2017",OKC vs. PHI,3,2,1,6,2,0,0,0
11,21601049,"MAR 20, 2017",OKC vs. GSW,4,0,0,4,1,0,1,0
12,21601028,"MAR 18, 2017",OKC vs. SAC,6,3,1,4,0,1,4,0
13,21601015,"MAR 16, 2017",OKC @ TOR,8,2,0,6,1,1,1,0
14,21601000,"MAR 14, 2017",OKC @ BKN,4,1,0,1,2,0,0,2
15,21600973,"MAR 11, 2017",OKC vs. UTA,2,2,0,2,0,0,0,0
16,21600962,"MAR 09, 2017",OKC vs. SAS,6,2,0,2,1,0,1,1
17,21600946,"MAR 07, 2017",OKC vs. POR,8,0,0,4,1,0,1,0
18,21600932,"MAR 05, 2017",OKC @ DAL,3,1,0,7,1,0,2,0
19,21600916,"MAR 03, 2017",OKC @ PHX,11,0,1,3,0,2,2,0
20,21600908,"MAR 02, 2017",OKC @ POR,2,1,0,1,0,0,1,1
21,21600893,"FEB 28, 2017",OKC vs. UTA,2,1,1,1,0,0,1,0
22,21600880,"FEB 26, 2017",OKC vs. NOP,4,0,0,1,0,0,1,0
23,21600861,"FEB 24, 2017",OKC vs. LAL,9,2,0,3,0,1,2,2
24,21600845,"FEB 15, 2017",OKC vs. NYK,6,0,1,6,0,0,1,0
25,21600820,"FEB 13, 2017",OKC @ WAS,6,1,0,7,1,0,5,0
26,21600813,"FEB 11, 2017",OKC vs. GSW,9,3,1,4,1,0,1,1
27,21600796,"FEB 09, 2017",OKC vs. CLE,8,0,0,2,1,0,1,0
28,21600770,"FEB 06, 2017",OKC @ IND,0,1,0,2,0,0,0,0
29,21600767,"FEB 05, 2017",OKC vs. POR,2,0,0,7,0,0,1,2
30,21600750,"FEB 03, 2017",OKC vs. MEM,2,0,0,1,5,0,2,0
31,21600740,"FEB 01, 2017",OKC vs. CHI,2,0,0,5,1,0,2,0
32,21600727,"JAN 31, 2017",OKC @ SAS,13,0,2,10,6,2,4,1
33,21600712,"JAN 29, 2017",OKC @ CLE,12,0,0,5,2,0,3,0
34,21600690,"JAN 26, 2017",OKC vs. DAL,10,0,1,5,2,1,1,0
35,21600686,"JAN 25, 2017",OKC @ NOP,8,0,0,6,1,0,2,0
36,21600673,"JAN 23, 2017",OKC @ UTA,0,2,0,3,1,0,2,0
37,21600634,"JAN 18, 2017",OKC @ GSW,5,0,1,2,1,1,1,0
38,21600621,"JAN 16, 2017",OKC @ LAC,10,4,2,0,2,2,3,0
39,21600610,"JAN 15, 2017",OKC @ SAC,7,1,0,3,1,0,4,0
40,21600596,"JAN 13, 2017",OKC @ MIN,7,0,0,6,0,0,3,0
41,21600581,"JAN 11, 2017",OKC vs. MEM,0,1,0,2,2,0,0,0
