,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21201175,"APR 11, 2013",GSW vs. OKC,3,0,0,4,1,0,1,0
1,21201163,"APR 09, 2013",GSW vs. MIN,0,1,0,2,0,0,0,0
2,21201151,"APR 07, 2013",GSW vs. UTA,2,0,0,3,0,0,0,0
3,21201134,"APR 05, 2013",GSW @ PHX,0,0,0,0,1,0,0,0
4,21201122,"APR 03, 2013",GSW vs. NOH,4,1,1,3,1,1,2,1
5,21201094,"MAR 30, 2013",GSW vs. POR,0,1,1,2,0,0,0,2
6,21201069,"MAR 27, 2013",GSW vs. SAC,4,1,0,0,0,0,0,0
7,21201053,"MAR 25, 2013",GSW vs. LAL,0,0,0,0,0,0,0,0
8,21201039,"MAR 23, 2013",GSW vs. WAS,0,0,0,2,0,0,0,0
9,21201016,"MAR 20, 2013",GSW @ SAS,4,1,0,1,0,0,1,2
10,21201001,"MAR 18, 2013",GSW @ NOH,0,2,1,2,0,0,0,1
11,21200988,"MAR 17, 2013",GSW @ HOU,2,0,2,2,0,0,2,0
12,21200978,"MAR 15, 2013",GSW vs. CHI,0,3,0,5,0,0,1,0
13,21200966,"MAR 13, 2013",GSW vs. DET,0,0,0,1,1,0,0,0
14,21200947,"MAR 11, 2013",GSW vs. NYK,1,0,0,5,0,0,0,1
15,21200933,"MAR 09, 2013",GSW vs. MIL,9,0,0,5,2,1,2,0
16,21200926,"MAR 08, 2013",GSW vs. HOU,2,0,0,5,0,0,1,0
17,21200912,"MAR 06, 2013",GSW vs. SAC,2,1,0,1,0,0,1,0
18,21200895,"MAR 04, 2013",GSW vs. TOR,0,0,0,1,0,0,1,0
19,21200876,"MAR 02, 2013",GSW @ PHI,0,0,0,0,0,0,0,0
20,21200867,"MAR 01, 2013",GSW @ BOS,2,0,0,1,0,0,0,0
21,21200853,"FEB 27, 2013",GSW @ NYK,4,1,1,5,1,0,1,1
22,21200844,"FEB 26, 2013",GSW @ IND,2,0,0,4,1,0,1,0
23,21200832,"FEB 24, 2013",GSW @ MIN,0,0,0,6,1,0,1,0
24,21200822,"FEB 22, 2013",GSW vs. SAS,3,0,0,8,1,1,1,1
25,21200808,"FEB 20, 2013",GSW vs. PHX,0,0,1,0,0,0,0,0
26,21200795,"FEB 19, 2013",GSW @ UTA,2,1,0,2,0,0,1,0
27,21200774,"FEB 12, 2013",GSW vs. HOU,9,2,2,4,1,1,2,1
28,21200750,"FEB 09, 2013",GSW @ DAL,8,1,1,9,0,0,0,0
29,21200742,"FEB 08, 2013",GSW @ MEM,4,1,0,6,2,0,0,1
30,21200729,"FEB 06, 2013",GSW @ OKC,0,1,1,6,0,0,0,0
31,21200718,"FEB 05, 2013",GSW @ HOU,8,0,0,2,0,0,1,2
32,21200704,"FEB 02, 2013",GSW vs. PHX,0,1,1,2,1,0,1,0
33,21200683,"JAN 31, 2013",GSW vs. DAL,5,2,0,5,3,1,4,0
34,21200666,"JAN 29, 2013",GSW @ CLE,7,2,1,7,2,1,3,0
35,21200659,"JAN 28, 2013",GSW @ TOR,0,1,0,2,2,0,0,1
36,21200647,"JAN 26, 2013",GSW @ MIL,3,0,1,1,1,0,1,0
37,21200636,"JAN 25, 2013",GSW @ CHI,2,0,0,0,0,0,2,0
38,21200628,"JAN 23, 2013",GSW vs. OKC,0,0,0,0,0,0,0,0
39,21200610,"JAN 21, 2013",GSW vs. LAC,7,0,0,3,1,1,2,0
40,21200596,"JAN 19, 2013",GSW @ NOH,5,0,0,1,1,1,1,0
41,21200590,"JAN 18, 2013",GSW @ SAS,6,0,0,7,0,0,0,0
42,21200579,"JAN 16, 2013",GSW vs. MIA,9,1,0,7,4,0,0,0
43,21200553,"JAN 13, 2013",GSW @ DEN,2,1,0,2,0,0,0,0
44,21200540,"JAN 11, 2013",GSW vs. POR,4,1,2,1,0,0,0,2
45,21200526,"JAN 09, 2013",GSW vs. MEM,0,1,0,1,0,0,1,0
46,21200498,"JAN 05, 2013",GSW @ LAC,8,0,2,8,2,0,1,0
47,21200475,"JAN 02, 2013",GSW vs. LAC,0,0,0,0,0,0,0,0
48,21200447,"DEC 29, 2012",GSW vs. BOS,6,0,0,2,1,0,0,0
49,21200436,"DEC 28, 2012",GSW vs. PHI,0,1,0,5,1,0,1,0
50,21200420,"DEC 26, 2012",GSW @ UTA,4,1,1,1,1,0,1,0
51,21200398,"DEC 22, 2012",GSW vs. LAL,1,0,2,3,1,0,0,0
52,21200389,"DEC 21, 2012",GSW vs. CHA,11,4,0,2,0,1,2,1
53,21200375,"DEC 19, 2012",GSW @ SAC,2,3,0,5,0,0,1,1
54,21200365,"DEC 18, 2012",GSW vs. NOH,6,2,3,6,1,0,1,0
55,21200337,"DEC 15, 2012",GSW @ ATL,5,1,2,8,1,0,0,1
56,21200330,"DEC 14, 2012",GSW @ ORL,0,0,1,5,0,0,1,0
57,21200314,"DEC 12, 2012",GSW @ MIA,7,2,2,7,0,1,2,0
58,21200299,"DEC 10, 2012",GSW @ CHA,0,0,1,9,4,0,1,1
59,21200283,"DEC 08, 2012",GSW @ WAS,6,1,0,8,1,0,2,1
60,21200272,"DEC 07, 2012",GSW @ BKN,6,3,3,10,2,0,1,0
61,21200261,"DEC 05, 2012",GSW @ DET,2,0,1,1,0,0,2,3
62,21200250,"DEC 03, 2012",GSW vs. ORL,0,0,0,3,0,0,0,0
63,21200242,"DEC 01, 2012",GSW vs. IND,2,0,1,1,0,0,1,0
64,21200221,"NOV 29, 2012",GSW vs. DEN,2,1,0,3,0,0,1,0
65,21200190,"NOV 24, 2012",GSW vs. MIN,4,1,0,6,0,0,0,0
66,21200179,"NOV 23, 2012",GSW @ DEN,0,1,0,6,1,0,1,0
67,21200170,"NOV 21, 2012",GSW vs. BKN,3,0,1,4,0,1,2,0
68,21200151,"NOV 19, 2012",GSW @ DAL,9,1,3,7,1,1,2,0
69,21200143,"NOV 18, 2012",GSW @ OKC,9,0,1,5,2,1,2,0
70,21200126,"NOV 16, 2012",GSW @ MIN,3,2,0,4,0,0,1,0
71,21200118,"NOV 14, 2012",GSW vs. ATL,5,0,0,1,0,1,2,1
72,21200089,"NOV 10, 2012",GSW vs. DEN,0,0,0,0,0,0,0,0
73,21200080,"NOV 09, 2012",GSW @ LAL,1,0,1,2,1,0,1,0
74,21200065,"NOV 07, 2012",GSW vs. CLE,0,1,1,0,1,0,1,0
75,21200048,"NOV 05, 2012",GSW @ SAC,0,0,0,0,1,0,1,0
76,21200036,"NOV 03, 2012",GSW @ LAC,0,0,0,0,1,0,1,0
77,21200026,"NOV 02, 2012",GSW vs. MEM,0,0,0,1,0,0,0,0
78,21200010,"OCT 31, 2012",GSW @ PHX,0,0,0,1,0,0,0,0
79,21301230,"APR 16, 2014",GSW @ DEN,2,0,0,4,0,0,2,0
80,21301213,"APR 14, 2014",GSW vs. MIN,20,5,4,12,3,4,5,2
81,21301201,"APR 13, 2014",GSW @ POR,3,2,1,4,2,1,2,0
82,21301188,"APR 11, 2014",GSW @ LAL,9,2,4,7,1,2,2,1
83,21301175,"APR 10, 2014",GSW vs. DEN,4,2,1,2,3,0,1,0
84,21301155,"APR 06, 2014",GSW vs. UTA,11,1,1,4,2,1,1,1
85,21301141,"APR 04, 2014",GSW vs. SAC,10,4,2,10,1,2,6,2
86,21301123,"APR 02, 2014",GSW @ SAS,8,4,0,8,1,0,2,2
87,21301112,"APR 01, 2014",GSW @ DAL,9,6,2,7,2,1,1,1
88,21301098,"MAR 30, 2014",GSW vs. NYK,4,1,1,5,2,0,0,3
89,21301086,"MAR 28, 2014",GSW vs. MEM,12,1,0,9,0,2,4,1
90,21301038,"MAR 22, 2014",GSW vs. SAS,8,1,2,6,0,0,1,2
91,21301021,"MAR 20, 2014",GSW vs. MIL,5,3,1,5,1,0,2,1
92,21301007,"MAR 18, 2014",GSW vs. ORL,6,3,2,9,2,0,2,0
93,21300994,"MAR 16, 2014",GSW @ POR,5,2,2,8,2,0,2,1
94,21300980,"MAR 14, 2014",GSW vs. CLE,18,1,0,9,1,2,5,0
95,21300967,"MAR 12, 2014",GSW @ LAC,10,3,1,3,2,1,3,1
96,21300956,"MAR 11, 2014",GSW vs. DAL,6,3,3,6,2,2,2,0
97,21300942,"MAR 09, 2014",GSW vs. PHX,13,0,0,1,2,1,3,2
98,21300927,"MAR 07, 2014",GSW vs. ATL,8,5,4,4,2,2,4,0
99,21300907,"MAR 05, 2014",GSW @ BOS,7,4,2,5,3,0,2,1
100,21300899,"MAR 04, 2014",GSW @ IND,10,3,1,7,1,2,4,0
101,21300884,"MAR 02, 2014",GSW @ TOR,2,5,1,2,0,0,0,0
102,21300869,"FEB 28, 2014",GSW @ NYK,5,1,3,2,0,1,1,1
103,21300855,"FEB 26, 2014",GSW @ CHI,0,1,1,2,0,0,1,0
104,21300842,"FEB 24, 2014",GSW @ DET,6,1,2,5,1,0,0,1
105,21300832,"FEB 22, 2014",GSW vs. BKN,18,2,3,10,0,0,2,0
106,21300814,"FEB 20, 2014",GSW vs. HOU,4,3,1,2,1,0,1,2
107,21300810,"FEB 19, 2014",GSW @ SAC,12,2,2,8,1,0,2,0
108,21300788,"FEB 12, 2014",GSW vs. MIA,8,2,2,8,2,0,1,3
109,21300769,"FEB 10, 2014",GSW vs. PHI,11,1,0,11,1,1,2,4
110,21300754,"FEB 08, 2014",GSW @ PHX,5,4,0,6,4,0,2,1
111,21300738,"FEB 06, 2014",GSW vs. CHI,9,1,0,7,1,0,2,2
112,21300724,"FEB 04, 2014",GSW vs. CHA,2,1,0,3,0,0,1,0
113,21300696,"JAN 31, 2014",GSW @ UTA,7,1,4,3,1,0,2,1
114,21300688,"JAN 30, 2014",GSW vs. LAC,2,0,0,1,0,0,1,1
115,21300673,"JAN 28, 2014",GSW vs. WAS,8,1,1,3,1,0,1,0
116,21300660,"JAN 26, 2014",GSW vs. POR,2,0,1,6,0,0,2,1
117,21300645,"JAN 24, 2014",GSW vs. MIN,4,5,2,5,0,0,1,0
118,21300615,"JAN 20, 2014",GSW vs. IND,5,0,0,6,0,0,2,0
119,21300599,"JAN 18, 2014",GSW @ NOP,4,0,0,3,0,0,0,1
120,21300592,"JAN 17, 2014",GSW @ OKC,10,3,1,5,0,1,1,0
121,21300576,"JAN 15, 2014",GSW vs. DEN,11,3,1,4,0,2,2,0
122,21300541,"JAN 10, 2014",GSW vs. BOS,7,2,2,4,1,0,2,0
