,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101225,"APR 10, 2022",GSW @ NOP,7,6,1,3,2,1,1,0
1,0022101215,"APR 09, 2022",GSW @ SAS,12,8,1,13,4,0,1,1
2,0022101202,"APR 07, 2022",GSW vs. LAL,10,7,2,3,2,0,0,2
3,0022101176,"APR 03, 2022",GSW @ SAC,6,5,1,7,3,2,2,2
4,0022101165,"APR 02, 2022",GSW vs. UTA,10,7,0,9,3,0,0,1
5,0022101145,"MAR 30, 2022",GSW vs. PHX,8,7,2,10,4,0,0,3
6,0022101117,"MAR 27, 2022",GSW @ WAS,7,6,3,5,3,0,1,0
7,0022101102,"MAR 25, 2022",GSW @ ATL,4,3,0,5,5,0,1,0
8,0022101080,"MAR 22, 2022",GSW @ ORL,2,7,2,3,1,0,0,0
9,0022101070,"MAR 20, 2022",GSW vs. SAS,4,5,0,6,2,0,1,0
10,0022101042,"MAR 16, 2022",GSW vs. BOS,2,3,1,8,1,0,2,0
11,0022101025,"MAR 14, 2022",GSW vs. WAS,6,6,1,7,3,1,3,0
12,0022100604,"JAN 09, 2022",GSW vs. CLE,0,0,0,0,0,0,0,0
13,0022100572,"JAN 05, 2022",GSW @ DAL,2,4,2,3,5,0,1,1
14,0022100559,"JAN 03, 2022",GSW vs. MIA,5,13,1,8,2,1,3,4
15,0022100490,"DEC 25, 2021",GSW @ PHX,8,10,3,8,4,2,4,3
16,0022100485,"DEC 23, 2021",GSW vs. MEM,8,9,2,5,5,0,3,3
17,0022100462,"DEC 20, 2021",GSW vs. SAC,16,10,2,11,5,1,2,2
18,0022100435,"DEC 17, 2021",GSW @ BOS,6,8,0,5,2,0,3,1
19,0022100414,"DEC 14, 2021",GSW @ NYK,8,7,1,11,3,1,1,3
20,0022100405,"DEC 13, 2021",GSW @ IND,15,5,0,9,3,0,1,0
21,0022100396,"DEC 11, 2021",GSW @ PHI,7,2,3,4,2,0,1,0
22,0022100376,"DEC 08, 2021",GSW vs. POR,5,8,1,10,3,0,1,1
23,0022100361,"DEC 06, 2021",GSW vs. ORL,7,3,3,7,3,0,0,1
24,0022100346,"DEC 04, 2021",GSW vs. SAS,9,9,1,8,4,0,2,1
25,0022100340,"DEC 03, 2021",GSW vs. PHX,9,9,6,9,2,1,1,3
26,0022100316,"NOV 30, 2021",GSW @ PHX,8,5,0,11,5,0,0,1
27,0022100300,"NOV 28, 2021",GSW @ LAC,8,7,2,4,4,0,0,0
28,0022100290,"NOV 26, 2021",GSW vs. POR,12,12,2,8,6,0,1,3
29,0022100278,"NOV 24, 2021",GSW vs. PHI,10,7,1,9,4,0,1,0
30,0022100252,"NOV 21, 2021",GSW vs. TOR,4,8,0,14,1,0,1,1
31,0022100224,"NOV 18, 2021",GSW @ CLE,4,14,1,2,2,0,1,1
32,0022100210,"NOV 16, 2021",GSW @ BKN,11,8,1,6,3,1,2,0
33,0022100194,"NOV 14, 2021",GSW @ CHA,11,6,0,6,3,1,2,2
34,0022100183,"NOV 12, 2021",GSW vs. CHI,9,7,1,9,2,1,1,0
35,0022100169,"NOV 10, 2021",GSW vs. MIN,7,6,2,5,3,0,1,1
36,0022100152,"NOV 08, 2021",GSW vs. ATL,4,9,2,7,3,0,1,0
37,0022100145,"NOV 07, 2021",GSW vs. HOU,6,9,0,8,6,0,1,1
38,0022100130,"NOV 05, 2021",GSW vs. NOP,8,5,1,8,0,0,2,1
39,0022100117,"NOV 03, 2021",GSW vs. CHA,5,8,1,10,3,0,0,0
40,0022100086,"OCT 30, 2021",GSW vs. OKC,14,8,0,11,2,1,2,1
41,0022100070,"OCT 28, 2021",GSW vs. MEM,4,7,3,12,5,0,0,5
42,0022100051,"OCT 26, 2021",GSW @ OKC,8,8,3,9,4,1,1,1
43,0022100039,"OCT 24, 2021",GSW @ SAC,14,6,0,6,1,1,2,0
44,0022100016,"OCT 21, 2021",GSW vs. LAC,10,7,1,6,1,0,0,0
45,0022100002,"OCT 19, 2021",GSW @ LAL,6,6,1,8,5,0,0,0
