,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001069,"MAY 16, 2021",MIA @ DET,15,10,2,6,3,3,7,0
1,0022001062,"MAY 15, 2021",MIA @ MIL,0,1,0,0,0,0,0,0
2,0022001050,"MAY 13, 2021",MIA vs. PHI,0,0,0,0,1,0,1,0
3,0022000986,"MAY 04, 2021",MIA vs. DAL,14,1,0,1,0,4,5,0
4,0022000969,"MAY 02, 2021",MIA @ CHA,3,0,0,0,0,1,1,0
5,0022000960,"MAY 01, 2021",MIA @ CLE,0,0,0,1,0,0,0,0
6,0022000938,"APR 28, 2021",MIA vs. SAS,0,1,0,1,0,0,1,0
7,0022000922,"APR 26, 2021",MIA vs. CHI,3,0,2,0,2,1,5,0
8,0022000907,"APR 24, 2021",MIA vs. CHI,2,1,0,3,0,0,3,0
9,0022000888,"APR 21, 2021",MIA @ SAS,3,0,0,1,0,1,1,0
10,0022000871,"APR 19, 2021",MIA vs. HOU,0,0,0,0,0,0,0,0
11,0022000852,"APR 16, 2021",MIA @ MIN,3,0,0,2,1,1,2,0
12,0022000838,"APR 14, 2021",MIA @ DEN,8,0,0,1,0,2,4,0
13,0022000827,"APR 13, 2021",MIA @ PHX,0,0,0,0,0,0,1,0
14,0022000773,"APR 06, 2021",MIA vs. MEM,0,2,0,1,0,0,0,0
15,0022000749,"APR 03, 2021",MIA vs. CLE,2,0,0,0,0,0,0,0
16,0022000733,"APR 01, 2021",MIA vs. GSW,0,2,1,0,0,0,2,0
17,0022000722,"MAR 31, 2021",MIA @ IND,3,0,0,0,0,0,4,0
18,0022000710,"MAR 29, 2021",MIA @ NYK,5,0,1,3,0,1,2,0
19,0022000686,"MAR 26, 2021",MIA @ CHA,3,1,2,0,3,1,5,0
20,0022000678,"MAR 25, 2021",MIA vs. POR,8,9,0,2,2,2,6,0
21,0022000664,"MAR 23, 2021",MIA vs. PHX,6,4,0,3,0,2,3,0
22,0022000645,"MAR 21, 2021",MIA vs. IND,9,3,1,2,2,3,4,0
23,0022000632,"MAR 19, 2021",MIA vs. IND,9,1,0,2,0,1,3,0
24,0022000610,"MAR 16, 2021",MIA vs. CLE,0,0,0,0,0,0,0,0
25,0022000538,"MAR 02, 2021",MIA vs. ATL,9,1,1,0,1,1,5,0
26,0022000522,"FEB 28, 2021",MIA vs. ATL,7,1,1,2,0,1,4,1
27,0022000507,"FEB 26, 2021",MIA vs. UTA,3,1,0,2,0,1,2,0
28,0022000492,"FEB 24, 2021",MIA vs. TOR,11,0,1,0,0,3,5,0
29,0022000475,"FEB 22, 2021",MIA @ OKC,2,1,0,0,1,0,1,0
30,0022000463,"FEB 20, 2021",MIA @ LAL,0,0,1,2,0,0,1,0
31,0022000447,"FEB 18, 2021",MIA @ SAC,0,0,0,0,0,0,0,0
32,0022000443,"FEB 17, 2021",MIA @ GSW,2,1,1,0,0,0,1,0
33,0022000410,"FEB 13, 2021",MIA @ UTA,0,0,0,0,0,0,0,0
34,0022000392,"FEB 11, 2021",MIA @ HOU,2,1,0,1,0,0,4,0
35,0022000376,"FEB 09, 2021",MIA vs. NYK,3,0,0,1,0,1,2,0
36,0022000364,"FEB 07, 2021",MIA @ NYK,5,0,1,0,0,1,2,0
37,0022000347,"FEB 05, 2021",MIA vs. WAS,0,0,0,0,0,0,0,0
38,0022000301,"JAN 30, 2021",MIA vs. SAC,3,0,0,0,0,1,1,0
39,0022000285,"JAN 28, 2021",MIA vs. LAC,18,4,2,4,4,2,4,0
40,0022000275,"JAN 27, 2021",MIA vs. DEN,3,1,0,0,2,0,3,0
41,0022000260,"JAN 25, 2021",MIA @ BKN,6,1,0,3,0,0,3,0
42,0022000244,"JAN 23, 2021",MIA @ BKN,2,3,0,0,0,0,4,0
43,0022000234,"JAN 22, 2021",MIA @ TOR,8,0,1,2,4,0,5,1
44,0022000220,"JAN 20, 2021",MIA @ TOR,3,2,0,1,0,1,8,0
45,0022000206,"JAN 18, 2021",MIA vs. DET,3,1,0,1,0,1,2,0
46,0022000192,"JAN 16, 2021",MIA vs. DET,4,0,1,2,1,0,4,0
47,0022000174,"JAN 14, 2021",MIA @ PHI,21,8,0,2,5,4,11,0
48,0022000157,"JAN 12, 2021",MIA @ PHI,24,3,2,2,2,4,12,0
49,0022000058,"DEC 30, 2020",MIA vs. MIL,7,2,0,2,0,2,5,0
