,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21201230,"APR 17, 2013",GSW @ POR,8,3,0,10,1,0,1,0
1,21201212,"APR 15, 2013",GSW vs. SAS,11,3,1,7,6,1,3,0
2,21201189,"APR 12, 2013",GSW @ LAL,4,0,0,6,0,0,0,0
3,21201175,"APR 11, 2013",GSW vs. OKC,9,0,1,2,1,1,1,0
4,21201163,"APR 09, 2013",GSW vs. MIN,15,1,0,10,1,1,1,0
5,21201151,"APR 07, 2013",GSW vs. UTA,4,3,0,3,1,0,2,0
6,21201134,"APR 05, 2013",GSW @ PHX,11,0,1,3,2,1,1,0
7,21201122,"APR 03, 2013",GSW vs. NOH,10,0,0,3,2,1,3,0
8,21201094,"MAR 30, 2013",GSW vs. POR,11,1,1,7,1,0,2,1
9,21201069,"MAR 27, 2013",GSW vs. SAC,9,0,2,3,1,1,2,0
10,21201053,"MAR 25, 2013",GSW vs. LAL,10,0,1,5,1,1,2,0
11,21201039,"MAR 23, 2013",GSW vs. WAS,16,0,0,8,2,1,2,0
12,21201016,"MAR 20, 2013",GSW @ SAS,13,1,1,1,1,1,1,0
13,21201001,"MAR 18, 2013",GSW @ NOH,7,0,0,2,0,0,0,0
14,21200988,"MAR 17, 2013",GSW @ HOU,9,0,0,5,0,1,2,0
15,21200978,"MAR 15, 2013",GSW vs. CHI,12,1,2,4,2,0,1,0
16,21200966,"MAR 13, 2013",GSW vs. DET,13,0,0,2,1,0,1,1
17,21200947,"MAR 11, 2013",GSW vs. NYK,5,1,0,1,0,0,0,0
18,21200933,"MAR 09, 2013",GSW vs. MIL,10,1,1,5,1,1,1,0
19,21200926,"MAR 08, 2013",GSW vs. HOU,6,0,1,3,3,0,2,0
20,21200912,"MAR 06, 2013",GSW vs. SAC,14,1,0,4,1,0,2,0
21,21200895,"MAR 04, 2013",GSW vs. TOR,12,1,1,2,1,1,2,2
22,21200876,"MAR 02, 2013",GSW @ PHI,5,1,2,3,2,0,1,0
23,21200867,"MAR 01, 2013",GSW @ BOS,16,0,3,6,2,0,2,0
24,21200853,"FEB 27, 2013",GSW @ NYK,3,0,0,3,2,1,1,0
25,21200844,"FEB 26, 2013",GSW @ IND,9,1,0,2,2,1,1,0
26,21200832,"FEB 24, 2013",GSW @ MIN,7,0,0,2,0,0,1,0
27,21200822,"FEB 22, 2013",GSW vs. SAS,7,3,0,4,2,0,2,0
28,21200808,"FEB 20, 2013",GSW vs. PHX,3,0,1,3,0,1,2,0
29,21200795,"FEB 19, 2013",GSW @ UTA,3,0,1,0,1,0,2,0
30,21200774,"FEB 12, 2013",GSW vs. HOU,7,1,0,2,2,0,1,1
31,21200750,"FEB 09, 2013",GSW @ DAL,12,0,0,2,0,2,3,0
32,21200742,"FEB 08, 2013",GSW @ MEM,6,4,0,7,2,0,2,0
33,21200729,"FEB 06, 2013",GSW @ OKC,19,0,1,0,0,2,2,0
34,21200718,"FEB 05, 2013",GSW @ HOU,7,0,0,1,1,0,1,0
35,21200704,"FEB 02, 2013",GSW vs. PHX,21,1,0,8,2,0,0,0
36,21200683,"JAN 31, 2013",GSW vs. DAL,12,5,1,4,0,0,2,0
37,21200659,"JAN 28, 2013",GSW @ TOR,14,2,0,5,0,0,1,0
38,21200647,"JAN 26, 2013",GSW @ MIL,7,0,1,1,2,1,2,0
39,21200636,"JAN 25, 2013",GSW @ CHI,3,3,1,5,2,0,2,0
40,21200628,"JAN 23, 2013",GSW vs. OKC,2,2,1,7,1,0,1,0
41,21200610,"JAN 21, 2013",GSW vs. LAC,9,1,0,2,1,1,1,0
42,21200596,"JAN 19, 2013",GSW @ NOH,2,2,1,1,4,0,1,0
