,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101229,"APR 10, 2022",SAC @ PHX,2,1,0,1,0,0,0,0
1,0022101212,"APR 09, 2022",SAC @ LAC,3,0,0,5,0,1,3,0
2,0022101188,"APR 05, 2022",SAC vs. NOP,12,1,0,6,0,0,5,0
3,0022101176,"APR 03, 2022",SAC vs. GSW,18,1,1,10,2,1,8,0
4,0022101154,"APR 01, 2022",SAC @ HOU,25,3,0,2,1,4,6,0
5,0022101142,"MAR 30, 2022",SAC @ HOU,13,1,0,2,0,1,4,1
6,0022101125,"MAR 28, 2022",SAC @ MIA,17,3,0,2,2,3,8,0
7,0022101108,"MAR 26, 2022",SAC @ ORL,19,5,2,7,3,2,6,0
8,0022101086,"MAR 23, 2022",SAC @ IND,11,1,2,5,2,1,4,0
9,0022101066,"MAR 20, 2022",SAC vs. PHX,21,3,0,4,2,1,5,0
10,0022101057,"MAR 18, 2022",SAC vs. BOS,0,1,0,2,0,0,2,0
11,0022101043,"MAR 16, 2022",SAC vs. MIL,10,1,0,3,1,1,3,1
12,0022101026,"MAR 14, 2022",SAC vs. CHI,6,6,1,6,2,0,4,2
13,0022101010,"MAR 12, 2022",SAC @ UTA,18,2,1,4,1,2,5,0
14,0022100991,"MAR 09, 2022",SAC vs. DEN,17,5,0,5,1,3,7,0
15,0022100974,"MAR 07, 2022",SAC vs. NYK,23,1,0,3,1,3,4,0
16,0022100954,"MAR 05, 2022",SAC @ DAL,9,3,2,4,3,1,3,0
17,0022100944,"MAR 03, 2022",SAC @ SAS,27,2,0,5,4,4,5,1
18,0022100937,"MAR 02, 2022",SAC @ NOP,19,1,1,4,1,3,6,0
19,0022100925,"FEB 28, 2022",SAC @ OKC,23,2,2,5,2,1,3,0
20,0022100911,"FEB 26, 2022",SAC @ DEN,24,3,0,5,1,1,3,0
21,0022100895,"FEB 24, 2022",SAC vs. DEN,14,4,2,7,2,1,2,0
22,0022100878,"FEB 16, 2022",SAC @ CHI,17,1,1,4,2,2,3,0
23,0022100859,"FEB 14, 2022",SAC @ BKN,6,2,0,7,2,0,3,0
24,0022100847,"FEB 12, 2022",SAC @ WAS,21,2,1,5,1,0,1,0
25,0022100830,"FEB 09, 2022",SAC vs. MIN,30,3,0,8,1,4,5,0
26,0022100824,"FEB 08, 2022",SAC vs. MIN,21,3,1,6,0,1,3,0
27,0022100801,"FEB 05, 2022",SAC vs. OKC,24,5,3,9,0,2,6,0
28,0022100785,"FEB 03, 2022",SAC @ GSW,25,3,1,5,3,1,3,0
29,0022100780,"FEB 02, 2022",SAC vs. BKN,19,4,1,7,3,3,5,0
30,0022100763,"JAN 31, 2022",SAC @ NYK,11,2,1,5,3,1,4,0
31,0022100747,"JAN 29, 2022",SAC @ PHI,16,5,0,8,1,2,7,0
32,0022100725,"JAN 26, 2022",SAC @ ATL,28,2,0,9,1,3,5,0
33,0022100717,"JAN 25, 2022",SAC @ BOS,4,2,0,4,0,0,6,0
34,0022100696,"JAN 22, 2022",SAC @ MIL,29,3,0,6,0,3,6,0
35,0022100679,"JAN 19, 2022",SAC vs. DET,20,0,0,2,1,1,4,0
36,0022100651,"JAN 16, 2022",SAC vs. HOU,12,3,2,2,1,1,5,0
37,0022100640,"JAN 14, 2022",SAC vs. HOU,16,6,0,9,3,2,5,0
38,0022100626,"JAN 12, 2022",SAC vs. LAL,23,2,0,7,0,3,6,1
39,0022100611,"JAN 10, 2022",SAC vs. CLE,14,2,1,3,0,3,5,0
40,0022100605,"JAN 09, 2022",SAC @ POR,13,2,1,7,1,2,5,1
41,0022100588,"JAN 07, 2022",SAC @ DEN,9,2,0,9,1,1,3,0
42,0022100577,"JAN 05, 2022",SAC vs. ATL,8,2,0,7,2,2,4,0
43,0022100566,"JAN 04, 2022",SAC @ LAL,14,5,0,6,0,3,6,0
44,0022100548,"JAN 02, 2022",SAC vs. MIA,10,0,1,2,4,2,4,2
45,0022100531,"DEC 31, 2021",SAC vs. DAL,11,1,0,2,0,2,4,0
46,0022100524,"DEC 29, 2021",SAC vs. DAL,14,1,0,6,1,2,4,0
47,0022100515,"DEC 28, 2021",SAC vs. OKC,17,1,0,4,2,5,9,1
48,0022100496,"DEC 26, 2021",SAC vs. MEM,12,3,1,7,2,3,5,1
49,0022100475,"DEC 22, 2021",SAC vs. LAC,18,2,1,4,4,3,8,0
50,0022100462,"DEC 20, 2021",SAC @ GSW,19,3,0,6,1,4,7,0
51,0022100451,"DEC 19, 2021",SAC vs. SAS,14,3,0,7,0,1,3,0
52,0022100440,"DEC 17, 2021",SAC vs. MEM,20,4,1,4,1,3,7,0
53,0022100427,"DEC 15, 2021",SAC vs. WAS,19,3,1,5,1,1,4,0
54,0022100406,"DEC 13, 2021",SAC @ TOR,3,2,0,4,1,1,5,0
55,0022100393,"DEC 11, 2021",SAC @ CLE,12,3,1,3,3,0,2,0
56,0022100382,"DEC 10, 2021",SAC @ CHA,8,0,0,5,2,2,5,0
57,0022100377,"DEC 08, 2021",SAC vs. ORL,16,3,1,5,0,2,4,0
58,0022100279,"NOV 24, 2021",SAC vs. POR,13,1,0,3,1,1,3,0
59,0022100262,"NOV 22, 2021",SAC vs. PHI,10,3,1,5,4,1,5,0
60,0022100247,"NOV 20, 2021",SAC vs. UTA,18,5,1,8,2,1,3,1
61,0022100238,"NOV 19, 2021",SAC vs. TOR,14,3,1,1,4,0,2,0
62,0022100220,"NOV 17, 2021",SAC @ MIN,13,2,1,5,2,1,2,1
63,0022100200,"NOV 15, 2021",SAC @ DET,15,1,1,6,1,1,3,0
64,0022100180,"NOV 12, 2021",SAC @ OKC,21,0,0,5,1,1,2,0
65,0022100166,"NOV 10, 2021",SAC @ SAS,9,1,2,7,1,1,4,1
