Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300552,"JAN 14, 2024",SAC @ MIL,14,1,1,1,0,9,6,1,4,0,1,1,-1,16,15,2,15,1
0022300532,"JAN 12, 2024",SAC @ PHI,4,0,1,2,1,5,1,0,4,0,2,2,-11,6,4,2,6,1
0022300518,"JAN 10, 2024",SAC @ CHA,6,1,0,2,1,4,2,2,4,0,0,0,-3,9,7,3,8,0
0022300512,"JAN 09, 2024",SAC @ DET,0,1,0,1,0,1,0,0,0,0,2,0,-9,2,1,2,1,0
0022300500,"JAN 07, 2024",SAC vs. NOP,10,0,1,1,0,9,4,2,5,0,0,0,-13,11,10,1,11,1
0022300492,"JAN 05, 2024",SAC vs. TOR,16,2,0,4,1,12,5,5,8,0,2,1,2,22,18,6,20,0
0022300476,"JAN 03, 2024",SAC vs. ORL,17,1,1,3,0,9,5,4,6,0,5,3,1,21,18,4,20,1
0022300464,"JAN 02, 2024",SAC vs. CHA,3,1,2,1,1,2,1,1,2,0,0,0,1,5,4,2,4,2
0022300449,"DEC 31, 2023",SAC @ MEM,11,0,0,2,1,8,4,2,5,1,1,1,8,13,11,2,13,1
0022300431,"DEC 29, 2023",SAC @ ATL,2,0,0,0,0,2,0,0,2,0,2,2,-4,2,2,0,2,0
0022300413,"DEC 26, 2023",SAC @ POR,9,1,1,5,2,8,3,0,3,0,3,3,-9,15,10,6,14,1
0022300400,"DEC 23, 2023",SAC vs. MIN,12,1,0,3,0,6,3,0,2,0,6,6,-12,16,13,4,15,0
0022300387,"DEC 22, 2023",SAC vs. PHX,19,0,2,1,0,10,5,4,8,1,6,5,16,20,19,1,20,3
0022300373,"DEC 20, 2023",SAC vs. BOS,10,3,0,4,0,5,3,2,2,0,4,2,-21,17,13,7,14,0
0022300358,"DEC 18, 2023",SAC vs. WAS,19,0,1,0,1,11,8,2,4,0,1,1,22,19,19,0,19,1
0022300342,"DEC 16, 2023",SAC vs. UTA,16,2,1,4,0,11,6,3,5,0,1,1,5,22,18,6,20,1
0022300324,"DEC 14, 2023",SAC vs. OKC,5,2,0,3,2,7,2,1,4,0,0,0,-9,10,7,5,8,0
0022300309,"DEC 12, 2023",SAC @ LAC,2,1,0,1,0,3,1,0,2,0,0,0,-13,4,3,2,3,0
0022300303,"DEC 11, 2023",SAC vs. BKN,14,1,0,2,1,7,5,3,4,1,1,1,22,17,15,3,16,1
0022301228,"DEC 08, 2023",SAC @ PHX,9,2,1,8,0,11,3,1,4,0,3,2,8,19,11,10,17,1
0022301204,"DEC 04, 2023",SAC vs. NOP,4,1,1,4,2,3,1,1,3,1,2,1,-11,9,5,5,8,2
0022300290,"DEC 02, 2023",SAC vs. DEN,11,0,0,3,0,9,5,1,2,0,0,0,11,14,11,3,14,0
0022300264,"NOV 29, 2023",SAC vs. LAC,9,4,1,5,0,7,3,1,3,0,2,2,-9,18,13,9,14,1
0022300060,"NOV 28, 2023",SAC vs. GSW,12,1,1,4,1,8,5,2,5,1,0,0,-10,17,13,5,16,2
0022300050,"NOV 24, 2023",SAC @ MIN,18,2,1,4,2,11,7,2,4,0,2,2,5,24,20,6,22,1
0022300233,"NOV 22, 2023",SAC @ NOP,22,0,0,3,0,13,6,4,9,0,6,6,-6,25,22,3,25,0
0022300222,"NOV 20, 2023",SAC @ NOP,16,0,1,4,0,9,4,3,6,0,6,5,-23,20,16,4,20,1
0022300212,"NOV 19, 2023",SAC @ DAL,12,6,1,4,3,11,4,1,7,0,3,3,17,22,18,10,16,1
0022300032,"NOV 17, 2023",SAC @ SAS,7,1,1,2,1,7,2,1,6,0,3,2,5,10,8,3,9,1
0022300198,"NOV 15, 2023",SAC @ LAL,13,2,4,1,2,10,5,3,6,0,0,0,16,16,15,3,14,4
0022300191,"NOV 13, 2023",SAC vs. CLE,4,3,0,5,1,4,2,0,2,0,0,0,8,12,7,8,9,0
0022300016,"NOV 10, 2023",SAC vs. OKC,4,1,0,4,1,8,1,0,4,0,2,2,7,9,5,5,8,0
0022300170,"NOV 08, 2023",SAC vs. POR,12,0,1,5,1,8,5,2,5,0,0,0,-1,17,12,5,17,1
0022300153,"NOV 06, 2023",SAC @ HOU,3,1,0,0,0,6,1,0,4,0,2,1,-21,4,4,1,3,0
0022300137,"NOV 04, 2023",SAC @ HOU,13,0,0,3,0,7,3,3,4,0,5,4,-19,16,13,3,16,0
0022300126,"NOV 01, 2023",SAC @ GSW,14,1,1,1,1,8,4,4,7,0,2,2,2,16,15,2,15,1
0022300100,"OCT 29, 2023",SAC vs. LAL,8,2,0,2,0,9,3,0,4,1,2,2,-4,12,10,4,10,1
0022300087,"OCT 27, 2023",SAC vs. GSW,10,1,1,4,0,5,4,1,2,0,4,1,-9,15,11,5,14,1
0022300072,"OCT 25, 2023",SAC @ UTA,33,2,1,4,1,16,11,5,7,0,6,6,10,39,35,6,37,1
