Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST
0022300537,"JAN 12, 2024",LAC @ MEM,6,0,0,11,0,5,2,0,0,2,2,2,6,17,6,11
0022300526,"JAN 10, 2024",LAC vs. TOR,12,3,0,11,2,8,6,0,0,1,0,0,1,26,15,14
0022300511,"JAN 08, 2024",LAC vs. PHX,19,3,1,8,0,9,8,0,0,1,6,3,14,30,22,11
0022300505,"JAN 07, 2024",LAC @ LAL,22,1,0,19,2,13,9,0,0,1,4,4,1,42,23,20
0022300486,"JAN 05, 2024",LAC @ NOP,15,2,0,8,1,7,6,0,0,2,4,3,18,25,17,10
0022300473,"JAN 03, 2024",LAC @ PHX,6,2,0,3,0,4,2,0,0,2,2,2,1,11,8,5
0022300458,"JAN 01, 2024",LAC vs. MIA,6,1,0,12,1,4,3,0,0,0,0,0,28,19,7,13
0022300438,"DEC 29, 2023",LAC vs. MEM,15,1,0,20,2,8,7,0,0,1,1,1,9,36,16,21
0022300414,"DEC 26, 2023",LAC vs. CHA,18,4,1,14,2,11,7,0,0,1,8,4,13,36,22,18
0022300389,"DEC 23, 2023",LAC vs. BOS,16,0,0,10,2,9,7,0,0,1,2,2,-28,26,16,10
0022300379,"DEC 21, 2023",LAC @ OKC,6,3,0,3,0,4,3,0,0,0,0,0,-3,12,9,6
0022300372,"DEC 20, 2023",LAC @ DAL,12,0,1,9,1,6,5,0,0,0,2,2,0,21,12,9
0022300350,"DEC 18, 2023",LAC @ IND,18,3,0,16,0,10,7,0,0,3,5,4,27,37,21,19
0022300343,"DEC 16, 2023",LAC vs. NYK,13,2,1,11,0,9,5,0,0,2,4,3,29,26,15,13
0022300325,"DEC 14, 2023",LAC vs. GSW,10,2,0,8,3,10,5,0,0,2,0,0,-3,20,12,10
0022300309,"DEC 12, 2023",LAC vs. SAC,6,0,0,9,1,5,3,0,0,0,1,0,17,15,6,9
0022300304,"DEC 11, 2023",LAC vs. POR,18,2,0,6,0,13,9,0,0,2,0,0,2,26,20,8
0022301225,"DEC 08, 2023",LAC @ UTA,18,3,0,12,1,15,9,0,0,2,0,0,13,33,21,15
0022301215,"DEC 06, 2023",LAC vs. DEN,10,0,2,9,0,7,4,0,0,1,6,2,-6,19,10,9
0022300280,"DEC 02, 2023",LAC vs. GSW,12,1,0,7,3,6,6,0,0,3,0,0,1,20,13,8
0022300273,"NOV 30, 2023",LAC @ GSW,18,0,0,13,0,11,7,0,0,1,5,4,7,31,18,13
0022300264,"NOV 29, 2023",LAC @ SAC,14,3,0,8,0,12,7,0,0,3,0,0,23,25,17,11
0022300257,"NOV 27, 2023",LAC vs. DEN,23,1,0,14,1,15,9,0,0,1,8,5,-6,38,24,15
0022300244,"NOV 25, 2023",LAC vs. DAL,11,1,0,14,1,8,5,0,0,0,5,1,18,26,12,15
0022300052,"NOV 24, 2023",LAC vs. NOP,11,0,0,5,4,6,5,0,0,1,1,1,-18,16,11,5
0022300235,"NOV 22, 2023",LAC @ SAS,12,1,0,8,0,7,5,0,0,0,2,2,-4,21,13,9
0022300223,"NOV 20, 2023",LAC @ SAS,8,0,0,11,1,5,3,0,0,1,2,2,4,19,8,11
0022300037,"NOV 17, 2023",LAC vs. HOU,12,2,0,7,1,8,6,0,0,2,2,0,12,21,14,9
0022300024,"NOV 14, 2023",LAC @ DEN,9,3,0,13,0,8,2,0,0,1,6,5,-3,25,12,16
0022300179,"NOV 12, 2023",LAC vs. MEM,6,1,1,6,1,4,2,0,0,0,2,2,-6,13,7,7
0022300014,"NOV 10, 2023",LAC @ DAL,12,1,0,8,1,9,5,0,0,2,4,2,1,21,13,9
0022300160,"NOV 08, 2023",LAC @ BKN,10,1,0,10,1,9,5,0,0,3,0,0,-11,21,11,11
0022300151,"NOV 06, 2023",LAC @ NYK,8,0,1,7,5,3,3,0,0,2,4,2,-18,15,8,7
0022300127,"NOV 01, 2023",LAC @ LAL,7,0,0,9,1,8,3,0,0,0,2,1,-6,16,7,9
0022300114,"OCT 31, 2023",LAC vs. ORL,9,1,0,9,1,8,4,0,0,1,2,1,19,19,10,10
0022300099,"OCT 29, 2023",LAC vs. SAS,16,0,0,8,1,7,6,0,0,1,6,4,23,24,16,8
0022300085,"OCT 27, 2023",LAC @ UTA,6,0,0,2,1,6,3,0,0,2,2,0,1,8,6,2
0022300074,"OCT 25, 2023",LAC vs. POR,20,0,0,12,2,10,8,0,0,4,5,4,25,32,20,12
