,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21901311,"AUG 13, 2020",MEM vs. MIL,12,10,0,13,6,0,4,0
1,21901301,"AUG 11, 2020",MEM vs. BOS,26,13,1,4,3,1,4,2
2,21901286,"AUG 09, 2020",MEM @ TOR,17,10,0,4,4,2,4,1
3,21901275,"AUG 07, 2020",MEM vs. OKC,19,9,0,4,5,2,6,0
4,21901262,"AUG 05, 2020",MEM @ UTA,20,9,2,6,4,2,3,0
5,21901253,"AUG 03, 2020",MEM @ NOP,11,8,0,5,1,1,10,0
6,21901246,"AUG 02, 2020",MEM vs. SAS,25,9,0,9,3,0,2,0
7,21901234,"JUL 31, 2020",MEM @ POR,22,11,1,6,3,1,7,0
8,21900964,"MAR 10, 2020",MEM vs. ORL,21,5,1,4,5,1,5,0
9,21900943,"MAR 07, 2020",MEM vs. ATL,24,6,2,5,6,4,4,1
10,21900937,"MAR 06, 2020",MEM @ DAL,11,8,0,4,6,1,3,0
11,21900920,"MAR 04, 2020",MEM @ BKN,15,5,1,7,0,1,2,0
12,21900905,"MAR 02, 2020",MEM @ ATL,13,5,0,4,0,0,0,1
13,21900891,"FEB 29, 2020",MEM vs. LAL,27,14,1,6,3,4,6,0
14,21900881,"FEB 28, 2020",MEM vs. SAC,20,11,0,3,2,1,5,0
15,21900870,"FEB 26, 2020",MEM @ HOU,12,9,1,3,3,1,4,0
16,21900856,"FEB 24, 2020",MEM @ LAC,16,1,0,0,2,0,3,0
17,21900833,"FEB 21, 2020",MEM @ LAL,17,3,0,1,5,0,0,0
18,21900824,"FEB 20, 2020",MEM @ SAC,19,2,0,1,5,0,1,0
19,21900812,"FEB 12, 2020",MEM vs. POR,20,9,1,5,2,0,5,0
20,21900789,"FEB 09, 2020",MEM @ WAS,27,10,1,10,3,2,7,1
21,21900769,"FEB 07, 2020",MEM @ PHI,15,6,0,3,4,0,1,0
22,21900761,"FEB 05, 2020",MEM @ DAL,21,3,0,1,2,1,2,0
23,21900748,"FEB 03, 2020",MEM vs. DET,12,7,0,4,6,0,1,0
24,21900723,"JAN 31, 2020",MEM @ NOP,16,3,0,1,2,1,3,0
25,21900710,"JAN 29, 2020",MEM @ NYK,18,10,2,3,0,0,0,1
26,21900704,"JAN 28, 2020",MEM vs. DEN,14,7,4,6,3,0,0,0
27,21900690,"JAN 26, 2020",MEM vs. PHX,23,8,1,5,3,0,1,0
28,21900670,"JAN 24, 2020",MEM @ DET,16,12,0,2,5,0,1,0
29,21900657,"JAN 22, 2020",MEM @ BOS,2,5,0,1,2,0,1,0
30,21900646,"JAN 20, 2020",MEM vs. NOP,16,9,1,3,2,1,2,0
31,21900622,"JAN 17, 2020",MEM vs. CLE,16,8,3,5,5,0,1,1
32,21900600,"JAN 14, 2020",MEM vs. HOU,26,8,1,5,2,3,4,1
33,21900588,"JAN 12, 2020",MEM vs. GSW,11,10,1,7,5,1,2,0
34,21900571,"JAN 10, 2020",MEM vs. SAS,22,14,2,7,2,0,2,0
35,21900551,"JAN 07, 2020",MEM vs. MIN,25,7,1,4,5,0,1,0
