,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801227,"APR 10, 2019",DAL @ SAS,11,10,0,3,4,1,4,0
1,21801216,"APR 09, 2019",DAL vs. PHX,9,2,0,4,0,0,2,0
2,21801201,"APR 07, 2019",DAL @ MEM,12,10,1,2,1,0,2,0
3,21801172,"APR 03, 2019",DAL vs. MIN,9,3,0,3,2,1,4,0
4,21801158,"APR 01, 2019",DAL vs. PHI,13,7,0,0,0,1,2,0
5,21801146,"MAR 31, 2019",DAL @ OKC,18,4,1,2,3,1,4,0
6,21801124,"MAR 28, 2019",DAL @ MIA,13,4,1,3,2,2,5,0
7,21801114,"MAR 26, 2019",DAL vs. SAC,15,3,0,0,2,3,4,0
8,21801092,"MAR 23, 2019",DAL @ GSW,11,5,0,4,0,1,4,0
9,21801078,"MAR 21, 2019",DAL @ SAC,10,2,0,3,1,0,4,0
10,21801073,"MAR 20, 2019",DAL @ POR,16,3,2,2,0,0,1,0
11,21801056,"MAR 18, 2019",DAL vs. NOP,14,4,1,3,3,1,3,1
12,21801037,"MAR 16, 2019",DAL vs. CLE,16,7,0,2,1,2,2,0
13,21801025,"MAR 14, 2019",DAL @ DEN,20,4,1,5,2,3,7,0
14,21801011,"MAR 12, 2019",DAL vs. SAS,34,4,1,5,1,3,6,0
15,21800997,"MAR 10, 2019",DAL vs. HOU,18,4,0,7,5,1,3,0
16,21800978,"MAR 08, 2019",DAL @ ORL,18,9,0,2,2,1,3,0
17,21800967,"MAR 06, 2019",DAL @ WAS,11,8,1,1,1,2,7,0
18,21800952,"MAR 04, 2019",DAL @ BKN,10,1,0,3,2,0,1,0
19,21800939,"MAR 02, 2019",DAL vs. MEM,2,2,1,4,0,0,5,0
20,21800918,"FEB 27, 2019",DAL vs. IND,24,5,3,3,2,3,6,0
21,21800907,"FEB 25, 2019",DAL @ LAC,8,3,0,1,0,0,2,0
22,21800893,"FEB 23, 2019",DAL @ UTA,13,2,0,5,1,3,5,0
23,21800880,"FEB 22, 2019",DAL vs. DEN,22,5,1,2,6,3,5,1
24,21800859,"FEB 13, 2019",DAL vs. MIA,6,4,0,4,0,0,2,0
25,21800844,"FEB 11, 2019",DAL @ HOU,13,1,0,5,4,3,3,0
26,21800834,"FEB 10, 2019",DAL vs. POR,5,7,1,2,4,1,3,1
27,21800821,"FEB 08, 2019",DAL vs. MIL,5,3,0,3,1,1,3,0
28,21800807,"FEB 06, 2019",DAL vs. CHA,8,5,2,7,1,0,2,0
29,21800780,"FEB 02, 2019",DAL @ CLE,15,4,0,6,2,1,4,0
30,21800764,"JAN 31, 2019",DAL @ DET,9,6,0,2,2,0,0,0
31,21800758,"JAN 30, 2019",DAL @ NYK,3,3,0,3,0,1,1,0
32,21800739,"JAN 27, 2019",DAL vs. TOR,4,1,0,1,0,0,0,0
33,21800704,"JAN 22, 2019",DAL vs. LAC,0,0,0,0,0,0,0,0
34,21800694,"JAN 21, 2019",DAL @ MIL,16,5,0,3,1,2,3,0
35,21800681,"JAN 19, 2019",DAL @ IND,12,4,0,3,2,1,3,0
36,21800661,"JAN 16, 2019",DAL vs. SAS,6,3,0,1,2,0,2,0
37,21800642,"JAN 13, 2019",DAL vs. GSW,12,1,0,4,2,2,3,1
38,21800626,"JAN 11, 2019",DAL @ MIN,9,2,1,0,0,3,3,0
39,21800613,"JAN 09, 2019",DAL vs. PHX,7,1,0,0,1,1,2,0
40,21800578,"JAN 05, 2019",DAL @ PHI,13,8,1,11,2,1,3,0
41,21800566,"JAN 04, 2019",DAL @ BOS,0,1,0,0,0,0,0,0
42,21800554,"JAN 02, 2019",DAL @ CHA,2,4,0,0,0,0,2,0
43,21800547,"DEC 31, 2018",DAL @ OKC,2,3,0,0,1,0,0,0
44,21800495,"DEC 23, 2018",DAL @ POR,11,3,1,6,2,1,3,0
45,21800484,"DEC 22, 2018",DAL @ GSW,10,3,3,2,3,2,3,0
46,21800468,"DEC 20, 2018",DAL @ LAC,7,2,0,3,1,1,2,0
47,21800454,"DEC 18, 2018",DAL @ DEN,8,1,0,0,0,0,1,0
48,21800440,"DEC 16, 2018",DAL vs. SAC,12,3,0,4,2,0,4,0
49,21800419,"DEC 13, 2018",DAL @ PHX,13,1,0,1,0,1,3,0
50,21800412,"DEC 12, 2018",DAL vs. ATL,5,2,1,0,0,0,2,0
51,21800397,"DEC 10, 2018",DAL vs. ORL,17,4,1,3,1,1,2,0
52,21800378,"DEC 08, 2018",DAL vs. HOU,14,3,3,0,2,0,1,0
53,21800363,"DEC 05, 2018",DAL @ NOP,11,7,2,2,0,1,3,0
54,21800341,"DEC 02, 2018",DAL vs. LAC,0,0,0,0,0,0,1,0
55,21800328,"NOV 30, 2018",DAL @ LAL,2,1,0,1,0,0,0,0
56,21800309,"NOV 28, 2018",DAL @ HOU,0,0,0,0,1,0,1,0
57,21800283,"NOV 24, 2018",DAL vs. BOS,2,0,0,0,0,0,0,0
58,21800244,"NOV 19, 2018",DAL @ MEM,8,4,1,4,0,0,1,0
59,21800210,"NOV 14, 2018",DAL vs. UTA,9,4,0,2,1,0,0,0
60,21800193,"NOV 12, 2018",DAL @ CHI,2,0,1,3,1,0,0,0
61,21800181,"NOV 10, 2018",DAL vs. OKC,0,1,1,0,1,0,0,0
62,21800160,"NOV 07, 2018",DAL @ UTA,11,2,1,2,2,1,2,0
63,21800150,"NOV 06, 2018",DAL vs. WAS,0,0,0,0,0,0,0,0
64,21800121,"NOV 02, 2018",DAL vs. NYK,0,0,0,1,0,0,0,0
65,21800109,"OCT 31, 2018",DAL @ LAL,4,1,0,1,0,0,0,0
66,21800094,"OCT 29, 2018",DAL @ SAS,6,1,0,0,1,0,2,0
67,21800084,"OCT 28, 2018",DAL vs. UTA,2,1,0,0,0,0,2,0
68,21800069,"OCT 26, 2018",DAL @ TOR,8,4,1,3,2,2,4,0
69,21800052,"OCT 24, 2018",DAL @ ATL,6,1,0,5,1,0,3,0
70,21800044,"OCT 22, 2018",DAL vs. CHI,6,2,1,1,0,2,4,0
71,21800032,"OCT 20, 2018",DAL vs. MIN,7,1,1,0,1,1,4,0
72,21800013,"OCT 17, 2018",DAL @ PHX,3,1,0,1,0,1,3,0
73,21900837,"FEB 22, 2020",DAL @ ATL,2,0,0,0,0,0,0,0
74,21900826,"FEB 21, 2020",DAL @ ORL,4,5,1,1,1,0,1,0
75,21900814,"FEB 12, 2020",DAL vs. SAC,5,2,0,0,2,1,2,0
76,21900798,"FEB 10, 2020",DAL vs. UTA,8,6,0,2,0,0,2,0
77,21900778,"FEB 08, 2020",DAL @ CHA,13,4,0,4,3,3,4,0
78,21900770,"FEB 07, 2020",DAL @ WAS,15,4,0,4,2,1,2,0
79,21900761,"FEB 05, 2020",DAL vs. MEM,20,6,0,2,2,3,7,0
80,21900743,"FEB 03, 2020",DAL @ IND,9,3,0,4,4,0,1,0
