,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101219,"APR 10, 2022",DAL vs. SAS,18,5,0,6,1,3,7,0
1,0022101209,"APR 08, 2022",DAL vs. POR,9,2,0,3,0,1,3,0
2,0022101190,"APR 06, 2022",DAL @ DET,24,3,1,6,0,1,2,0
3,0022101167,"APR 03, 2022",DAL @ MIL,15,1,1,3,1,3,6,0
4,0022101152,"APR 01, 2022",DAL @ WAS,21,2,1,5,1,1,3,0
5,0022101136,"MAR 30, 2022",DAL @ CLE,18,6,0,5,1,1,3,0
6,0022101134,"MAR 29, 2022",DAL vs. LAL,12,3,1,5,0,0,3,0
7,0022101121,"MAR 27, 2022",DAL vs. UTA,22,5,0,10,1,2,4,0
8,0022101104,"MAR 25, 2022",DAL @ MIN,11,1,1,6,1,1,6,0
9,0022101092,"MAR 23, 2022",DAL vs. HOU,28,3,0,4,1,0,2,0
10,0022101079,"MAR 21, 2022",DAL vs. MIN,15,0,0,3,1,1,3,0
11,0022101059,"MAR 19, 2022",DAL @ CHA,10,2,2,2,1,0,2,0
12,0022101046,"MAR 18, 2022",DAL @ PHI,24,4,0,3,0,2,3,0
13,0022101036,"MAR 16, 2022",DAL @ BKN,18,3,0,5,2,1,3,0
14,0022101014,"MAR 13, 2022",DAL @ BOS,14,2,0,4,3,2,4,0
15,0022100988,"MAR 09, 2022",DAL vs. NYK,8,0,1,5,1,0,5,0
16,0022100954,"MAR 05, 2022",DAL vs. SAC,23,6,1,3,1,2,3,0
17,0022100943,"MAR 03, 2022",DAL vs. GSW,14,4,0,3,2,2,2,0
18,0022100931,"MAR 01, 2022",DAL @ LAL,22,4,4,2,1,4,6,0
19,0022100917,"FEB 27, 2022",DAL @ GSW,8,5,1,2,2,0,1,0
20,0022100903,"FEB 25, 2022",DAL @ UTA,8,2,1,2,2,0,1,0
21,0022100886,"FEB 17, 2022",DAL @ NOP,23,6,0,1,2,3,4,0
22,0022100868,"FEB 15, 2022",DAL @ MIA,19,6,2,6,2,3,5,0
23,0022100853,"FEB 12, 2022",DAL vs. LAC,22,3,0,4,2,4,7,0
24,0022100835,"FEB 10, 2022",DAL vs. LAC,11,4,0,5,2,0,3,0
25,0022100820,"FEB 08, 2022",DAL vs. DET,21,4,0,1,1,2,4,0
26,0022100807,"FEB 06, 2022",DAL vs. ATL,22,5,1,5,4,4,5,0
27,0022100791,"FEB 04, 2022",DAL vs. PHI,19,4,0,5,0,1,4,0
28,0022100778,"FEB 02, 2022",DAL vs. OKC,20,4,2,5,6,0,4,0
29,0022100755,"JAN 30, 2022",DAL @ ORL,15,2,0,4,1,2,3,0
30,0022100746,"JAN 29, 2022",DAL vs. IND,13,8,1,2,1,1,2,0
31,0022100732,"JAN 26, 2022",DAL @ POR,20,11,0,6,0,2,3,0
32,0022100720,"JAN 25, 2022",DAL @ GSW,11,5,1,4,2,1,2,1
33,0022100705,"JAN 23, 2022",DAL vs. MEM,13,3,1,1,2,0,1,0
34,0022100682,"JAN 20, 2022",DAL vs. PHX,19,1,0,5,6,1,2,0
35,0022100675,"JAN 19, 2022",DAL vs. TOR,8,4,1,3,1,0,2,0
36,0022100663,"JAN 17, 2022",DAL vs. OKC,14,8,2,5,2,0,3,0
37,0022100650,"JAN 15, 2022",DAL vs. ORL,19,3,2,5,0,1,1,0
38,0022100639,"JAN 14, 2022",DAL @ MEM,15,9,5,5,1,0,0,0
39,0022100622,"JAN 12, 2022",DAL @ NYK,14,6,0,7,1,1,3,0
40,0022100603,"JAN 09, 2022",DAL vs. CHI,17,4,1,4,1,1,2,0
41,0022100586,"JAN 07, 2022",DAL @ HOU,15,10,1,4,2,0,1,0
42,0022100572,"JAN 05, 2022",DAL vs. GSW,15,4,0,2,3,0,3,0
43,0022100558,"JAN 03, 2022",DAL vs. DEN,13,4,2,3,2,2,4,0
44,0022100550,"JAN 02, 2022",DAL @ OKC,12,7,1,1,2,0,1,0
45,0022100531,"DEC 31, 2021",DAL @ SAC,23,8,0,5,3,1,2,0
46,0022100524,"DEC 29, 2021",DAL @ SAC,25,6,1,2,2,2,2,0
47,0022100506,"DEC 27, 2021",DAL @ POR,14,9,1,4,1,0,4,0
48,0022100492,"DEC 25, 2021",DAL @ UTA,27,6,2,2,1,2,5,0
49,0022100481,"DEC 23, 2021",DAL vs. MIL,19,8,0,4,2,2,5,0
50,0022100468,"DEC 21, 2021",DAL vs. MIN,28,6,3,2,2,3,8,1
51,0022100455,"DEC 19, 2021",DAL @ MIN,18,11,0,2,5,2,5,0
52,0022100420,"DEC 15, 2021",DAL vs. LAL,25,9,0,3,2,2,4,0
53,0022100410,"DEC 13, 2021",DAL vs. CHA,13,8,1,2,1,0,1,0
54,0022100400,"DEC 12, 2021",DAL @ OKC,18,3,0,9,2,1,4,0
55,0022100383,"DEC 10, 2021",DAL @ IND,14,1,2,6,2,0,1,0
56,0022100373,"DEC 08, 2021",DAL @ MEM,10,7,1,5,0,0,2,0
57,0022100363,"DEC 07, 2021",DAL vs. BKN,10,3,0,1,0,1,3,0
58,0022100345,"DEC 04, 2021",DAL vs. MEM,15,8,1,3,3,0,2,0
59,0022100338,"DEC 03, 2021",DAL vs. NOP,16,3,1,3,1,0,1,0
60,0022100325,"DEC 01, 2021",DAL @ NOP,17,3,0,0,1,3,4,0
61,0022100310,"NOV 29, 2021",DAL vs. CLE,5,0,0,1,0,0,2,0
62,0022100266,"NOV 23, 2021",DAL @ LAC,4,2,2,1,2,0,0,0
63,0022100248,"NOV 21, 2021",DAL @ LAC,20,8,3,4,3,1,4,0
64,0022100237,"NOV 19, 2021",DAL @ PHX,18,10,1,4,2,1,4,0
65,0022100222,"NOV 17, 2021",DAL @ PHX,18,9,0,9,3,2,4,0
