Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST
0022300534,"JAN 12, 2024",HOU @ DET,28,3,2,4,1,25,9,2,9,1,9,8,7,35,31
0022300523,"JAN 10, 2024",HOU @ CHI,18,8,1,6,2,19,8,2,7,0,1,0,-4,32,26
0022300509,"JAN 08, 2024",HOU @ MIA,11,6,0,5,3,10,2,2,8,0,6,5,-11,22,17
0022300496,"JAN 06, 2024",HOU vs. MIL,16,2,1,4,1,12,5,1,6,0,5,5,4,22,18
0022300485,"JAN 05, 2024",HOU vs. MIN,20,2,0,5,2,16,7,4,8,0,4,2,-9,27,22
0022300469,"JAN 03, 2024",HOU vs. BKN,14,4,0,8,4,15,5,3,9,0,2,1,17,26,18
0022300453,"JAN 01, 2024",HOU vs. DET,22,1,1,5,0,12,6,5,9,0,6,5,20,28,23
0022300434,"DEC 29, 2023",HOU vs. PHI,31,4,0,6,1,19,12,5,9,0,4,2,-7,41,35
0022300418,"DEC 27, 2023",HOU vs. PHX,23,3,1,5,2,20,8,6,12,0,2,1,-17,31,26
0022300409,"DEC 26, 2023",HOU vs. IND,5,2,1,1,0,7,2,0,3,0,2,1,-19,8,7
0022300392,"DEC 23, 2023",HOU @ NOP,9,2,1,4,5,8,2,0,4,0,6,5,-2,15,11
0022300385,"DEC 22, 2023",HOU vs. DAL,17,4,2,6,4,14,5,3,7,0,4,4,35,27,21
0022300371,"DEC 20, 2023",HOU vs. ATL,16,2,1,4,1,19,7,2,7,1,0,0,-7,22,18
0022300349,"DEC 18, 2023",HOU @ CLE,12,3,1,6,2,12,2,1,4,2,7,7,-16,21,15
0022300346,"DEC 17, 2023",HOU @ MIL,16,7,0,2,1,11,6,2,4,0,2,2,-8,25,23
0022300332,"DEC 15, 2023",HOU @ MEM,14,4,0,4,1,12,4,3,7,1,4,3,-2,22,18
0022300314,"DEC 13, 2023",HOU vs. MEM,8,4,0,4,3,12,2,0,5,0,4,4,-1,16,12
0022300298,"DEC 11, 2023",HOU vs. SAS,7,1,0,3,1,10,2,1,4,0,2,2,-14,11,8
0022301224,"DEC 08, 2023",HOU @ DEN,25,1,0,3,1,17,8,2,9,0,9,7,-8,29,26
0022301212,"DEC 06, 2023",HOU vs. OKC,15,1,0,7,3,12,6,1,3,0,2,2,0,23,16
0022300291,"DEC 02, 2023",HOU @ LAL,10,2,0,7,6,15,4,1,6,0,2,1,-6,19,12
0022300263,"NOV 29, 2023",HOU @ DEN,26,9,0,6,2,12,8,5,8,1,6,5,-11,41,35
0022300059,"NOV 28, 2023",HOU @ DAL,12,5,0,3,2,14,5,2,6,1,0,0,5,20,17
0022300048,"NOV 24, 2023",HOU vs. DEN,25,2,3,5,3,18,10,3,8,0,3,2,0,32,27
0022300231,"NOV 22, 2023",HOU vs. MEM,34,4,1,2,1,26,13,3,13,0,5,5,11,40,38
0022300224,"NOV 20, 2023",HOU @ GSW,16,2,0,3,1,15,6,2,9,0,2,2,-13,21,18
0022300216,"NOV 19, 2023",HOU @ LAL,9,3,0,6,4,10,3,2,5,1,3,1,3,18,12
0022300037,"NOV 17, 2023",HOU @ LAC,20,5,0,4,4,16,5,1,6,1,10,9,-10,29,25
0022300182,"NOV 12, 2023",HOU vs. DEN,9,5,1,8,0,13,1,1,4,0,6,6,10,22,14
0022300011,"NOV 10, 2023",HOU vs. NOP,25,1,0,4,1,18,7,2,8,0,10,9,-1,30,26
0022300163,"NOV 08, 2023",HOU vs. LAL,28,3,1,7,1,15,11,5,6,0,4,1,24,38,31
0022300153,"NOV 06, 2023",HOU vs. SAC,23,2,1,2,3,9,5,3,5,1,12,10,13,27,25
0022300137,"NOV 04, 2023",HOU vs. SAC,10,5,0,2,3,10,4,0,2,0,7,2,26,17,15
0022300122,"NOV 01, 2023",HOU vs. CHA,23,3,2,4,1,16,6,4,8,0,7,7,-4,30,26
0022300096,"OCT 29, 2023",HOU vs. GSW,21,1,0,9,4,20,8,1,5,1,5,4,4,31,22
0022300083,"OCT 27, 2023",HOU @ SAS,22,4,0,5,2,20,10,2,6,0,0,0,-3,31,26
0022300066,"OCT 25, 2023",HOU @ ORL,10,0,1,1,4,10,2,0,1,1,7,6,-12,11,10
