,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0,0022300536,"JAN 12, 2024",GSW @ CHI,17,8,1,5,0,13,8,1,5,1,0,0,4,30
1,0022300525,"JAN 10, 2024",GSW vs. NOP,5,2,0,2,1,8,2,1,3,0,0,0,-29,9
2,0022300504,"JAN 07, 2024",GSW vs. TOR,3,1,0,2,1,6,1,0,2,0,2,1,-29,6
3,0022300490,"JAN 05, 2024",GSW vs. DET,3,2,0,2,1,5,1,1,2,0,0,0,-5,7
4,0022300478,"JAN 04, 2024",GSW vs. DEN,11,0,0,3,1,10,5,1,4,1,0,0,-14,14
5,0022300463,"JAN 02, 2024",GSW vs. ORL,10,0,2,3,1,7,4,1,3,0,3,1,-3,13
6,0022300444,"DEC 30, 2023",GSW vs. DAL,14,4,1,5,0,13,5,1,3,1,3,3,-1,23
7,0022300426,"DEC 28, 2023",GSW vs. MIA,11,4,0,2,1,11,4,0,3,0,4,3,5,17
8,0022300402,"DEC 25, 2023",GSW @ DEN,22,2,0,3,2,11,7,2,4,1,6,6,18,27
9,0022300362,"DEC 19, 2023",GSW vs. BOS,6,1,0,7,0,11,2,0,1,0,2,2,-10,14
10,0022300348,"DEC 17, 2023",GSW @ POR,25,2,1,7,0,12,9,4,6,1,4,3,-3,34
11,0022300339,"DEC 16, 2023",GSW vs. BKN,14,1,1,5,0,9,4,1,1,0,5,5,0,20
12,0022300325,"DEC 14, 2023",GSW @ LAC,9,0,0,3,0,9,4,0,4,1,2,1,-7,12
13,0022300308,"DEC 12, 2023",GSW @ PHX,3,1,0,4,3,7,1,1,3,0,0,0,-19,8
14,0022301222,"DEC 08, 2023",GSW @ OKC,12,1,0,6,6,11,4,2,4,0,2,2,-1,19
15,0022301214,"DEC 06, 2023",GSW vs. POR,9,1,0,3,1,12,3,0,1,0,3,3,6,13
16,0022300060,"NOV 28, 2023",GSW @ SAC,29,3,0,10,3,18,11,2,5,0,6,5,-1,42
17,0022300051,"NOV 24, 2023",GSW vs. SAS,10,0,0,4,3,10,4,2,4,0,0,0,-1,14
18,0022300236,"NOV 22, 2023",GSW @ PHX,11,1,0,4,2,11,4,0,3,1,4,3,-14,16
19,0022300224,"NOV 20, 2023",GSW vs. HOU,12,1,0,7,0,10,3,2,3,0,4,4,-3,20
20,0022300207,"NOV 18, 2023",GSW vs. OKC,31,3,1,0,0,19,12,5,8,1,4,2,6,34
21,0022300201,"NOV 16, 2023",GSW vs. OKC,12,2,0,6,5,13,6,0,4,0,0,0,-2,20
22,0022300025,"NOV 14, 2023",GSW vs. MIN,9,0,3,7,4,15,4,1,7,1,0,0,2,16
23,0022300186,"NOV 12, 2023",GSW vs. MIN,6,2,1,4,1,7,3,0,2,0,2,0,-13,12
24,0022300176,"NOV 11, 2023",GSW vs. CLE,13,3,0,5,3,12,6,1,4,0,2,0,-13,21
25,0022300169,"NOV 08, 2023",GSW @ DEN,11,0,0,5,1,13,4,0,3,0,4,3,-6,16
26,0022300145,"NOV 06, 2023",GSW @ DET,4,1,1,6,2,9,2,0,2,1,2,0,-4,11
27,0022300142,"NOV 05, 2023",GSW @ CLE,8,1,0,5,0,9,3,1,2,0,4,1,-5,14
28,0022300005,"NOV 03, 2023",GSW @ OKC,17,1,0,5,0,11,6,0,1,0,8,5,-14,23
29,0022300126,"NOV 01, 2023",GSW vs. SAC,14,0,0,2,1,10,6,0,1,0,2,2,-5,16
30,0022300108,"OCT 30, 2023",GSW @ NOP,9,0,0,3,3,8,4,1,2,0,2,0,10,12
31,0022300096,"OCT 29, 2023",GSW @ HOU,13,0,0,0,2,10,4,1,3,0,5,4,-4,13
32,0022300087,"OCT 27, 2023",GSW @ SAC,11,3,0,5,2,13,5,0,3,2,2,1,2,19
33,0022300062,"OCT 24, 2023",GSW vs. PHX,10,0,0,1,0,12,4,0,3,1,3,2,-22,11
