Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300533,"JAN 12, 2024",IND @ ATL,6,0,0,7,0,7,3,0,0,0,0,0,11,13,6,7,13,0
0022300507,"JAN 08, 2024",IND vs. BOS,11,1,0,9,2,8,3,1,4,3,4,4,5,21,12,10,20,3
0022300493,"JAN 06, 2024",IND vs. BOS,7,2,0,7,0,6,2,1,4,0,2,2,-7,16,9,9,14,0
0022300480,"JAN 05, 2024",IND vs. ATL,11,2,0,2,0,7,5,1,3,0,0,0,4,15,13,4,13,0
0022300466,"JAN 03, 2024",IND vs. MIL,13,3,0,7,1,8,5,1,4,0,2,2,23,23,16,10,20,0
0022300454,"JAN 01, 2024",IND @ MIL,7,0,0,2,0,10,3,1,6,0,0,0,-19,9,7,2,9,0
0022300441,"DEC 30, 2023",IND vs. NYK,9,2,0,4,1,5,3,1,2,2,4,2,3,15,11,6,13,2
0022300422,"DEC 28, 2023",IND @ CHI,15,1,0,7,0,7,6,1,2,0,5,2,4,23,16,8,22,0
0022300409,"DEC 26, 2023",IND @ HOU,12,1,1,8,1,11,5,1,4,2,1,1,11,21,13,9,20,3
0022300391,"DEC 23, 2023",IND vs. ORL,11,1,0,2,2,5,4,3,4,0,1,0,-19,14,12,3,13,0
0022300365,"DEC 20, 2023",IND vs. CHA,10,0,0,4,0,4,4,2,2,0,0,0,3,14,10,4,14,0
0022300254,"NOV 27, 2023",IND vs. POR,9,1,0,5,1,5,3,1,2,0,2,2,-8,15,10,6,14,0
0022300047,"NOV 24, 2023",IND vs. DET,8,0,1,6,1,3,2,2,2,0,2,2,0,14,8,6,14,1
0022300230,"NOV 22, 2023",IND vs. TOR,8,0,0,5,1,5,3,0,1,1,2,2,-14,13,8,5,13,1
0022300039,"NOV 21, 2023",IND @ ATL,6,0,0,3,0,2,2,0,0,0,4,2,-10,9,6,3,9,0
0022300209,"NOV 19, 2023",IND vs. ORL,10,0,0,4,2,5,4,1,1,0,2,1,-9,14,10,4,14,0
0022300019,"NOV 14, 2023",IND @ PHI,5,1,0,0,0,2,2,1,1,0,1,0,-2,6,6,1,5,0
0022300180,"NOV 12, 2023",IND @ PHI,11,1,0,6,2,7,4,1,2,0,2,2,-5,18,12,7,17,0
0022300158,"NOV 08, 2023",IND vs. UTA,16,1,2,11,1,8,5,0,0,1,7,6,12,28,17,12,27,3
0022300146,"NOV 06, 2023",IND vs. SAS,9,2,0,7,1,4,4,1,1,0,0,0,10,18,11,9,16,0
0022300133,"NOV 04, 2023",IND vs. CHA,11,1,0,9,1,6,4,2,3,0,2,1,-13,21,12,10,20,0
0022300001,"NOV 03, 2023",IND vs. CLE,13,2,0,5,3,8,6,1,1,1,0,0,-4,20,15,7,18,1
0022300102,"OCT 30, 2023",IND vs. CHI,8,0,1,2,1,7,4,0,2,1,0,0,2,10,8,2,10,2
0022300091,"OCT 28, 2023",IND @ CLE,13,3,0,6,1,7,5,2,3,0,2,1,17,22,16,9,19,0
0022300064,"OCT 25, 2023",IND vs. WAS,13,0,1,8,0,6,5,2,2,0,1,1,6,21,13,8,21,1
