,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,21701225,"APR 11, 2018",DEN @ MIN,20,6,1,6,1,18,8,2,7,0,4,2,-5
1,21701211,"APR 09, 2018",DEN vs. POR,12,2,0,2,3,14,4,1,6,1,4,3,-2
2,21701191,"APR 07, 2018",DEN @ LAC,19,7,0,3,1,10,8,0,1,0,3,3,24
3,21701180,"APR 05, 2018",DEN vs. MIN,22,1,0,2,1,16,8,3,6,1,3,3,15
4,21701165,"APR 03, 2018",DEN vs. IND,12,7,3,4,2,12,4,1,6,1,3,3,0
5,21701152,"APR 01, 2018",DEN vs. MIL,27,7,1,2,2,15,7,3,7,0,10,10,26
6,21701133,"MAR 30, 2018",DEN @ OKC,15,5,1,4,5,12,5,3,6,1,2,2,6
7,21701109,"MAR 27, 2018",DEN @ TOR,15,3,1,4,2,18,6,2,7,1,1,1,4
8,21701105,"MAR 26, 2018",DEN @ PHI,17,3,2,3,1,18,7,2,8,2,1,1,-22
9,21701079,"MAR 23, 2018",DEN @ WAS,25,3,2,6,2,20,8,5,12,1,4,4,13
10,21701069,"MAR 21, 2018",DEN @ CHI,16,7,2,5,3,14,5,3,6,1,3,3,26
11,21701054,"MAR 19, 2018",DEN @ MIA,23,5,0,5,1,16,5,4,8,0,11,9,-10
12,21701040,"MAR 17, 2018",DEN @ MEM,16,3,2,3,2,18,5,1,8,0,5,5,-8
13,21701026,"MAR 15, 2018",DEN vs. DET,26,1,2,9,2,17,9,5,8,0,5,3,1
14,21701015,"MAR 13, 2018",DEN @ LAL,18,4,2,6,4,11,5,3,7,0,6,5,0
15,21700996,"MAR 11, 2018",DEN vs. SAC,20,5,0,3,1,16,8,2,7,0,2,2,27
16,21700983,"MAR 09, 2018",DEN vs. LAL,22,8,4,3,4,12,5,2,5,1,11,10,4
17,21700970,"MAR 07, 2018",DEN vs. CLE,11,3,0,7,3,10,5,0,3,0,1,1,-3
18,21700961,"MAR 06, 2018",DEN @ DAL,6,0,0,0,0,8,2,1,4,1,1,1,-12
19,21700937,"MAR 03, 2018",DEN @ CLE,16,5,1,3,1,11,6,3,4,0,1,1,11
20,21700931,"MAR 02, 2018",DEN @ MEM,9,4,3,2,2,9,3,1,4,0,3,2,8
21,21700912,"FEB 27, 2018",DEN vs. LAC,18,5,1,2,5,11,7,0,2,0,4,4,7
22,21700896,"FEB 25, 2018",DEN vs. HOU,19,5,0,2,3,13,8,3,5,0,0,0,-8
23,21700880,"FEB 23, 2018",DEN vs. SAS,9,7,1,9,1,11,3,1,4,1,2,2,3
24,21700865,"FEB 15, 2018",DEN @ MIL,26,5,3,5,2,12,9,5,7,0,5,3,18
25,21700852,"FEB 13, 2018",DEN vs. SAS,17,1,2,5,3,9,6,3,6,0,3,2,19
26,21700832,"FEB 10, 2018",DEN @ PHX,12,2,0,1,3,9,4,1,4,0,3,3,-8
27,21700823,"FEB 09, 2018",DEN @ HOU,6,2,0,1,3,8,3,0,3,0,1,0,-25
28,21700794,"FEB 05, 2018",DEN vs. CHA,18,7,2,4,2,15,7,4,8,0,0,0,13
29,21700782,"FEB 03, 2018",DEN vs. GSW,15,2,1,4,1,9,4,0,2,0,7,7,0
30,21700765,"FEB 01, 2018",DEN vs. OKC,33,5,0,3,1,23,14,5,8,0,0,0,3
31,21700750,"JAN 30, 2018",DEN @ SAS,18,1,1,6,0,12,5,3,6,1,5,5,-8
32,21700743,"JAN 29, 2018",DEN vs. BOS,14,8,1,4,2,11,5,1,5,0,3,3,8
33,21700730,"JAN 27, 2018",DEN vs. DAL,15,5,0,5,6,15,6,3,6,0,0,0,-4
34,21700712,"JAN 25, 2018",DEN vs. NYK,18,5,0,5,5,13,6,2,5,0,4,4,7
35,21700694,"JAN 22, 2018",DEN vs. POR,38,6,0,5,1,19,14,4,6,0,6,6,11
36,21700671,"JAN 19, 2018",DEN vs. PHX,30,2,1,5,1,17,10,5,8,2,5,5,-8
37,21700651,"JAN 16, 2018",DEN vs. DAL,7,1,0,3,3,9,3,1,3,0,0,0,2
38,21700633,"JAN 13, 2018",DEN @ SAS,2,2,0,1,1,7,1,0,3,0,0,0,-18
