,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0021801228,"APR 10, 2019",DEN vs. MIN,17,7,0,8,2,12,6,3,7,1,4,2,16
1,0021801217,"APR 09, 2019",DEN @ UTA,22,1,1,5,2,21,9,3,6,0,2,1,-18
2,0021801190,"APR 05, 2019",DEN vs. POR,23,6,1,4,0,15,7,2,4,0,7,7,0
3,0021801173,"APR 03, 2019",DEN vs. SAS,14,11,1,6,3,14,6,1,4,1,2,1,16
4,0021801164,"APR 02, 2019",DEN @ GSW,17,3,5,4,2,14,6,1,5,0,4,4,-12
5,0021801148,"MAR 31, 2019",DEN vs. WAS,12,2,0,2,1,8,4,2,5,1,2,2,1
6,0021801133,"MAR 29, 2019",DEN @ OKC,27,9,1,5,0,20,11,3,9,0,2,2,5
7,0021801126,"MAR 28, 2019",DEN @ HOU,20,3,2,4,0,14,7,0,2,0,7,6,-14
8,0021801115,"MAR 26, 2019",DEN vs. DET,33,5,1,3,3,19,12,3,7,0,7,6,12
9,0021801097,"MAR 24, 2019",DEN @ IND,4,5,1,5,4,12,2,0,3,0,0,0,-20
10,0021801082,"MAR 22, 2019",DEN @ NYK,18,5,2,5,0,16,7,1,6,2,3,3,15
11,0021801075,"MAR 21, 2019",DEN @ WAS,15,2,0,4,1,14,7,1,4,2,0,0,-10
12,0021801052,"MAR 18, 2019",DEN @ BOS,11,2,0,4,3,11,5,1,3,0,0,0,8
13,0021801040,"MAR 16, 2019",DEN vs. IND,17,3,1,3,1,15,7,1,7,0,2,2,12
14,0021801025,"MAR 14, 2019",DEN vs. DAL,12,7,1,5,0,13,4,2,7,0,2,2,3
15,0021801012,"MAR 12, 2019",DEN vs. MIN,30,1,3,3,1,16,10,4,6,0,6,6,20
16,0021800984,"MAR 08, 2019",DEN @ GSW,11,3,0,0,1,10,4,2,3,0,1,1,-19
17,0021800974,"MAR 06, 2019",DEN @ LAL,19,4,0,8,2,20,8,3,9,0,0,0,25
18,0021800954,"MAR 04, 2019",DEN @ SAS,25,8,1,2,4,19,8,6,10,0,3,3,7
19,0021800941,"MAR 02, 2019",DEN vs. NOP,20,4,1,3,1,15,5,1,7,0,9,9,-1
20,0021800926,"FEB 28, 2019",DEN vs. UTA,21,3,0,4,0,16,8,4,8,0,4,1,0
21,0021800910,"FEB 26, 2019",DEN vs. OKC,20,5,0,5,1,15,8,4,7,0,0,0,16
22,0021800895,"FEB 24, 2019",DEN vs. LAC,16,6,1,4,3,12,6,2,6,0,3,2,9
23,0021800880,"FEB 22, 2019",DEN @ DAL,12,4,3,5,1,16,5,2,7,1,0,0,14
24,0021800860,"FEB 13, 2019",DEN vs. SAC,10,4,0,2,3,8,3,2,5,0,2,2,-8
25,0021800847,"FEB 11, 2019",DEN vs. MIA,10,5,3,1,4,12,3,3,6,0,1,1,20
26,0021800818,"FEB 08, 2019",DEN @ PHI,23,6,0,5,1,20,9,2,8,1,3,3,0
27,0021800804,"FEB 06, 2019",DEN @ BKN,19,11,1,3,2,17,8,2,4,0,1,1,-4
28,0021800728,"JAN 25, 2019",DEN vs. PHX,13,5,0,2,0,9,5,3,5,0,0,0,17
29,0021800715,"JAN 23, 2019",DEN @ UTA,9,3,0,0,2,11,3,1,2,0,3,2,-20
30,0021800687,"JAN 19, 2019",DEN vs. CLE,26,5,0,2,2,14,8,4,7,0,6,6,18
31,0021800669,"JAN 17, 2019",DEN vs. CHI,25,5,0,2,1,16,8,7,11,0,2,2,27
