,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022000821,"APR 12, 2021",DEN @ GSW,17,4,3,4,4,1,5,1
1,0022000761,"APR 04, 2021",DEN vs. ORL,22,4,2,5,2,3,9,0
2,0022000736,"APR 01, 2021",DEN @ LAC,23,2,0,8,1,3,6,0
3,0022000719,"MAR 30, 2021",DEN vs. PHI,30,4,3,6,0,5,11,0
4,0022000705,"MAR 28, 2021",DEN vs. ATL,17,4,1,2,4,1,4,1
5,0022000689,"MAR 26, 2021",DEN @ NOP,23,11,1,3,2,2,6,0
6,0022000668,"MAR 24, 2021",DEN @ TOR,20,7,1,2,1,3,5,0
7,0022000661,"MAR 23, 2021",DEN @ ORL,21,4,2,4,2,2,5,0
8,0022000646,"MAR 21, 2021",DEN vs. NOP,23,7,1,3,1,3,6,0
9,0022000637,"MAR 19, 2021",DEN vs. CHI,34,5,4,2,7,6,7,0
10,0022000624,"MAR 17, 2021",DEN vs. CHA,19,5,4,2,0,5,11,0
11,0022000606,"MAR 15, 2021",DEN vs. IND,16,8,0,6,3,3,5,0
12,0022000592,"MAR 13, 2021",DEN vs. DAL,10,5,1,2,2,1,5,0
13,0022000580,"MAR 12, 2021",DEN @ MEM,3,5,2,3,1,1,5,0
14,0022000553,"MAR 04, 2021",DEN @ IND,23,4,2,2,3,1,5,0
15,0022000540,"MAR 02, 2021",DEN @ MIL,24,6,2,3,1,1,5,0
16,0022000531,"MAR 01, 2021",DEN @ CHI,24,3,0,2,4,4,8,1
17,0022000518,"FEB 27, 2021",DEN @ OKC,26,5,0,2,2,4,6,0
18,0022000502,"FEB 25, 2021",DEN vs. WAS,34,6,0,6,5,6,11,2
19,0022000487,"FEB 23, 2021",DEN vs. POR,24,8,2,5,1,4,8,1
20,0022000470,"FEB 21, 2021",DEN @ ATL,30,4,2,4,2,3,8,0
21,0022000563,"FEB 19, 2021",DEN @ CLE,50,2,2,6,1,8,10,0
22,0022000437,"FEB 17, 2021",DEN @ WAS,35,6,1,9,1,5,10,1
23,0022000427,"FEB 16, 2021",DEN @ BOS,25,6,3,6,9,4,8,0
24,0022000416,"FEB 14, 2021",DEN vs. LAL,25,4,0,6,3,4,10,0
25,0022000401,"FEB 12, 2021",DEN vs. OKC,22,5,2,5,2,3,11,0
26,0022000388,"FEB 10, 2021",DEN vs. CLE,8,4,1,4,2,0,0,0
27,0022000373,"FEB 08, 2021",DEN vs. MIL,11,4,1,3,1,1,7,0
28,0022000341,"FEB 04, 2021",DEN @ LAL,20,5,1,3,5,2,5,1
29,0022000306,"JAN 31, 2021",DEN vs. UTA,16,5,1,4,1,2,6,0
30,0022000296,"JAN 29, 2021",DEN @ SAS,20,7,2,6,1,2,4,1
31,0022000275,"JAN 27, 2021",DEN @ MIA,14,4,1,5,1,2,4,0
32,0022000265,"JAN 25, 2021",DEN @ DAL,16,2,0,3,3,2,4,0
33,0022000248,"JAN 23, 2021",DEN @ PHX,26,5,0,6,2,3,7,1
34,0022000238,"JAN 22, 2021",DEN @ PHX,18,9,3,7,4,0,5,1
35,0022000213,"JAN 19, 2021",DEN vs. OKC,5,4,2,2,1,0,3,0
36,0022000200,"JAN 17, 2021",DEN vs. UTA,30,4,0,5,0,4,11,1
37,0022000177,"JAN 14, 2021",DEN vs. GSW,17,6,2,9,3,1,8,0
38,0022000158,"JAN 12, 2021",DEN @ BKN,20,4,1,0,3,2,5,0
39,0022000144,"JAN 10, 2021",DEN @ NYK,9,3,0,0,0,1,4,0
40,0022000133,"JAN 09, 2021",DEN @ PHI,14,4,1,1,2,2,3,0
41,0022000120,"JAN 07, 2021",DEN vs. DAL,21,9,1,4,3,3,9,0
42,0022000104,"JAN 05, 2021",DEN vs. MIN,13,3,0,1,2,1,4,0
43,0022000088,"JAN 03, 2021",DEN @ MIN,36,4,1,5,0,3,7,0
44,0022000076,"JAN 01, 2021",DEN vs. PHX,31,5,2,4,3,4,8,0
45,0022000044,"DEC 28, 2020",DEN vs. HOU,21,2,0,5,2,4,6,1
46,0022000009,"DEC 25, 2020",DEN vs. LAC,23,3,1,5,3,4,11,0
47,0022000019,"DEC 23, 2020",DEN vs. SAC,9,1,2,4,2,0,5,0
