,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021801218,"APR 09, 2019",HOU @ OKC,39,3,1,10,4,5,15,1
1,0021801200,"APR 07, 2019",HOU vs. PHX,30,9,2,13,6,5,6,0
2,0021801184,"APR 05, 2019",HOU vs. NYK,26,8,1,9,3,5,13,1
3,0021801176,"APR 03, 2019",HOU @ LAC,31,7,0,7,6,3,7,0
4,0021801163,"APR 02, 2019",HOU @ SAC,36,10,1,3,2,7,12,0
5,0021801138,"MAR 30, 2019",HOU vs. SAC,50,10,0,11,3,7,23,0
6,0021801126,"MAR 28, 2019",HOU vs. DEN,38,6,1,6,4,5,11,1
7,0021801111,"MAR 26, 2019",HOU @ MIL,23,7,0,10,4,1,9,2
8,0021801099,"MAR 24, 2019",HOU @ NOP,28,4,1,3,6,6,12,1
9,0021801084,"MAR 22, 2019",HOU vs. SAS,61,1,3,7,3,9,13,0
10,0021801070,"MAR 20, 2019",HOU @ MEM,57,8,2,7,3,9,17,2
11,0021801060,"MAR 19, 2019",HOU @ ATL,31,10,1,8,4,4,11,1
12,0021801048,"MAR 17, 2019",HOU vs. MIN,20,10,1,2,3,4,12,0
13,0021801030,"MAR 15, 2019",HOU vs. PHX,41,11,6,9,6,3,11,3
14,0021801018,"MAR 13, 2019",HOU vs. GSW,29,10,3,3,2,2,12,0
15,0021801004,"MAR 11, 2019",HOU vs. CHA,28,10,3,6,4,3,9,0
16,0021800997,"MAR 10, 2019",HOU @ DAL,20,4,0,5,5,3,15,1
17,0021800981,"MAR 08, 2019",HOU vs. PHI,31,7,2,10,5,3,11,0
18,0021800961,"MAR 05, 2019",HOU @ TOR,35,3,3,1,1,3,9,0
19,0021800945,"MAR 03, 2019",HOU @ BOS,42,4,2,7,4,6,18,1
20,0021800925,"FEB 28, 2019",HOU vs. MIA,58,10,4,7,4,8,18,1
21,0021800911,"FEB 27, 2019",HOU @ CHA,30,7,2,3,1,1,11,1
22,0021800903,"FEB 25, 2019",HOU vs. ATL,28,4,1,5,6,0,10,0
23,0021800872,"FEB 21, 2019",HOU @ LAL,30,6,1,6,8,2,10,1
24,0021800861,"FEB 13, 2019",HOU @ MIN,42,6,0,5,6,8,22,0
25,0021800844,"FEB 11, 2019",HOU vs. DAL,31,7,5,8,5,6,17,0
26,0021800832,"FEB 09, 2019",HOU vs. OKC,42,1,1,2,5,6,16,0
27,0021800809,"FEB 06, 2019",HOU @ SAC,36,1,2,6,2,8,13,1
28,0021800794,"FEB 04, 2019",HOU @ PHX,44,6,3,8,3,5,13,1
29,0021800786,"FEB 02, 2019",HOU @ UTA,43,5,6,12,5,4,12,4
