Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300553,"JAN 14, 2024",LAC @ MIN,14,8,2,1,4,14,4,2,9,2,5,4,-3,23,22,9,15,4
0022300537,"JAN 12, 2024",LAC @ MEM,11,9,1,1,3,7,3,2,4,0,3,3,20,21,20,10,12,1
0022300526,"JAN 10, 2024",LAC vs. TOR,14,11,1,5,3,13,5,2,7,0,2,2,8,30,25,16,19,1
0022300511,"JAN 08, 2024",LAC vs. PHX,19,10,0,7,3,8,6,3,4,0,4,4,25,36,29,17,26,0
0022300505,"JAN 07, 2024",LAC @ LAL,15,9,1,4,5,13,4,3,7,0,5,4,-1,28,24,13,19,1
0022300486,"JAN 05, 2024",LAC @ NOP,8,13,0,3,1,7,2,1,6,0,3,3,18,24,21,16,11,0
0022300473,"JAN 03, 2024",LAC @ PHX,22,11,0,5,4,13,7,4,7,1,4,4,0,38,33,16,27,1
0022300458,"JAN 01, 2024",LAC vs. MIA,15,10,1,4,2,8,5,3,5,2,2,2,26,29,25,14,19,3
0022300438,"DEC 29, 2023",LAC vs. MEM,16,13,0,4,5,13,4,2,9,3,8,6,16,33,29,17,20,3
0022300414,"DEC 26, 2023",LAC vs. CHA,29,8,2,6,4,16,8,6,12,1,8,7,20,43,37,14,35,3
0022300389,"DEC 23, 2023",LAC vs. BOS,14,9,1,4,4,13,6,2,5,0,0,0,-34,27,23,13,18,1
0022300379,"DEC 21, 2023",LAC @ OKC,23,6,3,9,3,18,7,4,9,1,6,5,-17,38,29,15,32,4
0022300372,"DEC 20, 2023",LAC @ DAL,17,11,0,5,4,12,4,2,8,2,8,7,10,33,28,16,22,2
0022300350,"DEC 18, 2023",LAC @ IND,35,9,1,3,1,16,12,8,11,1,3,3,32,47,44,12,38,2
0022300343,"DEC 16, 2023",LAC vs. NYK,10,12,1,4,1,6,2,1,4,2,7,5,22,26,22,16,14,3
0022300325,"DEC 14, 2023",LAC vs. GSW,28,15,1,7,4,12,6,5,6,4,12,11,12,50,43,22,35,5
0022300309,"DEC 12, 2023",LAC vs. SAC,15,7,2,6,2,9,4,0,4,0,7,7,26,28,22,13,21,2
0022300304,"DEC 11, 2023",LAC vs. POR,20,7,1,7,3,14,7,3,6,2,3,3,3,34,27,14,27,3
0022301225,"DEC 08, 2023",LAC @ UTA,12,8,0,7,2,8,2,2,6,1,7,6,18,27,20,15,19,1
0022301215,"DEC 06, 2023",LAC vs. DEN,20,11,3,1,4,10,6,2,3,1,7,6,6,32,31,12,21,4
0022300280,"DEC 02, 2023",LAC vs. GSW,21,9,1,5,1,14,7,2,7,0,5,5,0,35,30,14,26,1
0022300273,"NOV 30, 2023",LAC @ GSW,18,7,1,3,1,13,6,5,10,0,2,1,-1,28,25,10,21,1
0022300264,"NOV 29, 2023",LAC @ SAC,26,6,5,3,2,14,8,5,8,0,5,5,19,35,32,9,29,5
0022300257,"NOV 27, 2023",LAC vs. DEN,11,4,1,2,3,7,3,3,5,0,2,2,6,17,15,6,13,1
0022300244,"NOV 25, 2023",LAC vs. DAL,8,7,1,4,2,8,2,2,6,2,2,2,14,19,15,11,12,3
0022300052,"NOV 24, 2023",LAC vs. NOP,8,10,4,5,3,8,2,1,6,1,6,3,-6,23,18,15,13,5
0022300235,"NOV 22, 2023",LAC @ SAS,16,9,1,6,4,7,3,2,4,1,12,8,-2,31,25,15,22,2
0022300223,"NOV 20, 2023",LAC @ SAS,13,10,2,3,0,12,4,2,8,0,3,3,17,26,23,13,16,2
0022300037,"NOV 17, 2023",LAC vs. HOU,24,7,0,9,3,11,8,2,4,1,7,6,21,40,31,16,33,1
0022300024,"NOV 14, 2023",LAC @ DEN,21,4,0,2,1,15,7,3,8,0,4,4,-3,27,25,6,23,0
0022300179,"NOV 12, 2023",LAC vs. MEM,11,3,1,4,1,12,4,1,7,1,2,2,-28,18,14,7,15,2
0022300014,"NOV 10, 2023",LAC @ DAL,14,3,2,5,2,6,3,2,3,0,6,6,-6,22,17,8,19,2
0022300160,"NOV 08, 2023",LAC @ BKN,12,5,2,8,5,9,4,2,5,0,2,2,-15,25,17,13,20,2
0022300151,"NOV 06, 2023",LAC @ NYK,17,6,1,3,2,9,6,2,4,0,3,3,-18,26,23,9,20,1
