,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21800858,"FEB 13, 2019",MEM @ CHI,12,0,0,2,1,2,4,1
1,21800850,"FEB 12, 2019",MEM vs. SAS,9,0,0,5,3,1,2,1
2,21800831,"FEB 09, 2019",MEM vs. NOP,14,1,2,3,0,2,4,1
3,21800815,"FEB 07, 2019",MEM @ OKC,27,0,2,7,5,1,2,0
4,21800801,"FEB 05, 2019",MEM vs. MIN,23,3,1,6,3,4,7,2
5,21800787,"FEB 03, 2019",MEM @ NYK,16,2,0,7,0,1,2,0
6,21800760,"JAN 30, 2019",MEM @ MIN,9,0,0,5,5,1,2,1
7,21800747,"JAN 28, 2019",MEM vs. DEN,8,0,2,7,2,0,2,3
8,21800731,"JAN 26, 2019",MEM vs. IND,20,2,1,6,1,0,2,0
9,21800725,"JAN 25, 2019",MEM vs. SAC,11,1,0,3,0,0,0,1
10,21800713,"JAN 23, 2019",MEM vs. CHA,15,1,1,1,0,1,2,1
11,21800697,"JAN 21, 2019",MEM vs. NOP,14,1,0,2,1,0,1,1
12,21800684,"JAN 19, 2019",MEM @ TOR,16,1,0,8,3,1,3,0
13,21800671,"JAN 18, 2019",MEM @ BOS,23,1,0,4,3,2,3,1
14,21800660,"JAN 16, 2019",MEM vs. MIL,7,0,2,5,1,0,1,1
15,21800646,"JAN 14, 2019",MEM @ HOU,12,1,0,6,2,0,2,3
16,21800631,"JAN 12, 2019",MEM @ MIA,13,2,3,5,1,1,2,2
17,21800611,"JAN 09, 2019",MEM vs. SAS,12,0,0,2,3,2,5,1
18,21800595,"JAN 07, 2019",MEM @ NOP,12,0,0,1,1,0,1,0
19,21800581,"JAN 05, 2019",MEM @ SAS,15,1,4,7,2,1,3,0
20,21800570,"JAN 04, 2019",MEM vs. BKN,19,2,0,4,3,0,3,2
21,21800560,"JAN 02, 2019",MEM vs. DET,26,2,0,10,2,2,2,0
22,21800544,"DEC 31, 2018",MEM @ HOU,4,0,1,2,0,0,2,0
23,21800531,"DEC 29, 2018",MEM vs. BOS,15,0,1,4,1,1,3,0
24,21800508,"DEC 26, 2018",MEM vs. CLE,11,1,1,2,3,0,1,1
25,21800496,"DEC 23, 2018",MEM @ LAL,27,1,0,9,3,1,2,0
26,21800477,"DEC 21, 2018",MEM @ SAC,12,2,1,6,2,1,2,3
27,21800465,"DEC 19, 2018",MEM @ POR,16,2,0,5,1,2,4,3
28,21800449,"DEC 17, 2018",MEM @ GSW,3,2,0,4,0,0,1,0
29,21800432,"DEC 15, 2018",MEM vs. HOU,9,3,1,7,1,1,2,3
30,21800425,"DEC 14, 2018",MEM vs. MIA,15,0,2,4,2,0,2,1
31,21800410,"DEC 12, 2018",MEM vs. POR,14,2,1,6,2,2,3,2
32,21800398,"DEC 10, 2018",MEM @ DEN,6,1,2,3,1,0,2,0
33,21800384,"DEC 08, 2018",MEM vs. LAL,11,0,2,8,2,1,4,0
34,21800374,"DEC 07, 2018",MEM @ NOP,3,0,0,0,2,0,1,1
35,21800360,"DEC 05, 2018",MEM vs. LAC,13,0,1,6,0,1,4,1
36,21800340,"DEC 02, 2018",MEM @ PHI,17,0,1,3,2,1,4,3
37,21800323,"NOV 30, 2018",MEM @ BKN,36,2,0,8,1,3,7,0
38,21800303,"NOV 27, 2018",MEM vs. TOR,4,0,0,2,3,0,0,1
39,21800291,"NOV 25, 2018",MEM vs. NYK,16,3,0,6,1,4,4,7
40,21800266,"NOV 23, 2018",MEM @ LAC,20,3,0,7,3,1,3,3
41,21800262,"NOV 21, 2018",MEM @ SAS,9,1,0,1,1,2,2,0
42,21800244,"NOV 19, 2018",MEM vs. DAL,13,2,2,3,2,0,3,4
43,21800234,"NOV 18, 2018",MEM @ MIN,13,1,0,2,3,1,2,3
44,21800220,"NOV 16, 2018",MEM vs. SAC,27,0,4,6,1,1,1,2
45,21800207,"NOV 14, 2018",MEM @ MIL,13,1,2,2,0,1,1,0
46,21800194,"NOV 12, 2018",MEM vs. UTA,10,3,1,11,4,0,1,5
47,21800179,"NOV 10, 2018",MEM vs. PHI,7,1,0,1,0,0,2,1
48,21800158,"NOV 07, 2018",MEM vs. DEN,20,0,3,7,3,2,5,3
49,21800147,"NOV 05, 2018",MEM @ GSW,15,2,0,6,2,0,3,5
50,21800136,"NOV 04, 2018",MEM @ PHX,4,1,0,3,0,0,1,1
51,21800122,"NOV 02, 2018",MEM @ UTA,13,1,1,1,3,1,2,1
52,21800102,"OCT 30, 2018",MEM vs. WAS,4,1,0,3,2,0,0,0
53,21800080,"OCT 27, 2018",MEM vs. PHX,6,1,1,2,1,0,1,1
54,21800061,"OCT 24, 2018",MEM @ SAC,14,2,1,7,2,0,3,2
55,21800045,"OCT 22, 2018",MEM @ UTA,11,1,1,7,0,0,4,0
56,21800020,"OCT 19, 2018",MEM vs. ATL,24,2,1,7,2,2,4,2
57,21800005,"OCT 17, 2018",MEM @ IND,10,1,3,5,0,0,1,1
58,21901253,"AUG 03, 2020",MEM @ NOP,22,2,1,2,1,2,8,2
59,21901246,"AUG 02, 2020",MEM vs. SAS,21,0,2,3,3,2,5,2
60,21901234,"JUL 31, 2020",MEM @ POR,33,0,1,3,1,6,15,1
61,21900833,"FEB 21, 2020",MEM @ LAL,7,1,1,4,0,0,1,0
62,21900824,"FEB 20, 2020",MEM @ SAC,16,2,0,2,4,4,9,0
63,21900812,"FEB 12, 2020",MEM vs. POR,8,1,1,5,3,1,4,3
64,21900789,"FEB 09, 2020",MEM @ WAS,14,1,0,11,2,1,6,1
65,21900769,"FEB 07, 2020",MEM @ PHI,6,1,0,2,1,1,4,2
66,21900761,"FEB 05, 2020",MEM @ DAL,19,3,1,6,2,4,8,2
67,21900748,"FEB 03, 2020",MEM vs. DET,14,2,1,5,0,0,2,3
68,21900710,"JAN 29, 2020",MEM @ NYK,10,1,0,2,1,2,6,1
69,21900704,"JAN 28, 2020",MEM vs. DEN,10,1,0,2,3,2,8,7
70,21900690,"JAN 26, 2020",MEM vs. PHX,20,0,2,3,3,3,6,2
71,21900670,"JAN 24, 2020",MEM @ DET,29,1,1,6,3,4,8,2
72,21900657,"JAN 22, 2020",MEM @ BOS,13,1,0,5,3,3,8,4
73,21900646,"JAN 20, 2020",MEM vs. NOP,19,1,0,6,2,3,8,2
74,21900622,"JAN 17, 2020",MEM vs. CLE,10,0,1,1,0,0,4,0
75,21900600,"JAN 14, 2020",MEM vs. HOU,15,1,3,2,1,2,7,2
76,21900588,"JAN 12, 2020",MEM vs. GSW,21,2,1,5,1,3,6,2
77,21900571,"JAN 10, 2020",MEM vs. SAS,24,0,0,3,1,5,7,0
78,21900551,"JAN 07, 2020",MEM vs. MIN,21,2,1,7,0,4,10,3
79,21900537,"JAN 05, 2020",MEM @ PHX,15,3,1,8,1,3,8,3
80,21900523,"JAN 04, 2020",MEM @ LAC,24,0,0,6,2,3,4,4
81,21900515,"JAN 02, 2020",MEM @ SAC,18,2,1,7,3,3,4,0
82,21900487,"DEC 29, 2019",MEM vs. CHA,14,0,0,12,1,2,5,2
83,21900472,"DEC 28, 2019",MEM @ DEN,20,1,0,4,1,2,8,1
84,21900462,"DEC 26, 2019",MEM @ OKC,20,4,2,4,1,2,9,3
85,21900450,"DEC 23, 2019",MEM vs. SAS,22,2,0,2,1,6,9,0
86,21900435,"DEC 21, 2019",MEM vs. SAC,18,2,3,5,1,2,5,4
87,21900420,"DEC 20, 2019",MEM @ CLE,24,1,0,3,0,4,11,2
88,21900412,"DEC 18, 2019",MEM @ OKC,9,1,1,1,1,1,4,1
89,21900397,"DEC 16, 2019",MEM vs. MIA,15,2,2,5,4,5,11,0
90,21900383,"DEC 14, 2019",MEM vs. WAS,16,1,1,4,1,2,4,2
91,21900376,"DEC 13, 2019",MEM vs. MIL,43,1,0,5,3,9,15,1
92,21900363,"DEC 11, 2019",MEM @ PHX,24,4,0,6,2,3,7,1
93,21900351,"DEC 09, 2019",MEM @ GSW,16,2,1,3,3,2,9,3
94,21900334,"DEC 07, 2019",MEM @ UTA,26,2,1,4,4,3,9,1
95,21900311,"DEC 04, 2019",MEM @ CHI,15,1,1,7,1,2,5,2
