,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022201208,"APR 07, 2023",MEM @ MIL,36,2,1,4,3,5,6,3
1,0022201194,"APR 05, 2023",MEM @ NOP,40,3,1,9,3,3,9,4
2,0022201184,"APR 04, 2023",MEM vs. POR,17,2,0,7,2,0,1,1
3,0022201165,"APR 02, 2023",MEM @ CHI,31,1,0,8,1,5,8,1
4,0022201156,"MAR 31, 2023",MEM vs. LAC,9,0,2,8,2,0,2,3
5,0022201133,"MAR 28, 2023",MEM vs. ORL,16,0,0,10,3,2,2,3
6,0022201115,"MAR 26, 2023",MEM @ ATL,15,0,3,8,4,1,2,5
7,0022201100,"MAR 24, 2023",MEM vs. HOU,18,2,2,7,2,0,4,2
8,0022201088,"MAR 22, 2023",MEM vs. HOU,37,2,1,10,4,1,5,2
9,0022201075,"MAR 20, 2023",MEM vs. DAL,28,1,0,4,0,1,2,1
10,0022201061,"MAR 18, 2023",MEM vs. GSW,31,3,0,7,0,3,9,4
11,0022201052,"MAR 17, 2023",MEM @ SAS,28,1,1,5,5,0,3,4
12,0022201036,"MAR 15, 2023",MEM @ MIA,25,1,2,9,1,4,7,1
13,0022201023,"MAR 13, 2023",MEM @ DAL,7,0,1,5,3,1,4,0
14,0022201010,"MAR 11, 2023",MEM vs. DAL,14,0,0,7,1,0,5,2
15,0022200996,"MAR 09, 2023",MEM vs. GSW,21,3,1,9,2,3,4,1
16,0022200984,"MAR 07, 2023",MEM @ LAL,26,0,1,8,0,2,6,2
17,0022200970,"MAR 05, 2023",MEM @ LAC,24,2,2,5,2,2,5,2
18,0022200952,"MAR 03, 2023",MEM @ DEN,15,1,0,6,1,0,3,3
19,0022200938,"MAR 01, 2023",MEM @ HOU,17,0,0,4,1,2,7,5
20,0022200927,"FEB 28, 2023",MEM vs. LAL,16,0,1,7,2,1,4,4
21,0022200907,"FEB 25, 2023",MEM vs. DEN,7,0,1,3,2,1,3,1
22,0022200889,"FEB 23, 2023",MEM @ PHI,18,1,1,9,0,1,7,4
23,0022200879,"FEB 15, 2023",MEM vs. UTA,26,0,5,9,1,4,10,4
24,0022200855,"FEB 12, 2023",MEM @ BOS,15,3,1,7,3,2,2,0
25,0022200841,"FEB 10, 2023",MEM vs. MIN,15,1,1,6,2,1,5,4
26,0022200819,"FEB 07, 2023",MEM vs. CHI,24,1,2,3,1,2,5,5
27,0022200805,"FEB 05, 2023",MEM vs. TOR,18,0,0,8,3,0,6,4
28,0022200771,"FEB 01, 2023",MEM vs. POR,18,0,0,7,0,0,3,6
29,0022200753,"JAN 29, 2023",MEM vs. IND,28,1,1,8,1,3,8,5
30,0022200737,"JAN 27, 2023",MEM @ MIN,14,0,2,7,2,0,5,2
31,0022200726,"JAN 25, 2023",MEM @ GSW,17,0,0,6,1,2,3,0
32,0022200712,"JAN 23, 2023",MEM @ SAC,19,2,1,5,1,3,6,1
33,0022200703,"JAN 22, 2023",MEM @ PHX,8,0,0,4,4,2,3,3
34,0022200690,"JAN 20, 2023",MEM @ LAL,12,0,1,6,3,1,4,4
35,0022200672,"JAN 18, 2023",MEM vs. CLE,15,1,2,7,0,2,6,4
36,0022200663,"JAN 16, 2023",MEM vs. PHX,18,1,2,8,1,1,4,6
37,0022200643,"JAN 14, 2023",MEM @ IND,9,3,1,10,2,1,1,2
38,0022200623,"JAN 11, 2023",MEM vs. SAS,21,1,0,12,0,1,2,2
39,0022200608,"JAN 09, 2023",MEM vs. SAS,16,2,0,6,2,2,4,5
40,0022200600,"JAN 08, 2023",MEM vs. UTA,19,0,3,8,2,2,5,5
41,0022200576,"JAN 05, 2023",MEM @ ORL,31,1,1,10,2,2,3,3
42,0022200564,"JAN 04, 2023",MEM @ CHA,17,1,0,8,1,1,3,3
43,0022200547,"JAN 01, 2023",MEM vs. SAC,14,2,0,7,0,2,4,3
44,0022200543,"DEC 31, 2022",MEM vs. NOP,17,2,3,6,4,1,4,6
45,0022200526,"DEC 29, 2022",MEM @ TOR,15,3,0,5,2,1,3,2
46,0022200510,"DEC 27, 2022",MEM vs. PHX,6,1,2,8,3,0,4,3
47,0022200496,"DEC 25, 2022",MEM @ GSW,11,0,1,2,1,1,2,2
48,0022200490,"DEC 23, 2022",MEM @ PHX,24,1,1,10,0,1,4,2
49,0022200465,"DEC 20, 2022",MEM @ DEN,8,1,3,2,1,1,3,5
50,0022200443,"DEC 17, 2022",MEM @ OKC,16,1,0,8,1,2,6,0
51,0022200425,"DEC 15, 2022",MEM vs. MIL,4,2,0,6,0,1,1,0
52,0022200404,"DEC 12, 2022",MEM vs. ATL,15,2,0,7,2,1,4,8
53,0022200383,"DEC 09, 2022",MEM vs. DET,20,0,2,5,2,3,5,4
54,0022200368,"DEC 07, 2022",MEM vs. OKC,12,1,2,3,1,2,4,5
55,0022200347,"DEC 04, 2022",MEM @ DET,22,0,0,3,2,2,4,1
56,0022200332,"DEC 02, 2022",MEM vs. PHI,22,0,1,9,3,2,5,4
57,0022200317,"NOV 30, 2022",MEM @ MIN,16,0,0,11,4,1,4,2
58,0022200296,"NOV 27, 2022",MEM @ NYK,21,0,1,5,0,3,8,0
59,0022200279,"NOV 25, 2022",MEM vs. NOP,20,0,1,4,1,2,3,3
60,0022200257,"NOV 22, 2022",MEM vs. SAC,22,1,2,3,0,1,5,5
61,0022200229,"NOV 18, 2022",MEM vs. OKC,25,0,2,12,2,3,6,3
62,0022200206,"NOV 15, 2022",MEM @ NOP,7,0,0,6,2,0,7,5
