Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300561,"JAN 15, 2024",CLE vs. CHI,10,3,2,14,2,5,4,0,0,1,2,2,32,27,13,17,24,3
0022300527,"JAN 11, 2024",CLE vs. BKN,12,4,2,12,1,5,3,0,0,4,6,6,6,28,16,16,24,6
0022300497,"JAN 07, 2024",CLE vs. SAS,29,2,1,16,1,19,11,0,0,1,7,7,-10,47,31,18,45,2
0022300482,"JAN 05, 2024",CLE vs. WAS,12,3,2,12,4,7,5,0,0,1,2,2,16,27,15,15,24,3
0022300465,"JAN 03, 2024",CLE vs. WAS,17,7,0,19,1,10,7,0,0,2,4,3,27,43,24,26,36,2
0022300452,"JAN 01, 2024",CLE @ TOR,16,4,1,11,0,11,5,0,0,0,8,6,-3,31,20,15,27,1
0022300433,"DEC 29, 2023",CLE vs. MIL,30,6,0,12,0,17,15,0,0,2,0,0,-12,48,36,18,42,2
0022300420,"DEC 27, 2023",CLE @ DAL,24,6,2,23,4,17,9,0,0,0,6,6,14,53,30,29,47,2
0022300396,"DEC 23, 2023",CLE @ CHI,19,7,1,17,0,9,6,0,1,1,10,7,6,43,26,24,36,2
0022300375,"DEC 21, 2023",CLE vs. NOP,14,3,1,7,1,8,7,0,0,0,0,0,-6,24,17,10,21,1
0022300364,"DEC 20, 2023",CLE vs. UTA,17,3,2,8,2,13,8,0,0,0,2,1,-4,28,20,11,25,2
0022300349,"DEC 18, 2023",CLE vs. HOU,10,2,0,6,1,7,3,0,0,2,7,4,-4,18,12,8,16,2
0022300336,"DEC 16, 2023",CLE vs. ATL,25,1,2,14,4,14,12,0,0,1,1,1,5,40,26,15,39,3
0022300319,"DEC 14, 2023",CLE @ BOS,8,3,0,10,3,7,4,0,0,0,0,0,-1,21,11,13,18,0
0022300305,"DEC 12, 2023",CLE @ BOS,14,5,3,5,2,9,6,0,0,2,5,2,4,24,19,10,19,5
0022300294,"DEC 11, 2023",CLE @ ORL,4,1,1,7,1,3,2,0,0,0,0,0,-15,12,5,8,11,1
0022301220,"DEC 08, 2023",CLE @ MIA,6,1,1,9,0,9,3,0,0,0,2,0,-2,16,7,10,15,1
0022301205,"DEC 06, 2023",CLE vs. ORL,8,2,1,11,4,5,4,0,0,0,0,0,2,21,10,13,19,1
0022300283,"DEC 02, 2023",CLE @ DET,19,3,1,11,2,9,8,0,0,0,5,3,4,33,22,14,30,1
0022300265,"NOV 30, 2023",CLE vs. POR,12,2,0,10,1,9,6,0,0,2,0,0,-3,24,14,12,22,2
0022300055,"NOV 28, 2023",CLE vs. ATL,11,2,0,8,0,6,5,0,0,0,1,1,16,21,13,10,19,0
0022300251,"NOV 26, 2023",CLE vs. TOR,18,3,0,4,2,10,9,0,0,2,0,0,-13,25,21,7,22,2
0022300242,"NOV 25, 2023",CLE vs. LAL,21,3,3,14,2,12,9,0,0,2,4,3,-3,38,24,17,35,5
0022300229,"NOV 22, 2023",CLE vs. MIA,4,2,0,4,3,2,1,0,0,0,2,2,-24,10,6,6,8,0
0022300040,"NOV 21, 2023",CLE @ PHI,26,3,0,13,2,20,12,0,0,0,2,2,-6,42,29,16,39,0
0022300210,"NOV 19, 2023",CLE vs. DEN,15,5,1,5,2,10,6,0,0,0,6,3,42,25,20,10,20,1
0022300030,"NOV 17, 2023",CLE vs. DET,10,2,0,7,2,8,4,0,0,5,3,2,5,19,12,9,17,5
0022300199,"NOV 15, 2023",CLE @ POR,11,1,0,9,3,3,3,0,0,3,6,5,0,21,12,10,20,3
0022300191,"NOV 13, 2023",CLE @ SAC,12,1,0,9,2,6,5,0,0,0,3,2,-25,22,13,10,21,0
0022300176,"NOV 11, 2023",CLE @ GSW,12,4,0,5,1,6,2,0,0,0,9,8,13,21,16,9,17,0
0022300167,"NOV 08, 2023",CLE @ OKC,14,1,2,6,1,6,4,0,0,1,9,6,-4,21,15,7,20,3
0022300142,"NOV 05, 2023",CLE vs. GSW,12,3,0,9,2,7,5,0,0,0,2,2,9,24,15,12,21,0
0022300001,"NOV 03, 2023",CLE @ IND,10,0,1,7,1,6,4,0,0,2,3,2,-1,17,10,7,17,3
