,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21601219,"APR 12, 2017",BOS vs. MIL,10,1,1,4,1,0,1,0
1,21601204,"APR 10, 2017",BOS vs. BKN,3,1,1,1,2,1,3,0
2,21601189,"APR 08, 2017",BOS @ CHA,10,0,0,3,0,2,3,0
3,21601177,"APR 06, 2017",BOS @ ATL,7,3,0,1,2,1,2,0
4,21601169,"APR 05, 2017",BOS vs. CLE,2,1,1,2,2,0,3,1
5,21601145,"APR 02, 2017",BOS @ NYK,16,1,0,2,1,2,3,0
6,21601129,"MAR 31, 2017",BOS vs. ORL,12,0,0,3,1,2,4,0
7,21601113,"MAR 29, 2017",BOS vs. MIL,3,0,0,1,0,1,2,0
8,21601093,"MAR 26, 2017",BOS vs. MIA,8,2,1,2,0,0,1,0
9,21601076,"MAR 24, 2017",BOS vs. PHX,9,3,0,7,1,1,3,1
10,21601060,"MAR 22, 2017",BOS vs. IND,6,2,0,3,0,0,2,0
11,21601047,"MAR 20, 2017",BOS vs. WAS,6,1,1,3,1,0,2,0
12,21601037,"MAR 19, 2017",BOS @ PHI,2,0,0,2,1,0,2,0
13,21601022,"MAR 17, 2017",BOS @ BKN,0,0,0,2,0,0,2,0
14,21601006,"MAR 15, 2017",BOS vs. MIN,5,0,1,5,2,1,2,0
15,21600985,"MAR 12, 2017",BOS vs. CHI,11,1,1,3,3,3,6,0
16,21600970,"MAR 10, 2017",BOS @ DEN,14,1,0,2,1,2,5,0
17,21600959,"MAR 08, 2017",BOS @ GSW,3,2,0,3,1,0,0,0
18,21600945,"MAR 06, 2017",BOS @ LAC,8,4,1,5,1,1,2,1
19,21600929,"MAR 05, 2017",BOS @ PHX,14,3,1,6,1,1,1,0
20,21600918,"MAR 03, 2017",BOS @ LAL,16,0,0,8,2,0,2,0
21,21600901,"MAR 01, 2017",BOS vs. CLE,8,0,0,6,3,1,4,1
22,21600885,"FEB 27, 2017",BOS vs. ATL,15,1,1,5,0,2,4,0
23,21600879,"FEB 26, 2017",BOS @ DET,13,1,2,5,4,2,2,0
24,21600858,"FEB 24, 2017",BOS @ TOR,13,2,1,0,1,2,4,1
25,21600815,"FEB 11, 2017",BOS @ UTA,2,0,0,4,0,0,0,0
26,21600798,"FEB 09, 2017",BOS @ POR,14,2,1,7,1,2,3,0
27,21600793,"FEB 08, 2017",BOS @ SAC,6,0,1,3,3,0,1,0
28,21600766,"FEB 05, 2017",BOS vs. LAC,11,1,1,3,1,1,5,0
29,21600751,"FEB 03, 2017",BOS vs. LAL,12,1,0,7,0,1,2,0
30,21600732,"FEB 01, 2017",BOS vs. TOR,8,0,1,1,0,0,1,0
31,21600721,"JAN 30, 2017",BOS vs. DET,4,1,1,3,0,0,2,0
32,21600706,"JAN 28, 2017",BOS @ MIL,9,1,2,8,1,1,3,1
33,21600697,"JAN 27, 2017",BOS vs. ORL,20,2,0,8,1,2,5,0
34,21600681,"JAN 25, 2017",BOS vs. HOU,2,0,0,3,3,0,2,0
35,21600676,"JAN 24, 2017",BOS @ WAS,8,1,0,5,2,1,2,0
36,21600650,"JAN 21, 2017",BOS vs. POR,2,0,2,4,1,0,1,0
37,21600630,"JAN 18, 2017",BOS vs. NYK,12,0,0,4,0,0,0,1
38,21600618,"JAN 16, 2017",BOS vs. CHA,9,2,0,2,0,0,0,0
39,21600597,"JAN 13, 2017",BOS @ ATL,2,0,0,3,0,0,2,0
40,21600572,"JAN 10, 2017",BOS @ TOR,2,0,0,1,1,0,0,0
41,21600553,"JAN 07, 2017",BOS vs. NOP,0,2,0,4,1,0,0,0
42,21600546,"JAN 06, 2017",BOS vs. PHI,0,0,1,1,1,0,0,0
43,21600522,"JAN 03, 2017",BOS vs. UTA,10,1,0,3,2,1,2,1
44,21600494,"DEC 30, 2016",BOS vs. MIA,6,1,0,0,0,0,1,0
45,21600488,"DEC 29, 2016",BOS @ CLE,6,1,0,3,0,0,0,0
46,21600472,"DEC 27, 2016",BOS vs. MEM,0,1,0,0,0,0,0,0
47,21600456,"DEC 25, 2016",BOS @ NYK,0,0,0,2,0,0,0,0
48,21600445,"DEC 23, 2016",BOS vs. OKC,5,1,0,3,0,0,0,0
49,21600440,"DEC 22, 2016",BOS @ IND,4,0,1,2,0,0,0,0
50,21600424,"DEC 20, 2016",BOS @ MEM,2,0,0,1,0,0,3,0
51,21600410,"DEC 18, 2016",BOS @ MIA,2,0,0,0,0,0,0,1
52,21600391,"DEC 16, 2016",BOS vs. CHA,2,0,0,1,0,0,2,0
53,21600383,"DEC 14, 2016",BOS @ SAS,7,0,1,2,2,0,0,1
54,21600357,"DEC 11, 2016",BOS @ OKC,10,1,1,2,1,1,1,0
55,21600339,"DEC 09, 2016",BOS vs. TOR,7,0,0,3,0,1,1,1
56,21600322,"DEC 07, 2016",BOS @ ORL,13,1,0,2,3,1,3,0
57,21600311,"DEC 05, 2016",BOS @ HOU,7,0,0,1,0,1,2,0
58,21600294,"DEC 03, 2016",BOS @ PHI,4,1,0,2,0,0,0,1
59,21600283,"DEC 02, 2016",BOS vs. SAC,0,0,0,0,0,0,0,0
60,21600267,"NOV 30, 2016",BOS vs. DET,0,1,0,0,0,0,0,0
61,21600256,"NOV 28, 2016",BOS @ MIA,0,1,0,1,0,0,1,0
62,21600225,"NOV 25, 2016",BOS vs. SAS,2,0,0,2,0,0,0,0
63,21600217,"NOV 23, 2016",BOS @ BKN,0,0,0,3,2,0,0,0
64,21600205,"NOV 21, 2016",BOS @ MIN,0,1,0,2,0,0,1,0
65,21600188,"NOV 19, 2016",BOS @ DET,5,0,0,0,1,1,1,0
66,21600179,"NOV 18, 2016",BOS vs. GSW,11,0,0,1,0,2,6,1
67,21600161,"NOV 16, 2016",BOS vs. DAL,4,0,1,3,3,0,0,0
68,21600148,"NOV 14, 2016",BOS @ NOP,8,1,2,4,1,0,0,0
69,21600130,"NOV 12, 2016",BOS @ IND,0,1,0,2,0,0,1,0
70,21600125,"NOV 11, 2016",BOS vs. NYK,10,0,0,4,0,1,3,1
71,21600107,"NOV 09, 2016",BOS @ WAS,3,0,1,2,2,0,0,0
72,21600091,"NOV 06, 2016",BOS vs. DEN,4,4,0,3,1,0,3,1
73,21600068,"NOV 03, 2016",BOS @ CLE,19,2,3,5,1,3,6,1
74,21600061,"NOV 02, 2016",BOS vs. CHI,3,0,1,2,0,1,2,0
75,21600027,"OCT 29, 2016",BOS @ CHA,7,0,0,1,0,0,0,0
76,21600015,"OCT 27, 2016",BOS @ CHI,8,1,0,1,1,0,1,0
77,21600006,"OCT 26, 2016",BOS vs. BKN,9,1,1,2,1,0,0,2
78,21701215,"APR 10, 2018",BOS @ WAS,27,2,2,1,3,6,10,0
79,21701202,"APR 08, 2018",BOS vs. ATL,12,2,1,2,1,0,2,1
80,21701185,"APR 06, 2018",BOS vs. CHI,32,2,0,4,4,7,10,0
81,21701171,"APR 04, 2018",BOS @ TOR,9,0,1,2,2,1,2,0
82,21701162,"APR 03, 2018",BOS @ MIL,24,2,2,4,3,1,3,1
83,21701140,"MAR 31, 2018",BOS vs. TOR,4,0,2,3,0,0,1,1
84,21701121,"MAR 28, 2018",BOS @ UTA,21,3,2,5,4,3,3,0
