,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022000968,"MAY 02, 2021",BOS vs. POR,16,4,0,11,3,1,9,0
1,0022000950,"APR 30, 2021",BOS vs. SAS,17,2,2,5,4,4,12,2
2,0022000936,"APR 28, 2021",BOS vs. CHA,38,4,0,7,1,7,13,1
3,0022000927,"APR 27, 2021",BOS vs. OKC,39,3,4,11,3,4,11,0
4,0022000911,"APR 25, 2021",BOS @ CHA,20,2,2,8,3,2,7,0
5,0022000869,"APR 19, 2021",BOS vs. CHI,23,1,1,4,2,3,4,0
6,0022000842,"APR 15, 2021",BOS @ LAL,40,3,1,9,6,3,5,0
7,0022000828,"APR 13, 2021",BOS @ POR,24,2,1,4,1,3,7,0
8,0022000806,"APR 11, 2021",BOS @ DEN,20,3,0,8,0,2,7,2
9,0022000792,"APR 09, 2021",BOS vs. MIN,26,3,2,5,5,4,9,2
10,0022000778,"APR 07, 2021",BOS vs. NYK,32,3,2,10,2,5,13,1
11,0022000771,"APR 06, 2021",BOS vs. PHI,17,0,0,3,3,3,7,1
12,0022000757,"APR 04, 2021",BOS vs. CHA,17,1,0,6,1,5,8,1
13,0022000738,"APR 02, 2021",BOS vs. HOU,22,2,2,11,1,1,2,0
14,0022000723,"MAR 31, 2021",BOS vs. DAL,24,1,4,4,3,4,11,0
15,0022000699,"MAR 27, 2021",BOS @ OKC,25,0,0,3,4,3,10,0
16,0022000685,"MAR 26, 2021",BOS @ MIL,18,2,1,5,2,4,9,0
17,0022000669,"MAR 24, 2021",BOS @ MIL,24,2,0,10,2,4,7,0
18,0022000658,"MAR 22, 2021",BOS @ MEM,27,5,1,9,3,3,11,1
19,0022000167,"MAR 21, 2021",BOS vs. ORL,34,3,1,4,0,10,19,0
20,0022000631,"MAR 19, 2021",BOS vs. SAC,19,3,3,11,5,3,5,1
21,0022000620,"MAR 17, 2021",BOS @ CLE,28,4,2,3,2,2,10,3
22,0022000609,"MAR 16, 2021",BOS vs. UTA,28,7,2,5,3,2,4,1
23,0022000598,"MAR 14, 2021",BOS @ HOU,24,0,1,2,2,2,3,0
24,0022000569,"MAR 11, 2021",BOS @ BKN,13,6,4,5,4,3,12,0
25,0022000552,"MAR 04, 2021",BOS vs. TOR,21,4,0,7,3,2,6,1
26,0022000537,"MAR 02, 2021",BOS vs. LAC,18,2,1,5,1,2,3,0
27,0022000505,"FEB 26, 2021",BOS vs. IND,15,5,0,7,4,0,2,0
28,0022000490,"FEB 24, 2021",BOS @ ATL,17,5,1,4,2,0,6,0
29,0022000485,"FEB 23, 2021",BOS @ DAL,29,5,2,7,3,2,8,0
30,0022000465,"FEB 21, 2021",BOS @ NOP,25,9,0,6,3,3,10,0
31,0022000451,"FEB 19, 2021",BOS vs. ATL,17,6,1,4,3,4,7,0
32,0022000438,"FEB 17, 2021",BOS vs. ATL,22,7,0,3,3,2,7,0
33,0022000427,"FEB 16, 2021",BOS vs. DEN,27,5,0,5,7,5,10,0
34,0022000560,"FEB 14, 2021",BOS @ WAS,25,0,1,7,5,2,5,1
35,0022000412,"FEB 12, 2021",BOS vs. DET,27,0,2,6,2,1,4,0
36,0022000398,"FEB 11, 2021",BOS vs. TOR,12,10,2,5,5,0,4,1
37,0022000379,"FEB 09, 2021",BOS @ UTA,33,0,0,8,3,3,6,0
38,0022000336,"FEB 03, 2021",BOS @ SAC,21,4,0,3,1,2,6,1
39,0022000326,"FEB 02, 2021",BOS @ GSW,18,4,0,10,3,1,6,1
40,0022000302,"JAN 30, 2021",BOS vs. LAL,28,3,1,1,2,2,4,1
41,0022000280,"JAN 27, 2021",BOS @ SAS,24,5,1,4,0,3,6,2
42,0022000262,"JAN 25, 2021",BOS @ CHI,26,2,2,5,2,2,3,0
43,0022000250,"JAN 24, 2021",BOS vs. CLE,33,1,2,3,1,3,4,0
44,0022000233,"JAN 22, 2021",BOS @ PHI,42,3,1,9,3,5,8,1
45,0022000218,"JAN 20, 2021",BOS @ PHI,26,3,0,5,4,3,10,0
46,0022000196,"JAN 17, 2021",BOS vs. NYK,25,3,1,6,2,3,9,0
47,0022000180,"JAN 15, 2021",BOS vs. ORL,21,8,1,2,2,2,5,0
48,0022000124,"JAN 08, 2021",BOS vs. WAS,27,5,2,13,5,3,6,0
49,0022000111,"JAN 06, 2021",BOS @ MIA,21,5,2,12,1,3,9,2
50,0022000097,"JAN 04, 2021",BOS @ TOR,19,3,1,5,4,1,2,0
51,0022000085,"JAN 03, 2021",BOS @ DET,31,3,0,1,6,5,8,0
52,0022000070,"JAN 01, 2021",BOS @ DET,25,2,3,9,4,1,7,2
53,0022000056,"DEC 30, 2020",BOS vs. MEM,42,4,1,5,4,7,10,0
54,0022000048,"DEC 29, 2020",BOS @ IND,20,2,4,2,1,1,2,0
55,0022000037,"DEC 27, 2020",BOS @ IND,18,4,2,2,2,0,1,1
56,0022000007,"DEC 25, 2020",BOS vs. BKN,27,3,0,8,2,0,4,1
57,0022000003,"DEC 23, 2020",BOS vs. MIL,33,4,2,5,0,3,8,1
