,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21701215,"APR 10, 2018",BOS @ WAS,12,2,4,3,2,2,3,0
1,21701202,"APR 08, 2018",BOS vs. ATL,19,2,4,4,0,1,1,0
2,21701171,"APR 04, 2018",BOS @ TOR,8,3,1,4,2,0,2,0
3,21701162,"APR 03, 2018",BOS @ MIL,20,2,3,2,3,3,8,1
4,21701140,"MAR 31, 2018",BOS vs. TOR,24,4,0,6,0,2,2,0
5,21701121,"MAR 28, 2018",BOS @ UTA,16,3,2,2,3,2,3,2
6,21701107,"MAR 26, 2018",BOS @ PHX,23,0,2,6,4,2,4,0
7,21701099,"MAR 25, 2018",BOS @ SAC,12,1,2,7,3,0,2,0
8,21701086,"MAR 23, 2018",BOS @ POR,13,4,2,6,3,0,0,0
9,21701059,"MAR 20, 2018",BOS vs. OKC,23,4,1,11,1,3,6,1
10,21701047,"MAR 18, 2018",BOS @ NOP,23,1,2,5,2,2,3,0
11,21701029,"MAR 16, 2018",BOS @ ORL,8,0,0,8,5,1,5,1
12,21701017,"MAR 14, 2018",BOS vs. WAS,19,6,0,5,2,0,2,0
13,21700998,"MAR 11, 2018",BOS vs. IND,19,3,1,5,2,2,4,2
14,21700974,"MAR 08, 2018",BOS @ MIN,12,0,0,5,1,1,4,0
15,21700953,"MAR 05, 2018",BOS @ CHI,14,2,0,5,0,2,6,1
16,21700939,"MAR 03, 2018",BOS @ HOU,12,3,0,4,0,2,2,0
17,21700916,"FEB 28, 2018",BOS vs. CHA,7,0,0,3,1,1,1,1
18,21700898,"FEB 26, 2018",BOS vs. MEM,5,1,0,3,0,1,2,1
19,21700886,"FEB 24, 2018",BOS @ NYK,11,4,4,5,2,0,1,1
20,21700873,"FEB 23, 2018",BOS @ DET,15,0,0,1,1,2,3,1
21,21700858,"FEB 14, 2018",BOS vs. LAC,10,2,0,4,0,1,4,0
22,21700835,"FEB 11, 2018",BOS vs. CLE,9,1,1,2,2,1,2,0
23,21700820,"FEB 09, 2018",BOS vs. IND,15,1,0,3,2,0,0,4
24,21700813,"FEB 08, 2018",BOS @ WAS,11,1,2,2,3,0,3,0
25,21700798,"FEB 06, 2018",BOS @ TOR,4,0,0,1,1,0,1,0
26,21700784,"FEB 04, 2018",BOS vs. POR,17,5,0,2,3,3,5,0
27,21700767,"FEB 02, 2018",BOS vs. ATL,27,3,4,4,0,0,1,0
28,21700758,"JAN 31, 2018",BOS vs. NYK,15,1,0,3,0,1,4,0
29,21700743,"JAN 29, 2018",BOS @ DEN,20,4,1,6,0,2,4,1
30,21700728,"JAN 27, 2018",BOS @ GSW,4,0,1,5,1,0,3,0
31,21700709,"JAN 24, 2018",BOS @ LAC,18,3,1,6,1,2,4,0
32,21700700,"JAN 23, 2018",BOS @ LAL,4,0,0,5,3,1,3,0
33,21700683,"JAN 21, 2018",BOS vs. ORL,9,1,1,10,2,1,4,1
34,21700663,"JAN 18, 2018",BOS vs. PHI,11,0,2,4,2,1,3,2
35,21700650,"JAN 16, 2018",BOS vs. NOP,10,2,0,5,3,2,4,1
36,21700614,"JAN 11, 2018",BOS @ PHI,16,2,0,4,1,1,3,0
37,21700579,"JAN 06, 2018",BOS @ BKN,14,0,3,6,1,2,2,6
38,21700570,"JAN 05, 2018",BOS vs. MIN,4,1,1,3,0,0,4,0
39,21700559,"JAN 03, 2018",BOS vs. CLE,15,2,0,5,0,1,3,0
40,21700539,"DEC 31, 2017",BOS vs. BKN,9,0,0,4,4,1,3,0
41,21700517,"DEC 28, 2017",BOS vs. HOU,19,1,2,5,0,0,3,1
42,21700506,"DEC 27, 2017",BOS @ CHA,18,0,2,5,2,0,3,2
43,21700495,"DEC 25, 2017",BOS vs. WAS,20,0,0,3,4,2,2,0
44,21700485,"DEC 23, 2017",BOS vs. CHI,13,5,1,7,0,1,3,0
45,21700468,"DEC 21, 2017",BOS @ NYK,17,0,2,3,3,2,6,0
46,21700456,"DEC 20, 2017",BOS vs. MIA,11,2,0,7,1,0,2,1
47,21700442,"DEC 18, 2017",BOS @ IND,16,4,1,5,2,1,1,1
48,21700436,"DEC 16, 2017",BOS @ MEM,19,1,2,10,0,2,2,2
49,21700423,"DEC 15, 2017",BOS vs. UTA,7,2,0,4,1,1,3,0
50,21700407,"DEC 13, 2017",BOS vs. DEN,15,2,0,4,1,1,1,1
51,21700391,"DEC 11, 2017",BOS @ CHI,4,1,1,10,0,0,4,1
52,21700386,"DEC 10, 2017",BOS @ DET,11,0,0,4,1,3,5,1
53,21700374,"DEC 08, 2017",BOS @ SAS,20,0,2,8,0,2,4,0
54,21700356,"DEC 06, 2017",BOS vs. DAL,17,0,1,10,0,2,3,0
55,21700343,"DEC 04, 2017",BOS vs. MIL,17,0,0,6,1,4,5,0
56,21700326,"DEC 02, 2017",BOS vs. PHX,15,2,2,6,1,1,1,2
57,21700314,"NOV 30, 2017",BOS vs. PHI,15,2,2,2,0,2,3,0
58,21700292,"NOV 27, 2017",BOS vs. DET,10,4,0,3,1,2,4,1
59,21700281,"NOV 25, 2017",BOS @ IND,11,0,0,2,1,1,5,0
60,21700269,"NOV 24, 2017",BOS vs. ORL,11,0,1,2,0,3,4,2
61,21700257,"NOV 22, 2017",BOS @ MIA,18,4,1,7,1,3,4,1
62,21700249,"NOV 20, 2017",BOS @ DAL,15,1,1,9,1,0,2,1
63,21700230,"NOV 18, 2017",BOS @ ATL,14,0,4,7,1,1,3,2
64,21700215,"NOV 16, 2017",BOS vs. GSW,12,0,1,4,1,0,0,0
65,21700201,"NOV 14, 2017",BOS @ BKN,19,0,3,4,1,2,3,1
66,21700188,"NOV 12, 2017",BOS vs. TOR,13,0,0,7,2,1,4,0
67,21700170,"NOV 10, 2017",BOS vs. CHA,16,1,0,2,2,1,4,0
68,21700161,"NOV 08, 2017",BOS vs. LAL,5,1,1,1,1,0,0,1
69,21700146,"NOV 06, 2017",BOS @ ATL,21,1,1,8,0,3,5,2
70,21700138,"NOV 05, 2017",BOS @ ORL,13,3,1,4,0,2,4,0
71,21700129,"NOV 03, 2017",BOS @ OKC,13,3,0,6,4,2,3,0
72,21700109,"NOV 01, 2017",BOS vs. SAC,12,2,0,4,2,1,2,0
73,21700092,"OCT 30, 2017",BOS vs. SAS,7,2,0,11,2,2,4,3
74,21700078,"OCT 28, 2017",BOS @ MIA,20,0,0,5,0,2,2,0
75,21700067,"OCT 26, 2017",BOS @ MIL,12,3,1,2,2,1,3,0
76,21700051,"OCT 24, 2017",BOS vs. NYK,22,2,4,4,3,4,6,2
77,21700019,"OCT 20, 2017",BOS @ PHI,15,0,0,8,3,0,2,3
78,21700007,"OCT 18, 2017",BOS vs. MIL,8,2,1,9,2,0,1,0
79,21700001,"OCT 17, 2017",BOS @ CLE,14,3,0,10,1,1,2,0
80,21801203,"APR 07, 2019",BOS vs. ORL,0,0,0,1,0,0,0,0
81,21801183,"APR 05, 2019",BOS @ IND,22,2,3,7,1,1,5,1
82,21801170,"APR 03, 2019",BOS @ MIA,16,3,1,7,3,1,3,1
83,21801153,"APR 01, 2019",BOS vs. MIA,19,5,1,6,0,4,7,0
84,21801137,"MAR 30, 2019",BOS @ BKN,9,3,1,2,2,1,1,0
85,21801130,"MAR 29, 2019",BOS vs. IND,11,4,0,5,4,3,3,0
86,21801108,"MAR 26, 2019",BOS @ CLE,21,4,1,5,1,3,5,0
87,21801087,"MAR 23, 2019",BOS @ CHA,12,4,0,6,1,2,7,1
88,21801067,"MAR 20, 2019",BOS @ PHI,13,4,0,6,1,1,2,1
89,21801052,"MAR 18, 2019",BOS vs. DEN,8,6,1,7,1,1,5,1
90,21801034,"MAR 16, 2019",BOS vs. ATL,18,4,1,8,2,0,2,0
91,21801022,"MAR 14, 2019",BOS vs. SAC,15,3,0,4,2,0,2,0
92,21800989,"MAR 09, 2019",BOS @ LAL,6,5,1,5,3,0,2,0
93,21800973,"MAR 06, 2019",BOS @ SAC,24,2,1,3,2,2,4,0
94,21800964,"MAR 05, 2019",BOS @ GSW,17,1,3,5,1,1,3,2
95,21800945,"MAR 03, 2019",BOS vs. HOU,12,2,1,5,0,1,4,0
96,21800931,"MAR 01, 2019",BOS vs. WAS,10,3,5,8,4,0,5,0
97,21800913,"FEB 27, 2019",BOS vs. POR,14,0,1,4,4,0,2,0
98,21800909,"FEB 26, 2019",BOS @ TOR,11,1,0,7,2,1,3,0
99,21800889,"FEB 23, 2019",BOS @ CHI,12,1,1,1,1,1,1,1
100,21800870,"FEB 21, 2019",BOS @ MIL,17,1,2,10,1,1,2,1
101,21800855,"FEB 13, 2019",BOS vs. DET,19,4,2,4,3,3,8,0
102,21800849,"FEB 12, 2019",BOS @ PHI,20,1,2,10,1,1,1,2
103,21800829,"FEB 09, 2019",BOS vs. LAC,16,0,1,8,4,1,2,0
104,21800814,"FEB 07, 2019",BOS vs. LAL,22,5,1,10,0,1,1,0
105,21800797,"FEB 05, 2019",BOS @ CLE,25,2,1,7,1,1,3,3
106,21800788,"FEB 03, 2019",BOS vs. OKC,11,2,2,7,0,0,2,2
107,21800771,"FEB 01, 2019",BOS @ NYK,13,3,0,5,0,1,6,1
108,21800756,"JAN 30, 2019",BOS vs. CHA,20,1,0,5,0,2,5,1
109,21800746,"JAN 28, 2019",BOS vs. BKN,6,1,1,6,2,0,1,2
110,21800732,"JAN 26, 2019",BOS vs. GSW,20,3,0,5,0,3,5,1
111,21800707,"JAN 23, 2019",BOS vs. CLE,15,3,3,2,3,0,0,0
112,21800698,"JAN 21, 2019",BOS vs. MIA,19,1,0,6,4,3,3,0
113,21800683,"JAN 19, 2019",BOS @ ATL,19,2,1,5,1,0,0,3
114,21800671,"JAN 18, 2019",BOS vs. MEM,2,4,0,6,2,0,2,1
115,21800658,"JAN 16, 2019",BOS vs. TOR,16,2,0,10,1,1,3,1
116,21800645,"JAN 14, 2019",BOS @ BKN,34,3,1,5,0,3,5,3
117,21800632,"JAN 12, 2019",BOS @ ORL,16,1,1,6,2,1,4,1
118,21800617,"JAN 10, 2019",BOS @ MIA,17,1,0,4,1,2,4,1
119,21800607,"JAN 09, 2019",BOS vs. IND,20,0,1,4,1,2,5,0
120,21800592,"JAN 07, 2019",BOS vs. BKN,16,4,2,4,0,2,6,0
121,21800566,"JAN 04, 2019",BOS vs. DAL,18,0,1,6,2,4,11,0
122,21800558,"JAN 02, 2019",BOS vs. MIN,8,4,0,3,1,0,3,1
123,21800545,"DEC 31, 2018",BOS @ SAS,12,1,0,11,2,0,5,2
124,21800531,"DEC 29, 2018",BOS @ MEM,7,5,4,8,2,1,1,1
125,21800512,"DEC 27, 2018",BOS @ HOU,4,2,1,3,1,0,1,0
126,21800499,"DEC 25, 2018",BOS vs. PHI,23,1,2,10,1,1,7,2
127,21800488,"DEC 23, 2018",BOS vs. CHA,17,1,0,4,2,3,8,0
128,21800473,"DEC 21, 2018",BOS vs. MIL,20,2,2,5,2,3,7,1
129,21800458,"DEC 19, 2018",BOS vs. PHX,18,0,1,8,2,2,5,4
130,21800431,"DEC 15, 2018",BOS @ DET,17,2,1,8,1,0,3,1
131,21800420,"DEC 14, 2018",BOS vs. ATL,22,0,2,3,4,2,5,1
132,21800409,"DEC 12, 2018",BOS @ WAS,12,0,1,12,0,0,4,0
133,21800393,"DEC 10, 2018",BOS vs. NOP,21,1,0,6,2,1,5,1
134,21800383,"DEC 08, 2018",BOS @ CHI,18,2,0,3,2,4,4,0
135,21800365,"DEC 06, 2018",BOS vs. NYK,17,2,2,5,1,3,5,0
136,21800335,"DEC 01, 2018",BOS @ MIN,19,2,1,9,2,3,9,0
137,21800319,"NOV 30, 2018",BOS vs. CLE,13,0,1,4,0,1,3,0
138,21800298,"NOV 26, 2018",BOS @ NOP,20,1,3,7,1,2,4,1
139,21800283,"NOV 24, 2018",BOS @ DAL,21,3,2,4,2,3,6,1
140,21800268,"NOV 23, 2018",BOS @ ATL,14,2,1,2,0,2,5,1
141,21800255,"NOV 21, 2018",BOS vs. NYK,15,0,0,8,0,1,1,0
142,21800239,"NOV 19, 2018",BOS @ CHA,20,2,1,6,0,1,4,1
143,21800229,"NOV 17, 2018",BOS vs. UTA,10,0,0,7,2,0,2,0
144,21800216,"NOV 16, 2018",BOS vs. TOR,21,1,2,7,3,2,4,1
145,21800204,"NOV 14, 2018",BOS vs. CHI,14,0,1,6,2,4,8,0
146,21800188,"NOV 11, 2018",BOS @ POR,27,0,0,8,1,5,9,2
147,21800172,"NOV 09, 2018",BOS @ UTA,21,4,5,3,1,2,4,0
148,21800164,"NOV 08, 2018",BOS @ PHX,4,2,1,8,1,0,1,0
149,21800145,"NOV 05, 2018",BOS @ DEN,15,4,1,2,2,1,4,2
150,21800127,"NOV 03, 2018",BOS @ IND,14,3,0,7,3,4,8,1
151,21800115,"NOV 01, 2018",BOS vs. MIL,12,4,0,6,2,2,3,0
152,21800099,"OCT 30, 2018",BOS vs. DET,16,3,0,6,1,1,4,0
153,21800074,"OCT 27, 2018",BOS @ DET,6,3,0,3,0,1,2,1
154,21800065,"OCT 25, 2018",BOS @ OKC,24,1,1,6,2,1,3,0
155,21800040,"OCT 22, 2018",BOS vs. ORL,7,4,0,10,0,0,5,0
156,21800028,"OCT 20, 2018",BOS @ NYK,24,0,2,14,4,2,3,0
157,21800019,"OCT 19, 2018",BOS @ TOR,16,2,1,9,5,2,6,1
158,21800001,"OCT 16, 2018",BOS vs. PHI,23,3,1,9,1,1,5,0
159,21901301,"AUG 11, 2020",BOS @ MEM,29,2,1,6,5,4,5,0
160,21901288,"AUG 09, 2020",BOS vs. ORL,29,6,1,9,4,4,12,1
161,21901279,"AUG 07, 2020",BOS @ TOR,18,4,2,7,3,2,7,0
162,21901267,"AUG 05, 2020",BOS vs. BKN,19,2,1,2,3,5,8,0
163,21901260,"AUG 04, 2020",BOS @ MIA,23,1,1,7,4,2,5,1
164,21901245,"AUG 02, 2020",BOS vs. POR,34,8,2,4,2,5,8,1
165,21901236,"JUL 31, 2020",BOS @ MIL,5,3,2,7,2,0,4,1
166,21900960,"MAR 10, 2020",BOS @ IND,30,2,4,6,0,3,9,0
167,21900949,"MAR 08, 2020",BOS vs. OKC,19,3,2,5,3,3,7,1
168,21900933,"MAR 06, 2020",BOS vs. UTA,18,3,2,7,3,2,5,0
169,21900917,"MAR 04, 2020",BOS @ CLE,32,6,2,9,4,5,10,1
170,21900892,"FEB 29, 2020",BOS vs. HOU,32,5,2,13,5,4,12,2
171,21900872,"FEB 26, 2020",BOS @ UTA,33,3,0,11,2,3,5,0
172,21900862,"FEB 25, 2020",BOS @ POR,36,1,0,4,2,8,12,2
173,21900842,"FEB 23, 2020",BOS @ LAL,41,2,1,5,2,4,7,2
174,21900830,"FEB 21, 2020",BOS @ MIN,28,3,1,11,2,4,10,1
175,21900818,"FEB 13, 2020",BOS vs. LAC,39,1,1,9,4,5,10,1
176,21900806,"FEB 11, 2020",BOS @ HOU,15,4,4,9,1,0,7,1
177,21900786,"FEB 09, 2020",BOS @ OKC,26,1,0,11,4,4,7,1
178,21900771,"FEB 07, 2020",BOS vs. ATL,32,6,0,4,5,7,12,2
179,21900756,"FEB 05, 2020",BOS vs. ORL,33,5,3,8,2,5,11,2
180,21900745,"FEB 03, 2020",BOS @ ATL,28,3,1,7,1,5,9,0
181,21900732,"FEB 01, 2020",BOS vs. PHI,25,4,1,3,0,3,6,1
182,21900717,"JAN 30, 2020",BOS vs. GSW,20,2,1,6,2,1,5,1
183,21900657,"JAN 22, 2020",BOS vs. MEM,23,4,2,7,1,3,7,1
184,21900648,"JAN 20, 2020",BOS vs. LAL,27,3,1,5,0,5,8,0
185,21900628,"JAN 18, 2020",BOS vs. PHX,26,2,3,10,4,2,7,1
186,21900615,"JAN 16, 2020",BOS @ MIL,17,3,0,7,2,1,5,1
187,21900593,"JAN 13, 2020",BOS vs. CHI,21,2,1,6,1,2,7,2
188,21900578,"JAN 11, 2020",BOS vs. NOP,41,4,3,6,0,6,9,0
189,21900564,"JAN 09, 2020",BOS @ PHI,15,4,2,10,4,1,5,1
190,21900554,"JAN 08, 2020",BOS vs. SAS,14,3,1,6,3,0,5,0
191,21900542,"JAN 06, 2020",BOS @ WAS,17,2,0,1,0,1,4,2
192,21900529,"JAN 04, 2020",BOS @ CHI,28,2,2,7,3,2,4,2
193,21900517,"JAN 03, 2020",BOS vs. ATL,13,3,0,9,1,0,2,0
194,21900497,"DEC 31, 2019",BOS @ CHA,24,1,3,7,3,4,7,1
195,21900473,"DEC 28, 2019",BOS vs. TOR,12,4,1,3,6,0,2,0
196,21900466,"DEC 27, 2019",BOS vs. CLE,30,2,0,5,1,5,10,2
197,21900455,"DEC 25, 2019",BOS @ TOR,11,6,2,9,3,1,3,0
198,21900440,"DEC 22, 2019",BOS vs. CHA,39,2,1,12,2,4,9,3
199,21900422,"DEC 20, 2019",BOS vs. DET,26,3,2,5,0,2,7,0
